Date,Sprott Physical Gold_Open_average,Sprott Physical Gold_Open_max,Sprott Physical Gold_Open_min,Sprott Physical Gold_Open_volatility,Sprott Physical Gold_Open_change,Sprott Physical Gold_High_average,Sprott Physical Gold_High_max,Sprott Physical Gold_High_min,Sprott Physical Gold_High_volatility,Sprott Physical Gold_High_change,Sprott Physical Gold_Low_average,Sprott Physical Gold_Low_max,Sprott Physical Gold_Low_min,Sprott Physical Gold_Low_volatility,Sprott Physical Gold_Low_change,Sprott Physical Gold_Close_average,Sprott Physical Gold_Close_max,Sprott Physical Gold_Close_min,Sprott Physical Gold_Close_volatility,Sprott Physical Gold_Close_change
2018-01-14,10.86,10.86,10.86,0.0,0.0,10.88,10.88,10.88,0.0,0.0,10.83,10.83,10.83,0.0,0.0,10.87,10.87,10.87,0.0,0.0
2018-01-21,10.97,10.97,10.97,0.0,0.0,10.97,10.97,10.97,0.0,0.0,10.9,10.9,10.9,0.0,0.0,10.95,10.95,10.95,0.0,0.0
2018-01-28,10.86,10.86,10.86,0.0,0.0,10.93,10.93,10.93,0.0,0.0,10.84,10.84,10.84,0.0,0.0,10.89,10.89,10.89,0.0,0.0
2018-02-04,10.77,10.77,10.77,0.0,0.0,10.82,10.82,10.82,0.0,0.0,10.76,10.76,10.76,0.0,0.0,10.78,10.78,10.78,0.0,0.0
2018-02-11,11.03,11.03,11.03,0.0,0.0,11.04,11.04,11.04,0.0,0.0,10.94,10.94,10.94,0.0,0.0,10.96,10.96,10.96,0.0,0.0
2018-02-18,10.85,10.85,10.85,0.0,0.0,10.88,10.88,10.88,0.0,0.0,10.82,10.82,10.82,0.0,0.0,10.86,10.86,10.86,0.0,0.0
2018-02-25,10.78,10.78,10.78,0.0,0.0,10.78,10.78,10.78,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.76,10.76,10.76,0.0,0.0
2018-03-04,10.73,10.73,10.73,0.0,0.0,10.77,10.77,10.77,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.76,10.76,10.76,0.0,0.0
2018-03-11,10.67,10.67,10.67,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.66,10.66,10.66,0.0,0.0,10.71,10.71,10.71,0.0,0.0
2018-03-18,10.92,10.92,10.92,0.0,0.0,11.01,11.01,11.01,0.0,0.0,10.92,10.92,10.92,0.0,0.0,10.96,10.96,10.96,0.0,0.0
2018-03-25,10.82,10.82,10.82,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.81,10.81,10.81,0.0,0.0,10.89,10.89,10.89,0.0,0.0
2018-04-01,10.83,10.83,10.83,0.0,0.0,10.87,10.87,10.87,0.0,0.0,10.81,10.81,10.81,0.0,0.0,10.86,10.86,10.86,0.0,0.0
2018-04-08,10.95,10.95,10.95,0.0,0.0,10.97,10.97,10.97,0.0,0.0,10.92,10.92,10.92,0.0,0.0,10.94,10.94,10.94,0.0,0.0
2018-04-15,10.75,10.75,10.75,0.0,0.0,10.77,10.77,10.77,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.76,10.76,10.76,0.0,0.0
2018-04-22,10.66,10.66,10.66,0.0,0.0,10.72,10.72,10.72,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.69,10.69,10.69,0.0,0.0
2018-04-29,10.72,10.72,10.72,0.0,0.0,10.74,10.74,10.74,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.72,10.72,10.72,0.0,0.0
2018-05-06,10.74,10.74,10.74,0.0,0.0,10.75,10.75,10.75,0.0,0.0,10.67,10.67,10.67,0.0,0.0,10.69,10.69,10.69,0.0,0.0
