Date,Janus SmallMid Cap Growth Alpha_etf_Open_average,Janus SmallMid Cap Growth Alpha_etf_Open_max,Janus SmallMid Cap Growth Alpha_etf_Open_min,Janus SmallMid Cap Growth Alpha_etf_Open_volatility,Janus SmallMid Cap Growth Alpha_etf_Open_change,Janus SmallMid Cap Growth Alpha_etf_High_average,Janus SmallMid Cap Growth Alpha_etf_High_max,Janus SmallMid Cap Growth Alpha_etf_High_min,Janus SmallMid Cap Growth Alpha_etf_High_volatility,Janus SmallMid Cap Growth Alpha_etf_High_change,Janus SmallMid Cap Growth Alpha_etf_Low_average,Janus SmallMid Cap Growth Alpha_etf_Low_max,Janus SmallMid Cap Growth Alpha_etf_Low_min,Janus SmallMid Cap Growth Alpha_etf_Low_volatility,Janus SmallMid Cap Growth Alpha_etf_Low_change,Janus SmallMid Cap Growth Alpha_etf_Close_average,Janus SmallMid Cap Growth Alpha_etf_Close_max,Janus SmallMid Cap Growth Alpha_etf_Close_min,Janus SmallMid Cap Growth Alpha_etf_Close_volatility,Janus SmallMid Cap Growth Alpha_etf_Close_change
2018-03-25,39.96,39.96,39.96,0.0,0.0,40.28,40.28,40.28,0.0,0.0,39.96,39.96,39.96,0.0,0.0,40.23,40.23,40.23,0.0,0.0
2018-04-01,40.1,40.1,40.1,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.16,39.16,39.16,0.0,0.0,39.21,39.21,39.21,0.0,0.0
2018-04-08,41.01,41.01,41.01,0.0,0.0,41.01,41.01,41.01,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.87,39.87,39.87,0.0,0.0
2018-04-15,40.73,40.73,40.73,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2018-04-22,40.12,40.12,40.12,0.0,0.0,40.12,40.12,40.12,0.0,0.0,39.86,39.86,39.86,0.0,0.0,40.03,40.03,40.03,0.0,0.0
2018-04-29,40.02,40.02,40.02,0.0,0.0,40.47,40.47,40.47,0.0,0.0,39.85,39.85,39.85,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2018-05-06,42.25,42.25,42.25,0.0,0.0,42.25,42.25,42.25,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.66,41.66,41.66,0.0,0.0
2018-05-13,41.88,41.88,41.88,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.88,41.88,41.88,0.0,0.0
2018-05-20,42.27,42.27,42.27,0.0,0.0,42.27,42.27,42.27,0.0,0.0,41.93,41.93,41.93,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2018-05-27,42.85,42.85,42.85,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.35,42.35,42.35,0.0,0.0
2018-06-03,43.63,43.63,43.63,0.0,0.0,43.63,43.63,43.63,0.0,0.0,42.95,42.95,42.95,0.0,0.0,43.33,43.33,43.33,0.0,0.0
2018-06-10,44.24,44.24,44.24,0.0,0.0,44.24,44.24,44.24,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.98,43.98,43.98,0.0,0.0
2018-06-17,44.37,44.37,44.37,0.0,0.0,44.37,44.37,44.37,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2018-06-24,42.95,42.95,42.95,0.0,0.0,42.95,42.95,42.95,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.59,42.59,42.59,0.0,0.0
2018-07-01,43.4,43.4,43.4,0.0,0.0,43.91,43.91,43.91,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.54,43.54,43.54,0.0,0.0
2018-07-08,44.11,44.11,44.11,0.0,0.0,44.11,44.11,44.11,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2018-07-15,44.3,44.3,44.3,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.21,44.21,44.21,0.0,0.0,44.21,44.21,44.21,0.0,0.0
2018-07-22,44.63,44.63,44.63,0.0,0.0,44.63,44.63,44.63,0.0,0.0,43.41,43.41,43.41,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2018-07-29,44.62,44.62,44.62,0.0,0.0,44.62,44.62,44.62,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2018-08-05,44.71,44.71,44.71,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.58,44.58,44.58,0.0,0.0
2018-08-12,45.41,45.41,45.41,0.0,0.0,45.41,45.41,45.41,0.0,0.0,44.6,44.6,44.6,0.0,0.0,45.01,45.01,45.01,0.0,0.0
2018-08-19,46.34,46.34,46.34,0.0,0.0,46.34,46.34,46.34,0.0,0.0,45.94,45.94,45.94,0.0,0.0,46.15,46.15,46.15,0.0,0.0
2018-08-26,46.92,46.92,46.92,0.0,0.0,47.15,47.15,47.15,0.0,0.0,46.92,46.92,46.92,0.0,0.0,47.15,47.15,47.15,0.0,0.0
2018-09-02,47.15,47.15,47.15,0.0,0.0,47.15,47.15,47.15,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2018-09-09,47.6,47.6,47.6,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.15,47.15,47.15,0.0,0.0,47.33,47.33,47.33,0.0,0.0
2018-09-16,47.39,47.39,47.39,0.0,0.0,47.39,47.39,47.39,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.49,46.49,46.49,0.0,0.0
2018-09-23,46.36,46.36,46.36,0.0,0.0,46.36,46.36,46.36,0.0,0.0,46.08,46.08,46.08,0.0,0.0,46.09,46.09,46.09,0.0,0.0
2018-09-30,43.89,43.89,43.89,0.0,0.0,44.42,44.42,44.42,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.84,43.84,43.84,0.0,0.0
2018-10-07,42.7,42.7,42.7,0.0,0.0,42.78,42.78,42.78,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.68,41.68,41.68,0.0,0.0
2018-10-14,42.71,42.71,42.71,0.0,0.0,42.71,42.71,42.71,0.0,0.0,41.14,41.14,41.14,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2018-10-21,39.26,39.26,39.26,0.0,0.0,40.68,40.68,40.68,0.0,0.0,39.21,39.21,39.21,0.0,0.0,39.81,39.81,39.81,0.0,0.0
2018-10-28,42.75,42.75,42.75,0.0,0.0,42.75,42.75,42.75,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.59,41.59,41.59,0.0,0.0
2018-11-04,41.96,41.96,41.96,0.0,0.0,42.14,42.14,42.14,0.0,0.0,41.24,41.24,41.24,0.0,0.0,42.14,42.14,42.14,0.0,0.0
2018-11-11,40.35,40.35,40.35,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.35,40.35,40.35,0.0,0.0,41.0,41.0,41.0,0.0,0.0
2018-11-18,40.19,40.19,40.19,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.19,40.19,40.19,0.0,0.0,40.2,40.2,40.2,0.0,0.0
2018-11-25,42.19,42.19,42.19,0.0,0.0,42.19,42.19,42.19,0.0,0.0,41.84,41.84,41.84,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2018-12-02,40.36,40.36,40.36,0.0,0.0,40.36,40.36,40.36,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.33,39.33,39.33,0.0,0.0
2018-12-09,39.05,39.05,39.05,0.0,0.0,39.29,39.29,39.29,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.47,38.47,38.47,0.0,0.0
2018-12-16,36.08,36.08,36.08,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2018-12-23,37.14,37.14,37.14,0.0,0.0,37.14,37.14,37.14,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2018-12-30,36.91,36.91,36.91,0.0,0.0,37.37,37.37,37.37,0.0,0.0,36.91,36.91,36.91,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2019-01-06,39.37,39.37,39.37,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.36,39.36,39.36,0.0,0.0,39.56,39.56,39.56,0.0,0.0
2019-01-13,40.01,40.01,40.01,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.6,40.6,40.6,0.0,0.0
2019-01-20,40.14,40.14,40.14,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.14,40.14,40.14,0.0,0.0,40.74,40.74,40.74,0.0,0.0
2019-01-27,41.09,41.09,41.09,0.0,0.0,41.61,41.61,41.61,0.0,0.0,41.09,41.09,41.09,0.0,0.0,41.39,41.39,41.39,0.0,0.0
2019-02-03,41.59,41.59,41.59,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2019-02-10,43.59,43.59,43.59,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2019-02-17,43.96,43.96,43.96,0.0,0.0,44.14,44.14,44.14,0.0,0.0,43.68,43.68,43.68,0.0,0.0,44.13,44.13,44.13,0.0,0.0
2019-02-24,44.07,44.07,44.07,0.0,0.0,44.12,44.12,44.12,0.0,0.0,43.83,43.83,43.83,0.0,0.0,44.08,44.08,44.08,0.0,0.0
2019-03-03,42.09,42.09,42.09,0.0,0.0,42.29,42.29,42.29,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2019-03-10,43.24,43.24,43.24,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.11,43.11,43.11,0.0,0.0
2019-03-17,43.41,43.41,43.41,0.0,0.0,43.41,43.41,43.41,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2019-03-24,43.59,43.59,43.59,0.0,0.0,43.59,43.59,43.59,0.0,0.0,42.67,42.67,42.67,0.0,0.0,42.67,42.67,42.67,0.0,0.0
2019-03-31,44.62,44.62,44.62,0.0,0.0,44.63,44.63,44.63,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.52,44.52,44.52,0.0,0.0
2019-04-07,45.05,45.05,45.05,0.0,0.0,45.05,45.05,45.05,0.0,0.0,44.78,44.78,44.78,0.0,0.0,45.02,45.02,45.02,0.0,0.0
2019-04-14,44.62,44.62,44.62,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.62,44.62,44.62,0.0,0.0
2019-04-21,44.9,44.9,44.9,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.3,45.3,45.3,0.0,0.0
2019-04-28,45.31,45.31,45.31,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.24,45.24,45.24,0.0,0.0,45.7,45.7,45.7,0.0,0.0
2019-05-05,44.6,44.6,44.6,0.0,0.0,44.6,44.6,44.6,0.0,0.0,43.28,43.28,43.28,0.0,0.0,44.31,44.31,44.31,0.0,0.0
2019-05-12,43.84,43.84,43.84,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.47,43.47,43.47,0.0,0.0,43.48,43.48,43.48,0.0,0.0
2019-05-19,42.74,42.74,42.74,0.0,0.0,42.74,42.74,42.74,0.0,0.0,42.32,42.32,42.32,0.0,0.0,42.56,42.56,42.56,0.0,0.0
2019-05-26,41.73,41.73,41.73,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.58,41.58,41.58,0.0,0.0
