Date,PIMCO 0-5 Year High Yield Corporate Bond_Open_average,PIMCO 0-5 Year High Yield Corporate Bond_Open_max,PIMCO 0-5 Year High Yield Corporate Bond_Open_min,PIMCO 0-5 Year High Yield Corporate Bond_Open_volatility,PIMCO 0-5 Year High Yield Corporate Bond_Open_change,PIMCO 0-5 Year High Yield Corporate Bond_High_average,PIMCO 0-5 Year High Yield Corporate Bond_High_max,PIMCO 0-5 Year High Yield Corporate Bond_High_min,PIMCO 0-5 Year High Yield Corporate Bond_High_volatility,PIMCO 0-5 Year High Yield Corporate Bond_High_change,PIMCO 0-5 Year High Yield Corporate Bond_Low_average,PIMCO 0-5 Year High Yield Corporate Bond_Low_max,PIMCO 0-5 Year High Yield Corporate Bond_Low_min,PIMCO 0-5 Year High Yield Corporate Bond_Low_volatility,PIMCO 0-5 Year High Yield Corporate Bond_Low_change,PIMCO 0-5 Year High Yield Corporate Bond_Close_average,PIMCO 0-5 Year High Yield Corporate Bond_Close_max,PIMCO 0-5 Year High Yield Corporate Bond_Close_min,PIMCO 0-5 Year High Yield Corporate Bond_Close_volatility,PIMCO 0-5 Year High Yield Corporate Bond_Close_change
2018-01-14,101.01,101.01,101.01,0.0,0.0,101.19,101.19,101.19,0.0,0.0,100.94,100.94,100.94,0.0,0.0,101.12,101.12,101.12,0.0,0.0
2018-01-21,101.34,101.34,101.34,0.0,0.0,101.36,101.36,101.36,0.0,0.0,101.1,101.1,101.1,0.0,0.0,101.27,101.27,101.27,0.0,0.0
2018-01-28,100.0,100.0,100.0,0.0,0.0,100.3,100.3,100.3,0.0,0.0,98.85,98.85,98.85,0.0,0.0,99.39,99.39,99.39,0.0,0.0
2018-02-04,99.09,99.09,99.09,0.0,0.0,100.04,100.04,100.04,0.0,0.0,99.09,99.09,99.09,0.0,0.0,99.61,99.61,99.61,0.0,0.0
2018-02-11,99.99,99.99,99.99,0.0,0.0,100.52,100.52,100.52,0.0,0.0,99.98,99.98,99.98,0.0,0.0,100.48,100.48,100.48,0.0,0.0
2018-02-18,100.31,100.31,100.31,0.0,0.0,100.54,100.54,100.54,0.0,0.0,100.2,100.2,100.2,0.0,0.0,100.45,100.45,100.45,0.0,0.0
2018-02-25,99.8,99.8,99.8,0.0,0.0,99.92,99.92,99.92,0.0,0.0,99.53,99.53,99.53,0.0,0.0,99.9,99.9,99.9,0.0,0.0
2018-03-04,100.41,100.41,100.41,0.0,0.0,100.48,100.48,100.48,0.0,0.0,100.17,100.17,100.17,0.0,0.0,100.27,100.27,100.27,0.0,0.0
2018-03-11,99.94,99.94,99.94,0.0,0.0,100.05,100.05,100.05,0.0,0.0,99.65,99.65,99.65,0.0,0.0,99.73,99.73,99.73,0.0,0.0
2018-03-18,99.63,99.63,99.63,0.0,0.0,99.77,99.77,99.77,0.0,0.0,99.32,99.32,99.32,0.0,0.0,99.63,99.63,99.63,0.0,0.0
2018-03-25,99.29,99.29,99.29,0.0,0.0,99.39,99.39,99.39,0.0,0.0,98.87,98.87,98.87,0.0,0.0,99.06,99.06,99.06,0.0,0.0
2018-04-01,99.62,99.62,99.62,0.0,0.0,99.75,99.75,99.75,0.0,0.0,99.5,99.5,99.5,0.0,0.0,99.68,99.68,99.68,0.0,0.0
2018-04-08,100.46,100.46,100.46,0.0,0.0,100.54,100.54,100.54,0.0,0.0,100.18,100.18,100.18,0.0,0.0,100.49,100.49,100.49,0.0,0.0
2018-04-15,99.92,99.92,99.92,0.0,0.0,99.94,99.94,99.94,0.0,0.0,99.71,99.71,99.71,0.0,0.0,99.79,99.79,99.79,0.0,0.0
2018-04-22,100.16,100.16,100.16,0.0,0.0,100.18,100.18,100.18,0.0,0.0,99.92,99.92,99.92,0.0,0.0,99.96,99.96,99.96,0.0,0.0
2018-04-29,99.87,99.87,99.87,0.0,0.0,100.01,100.01,100.01,0.0,0.0,99.84,99.84,99.84,0.0,0.0,99.94,99.94,99.94,0.0,0.0
2018-05-06,100.17,100.17,100.17,0.0,0.0,100.26,100.26,100.26,0.0,0.0,99.94,99.94,99.94,0.0,0.0,100.23,100.23,100.23,0.0,0.0
2018-05-13,99.98,99.98,99.98,0.0,0.0,100.11,100.11,100.11,0.0,0.0,99.92,99.92,99.92,0.0,0.0,100.09,100.09,100.09,0.0,0.0
2018-05-20,100.02,100.02,100.02,0.0,0.0,100.17,100.17,100.17,0.0,0.0,100.01,100.01,100.01,0.0,0.0,100.09,100.09,100.09,0.0,0.0
2018-05-27,99.71,99.71,99.71,0.0,0.0,99.82,99.82,99.82,0.0,0.0,99.66,99.66,99.66,0.0,0.0,99.75,99.75,99.75,0.0,0.0
