Date,SPDR DoubleLine Short Term TR Tactical_Open_average,SPDR DoubleLine Short Term TR Tactical_Open_max,SPDR DoubleLine Short Term TR Tactical_Open_min,SPDR DoubleLine Short Term TR Tactical_Open_volatility,SPDR DoubleLine Short Term TR Tactical_Open_change,SPDR DoubleLine Short Term TR Tactical_High_average,SPDR DoubleLine Short Term TR Tactical_High_max,SPDR DoubleLine Short Term TR Tactical_High_min,SPDR DoubleLine Short Term TR Tactical_High_volatility,SPDR DoubleLine Short Term TR Tactical_High_change,SPDR DoubleLine Short Term TR Tactical_Low_average,SPDR DoubleLine Short Term TR Tactical_Low_max,SPDR DoubleLine Short Term TR Tactical_Low_min,SPDR DoubleLine Short Term TR Tactical_Low_volatility,SPDR DoubleLine Short Term TR Tactical_Low_change,SPDR DoubleLine Short Term TR Tactical_Close_average,SPDR DoubleLine Short Term TR Tactical_Close_max,SPDR DoubleLine Short Term TR Tactical_Close_min,SPDR DoubleLine Short Term TR Tactical_Close_volatility,SPDR DoubleLine Short Term TR Tactical_Close_change
2018-01-14,49.32,49.32,49.32,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.26,49.26,49.26,0.0,0.0
2018-01-21,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-01-28,49.06,49.06,49.06,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2018-02-04,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2018-02-11,49.09,49.09,49.09,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2018-02-18,49.0,49.0,49.0,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-02-25,48.92,48.92,48.92,0.0,0.0,49.02,49.02,49.02,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2018-03-04,48.98,48.98,48.98,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2018-03-11,48.95,48.95,48.95,0.0,0.0,49.0,49.0,49.0,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2018-03-18,48.99,48.99,48.99,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2018-03-25,48.83,48.83,48.83,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2018-04-01,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2018-04-08,48.76,48.76,48.76,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2018-04-15,48.83,48.83,48.83,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-04-22,48.81,48.81,48.81,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2018-04-29,48.79,48.79,48.79,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2018-05-06,48.66,48.66,48.66,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2018-05-13,48.65,48.65,48.65,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2018-05-20,48.86,48.86,48.86,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2018-05-27,48.87,48.87,48.87,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2018-06-03,48.84,48.84,48.84,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.83,48.83,48.83,0.0,0.0
2018-06-10,48.82,48.82,48.82,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2018-06-17,48.91,48.91,48.91,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-06-24,48.76,48.76,48.76,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2018-07-01,48.72,48.72,48.72,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.91,48.91,48.91,0.0,0.0
