Date,SPGStock_Open_average,SPGStock_Open_max,SPGStock_Open_min,SPGStock_Open_volatility,SPGStock_Open_change,SPGStock_High_average,SPGStock_High_max,SPGStock_High_min,SPGStock_High_volatility,SPGStock_High_change,SPGStock_Low_average,SPGStock_Low_max,SPGStock_Low_min,SPGStock_Low_volatility,SPGStock_Low_change,SPGStock_Close_average,SPGStock_Close_max,SPGStock_Close_min,SPGStock_Close_volatility,SPGStock_Close_change,SPGStock_Volume_average,SPGStock_Volume_max,SPGStock_Volume_min,SPGStock_Volume_volatility,SPGStock_Volume_change
2018-01-14,165.89499999999998,167.03,164.91,2.1200000000000045,-1.009999999999991,167.2425,168.1,165.28,2.819999999999993,-2.819999999999993,164.075,164.9,163.03,1.8700000000000045,-1.8700000000000045,165.23250000000002,167.4,164.24,3.1599999999999966,-0.799999999999983,1725363,1947562,1449412,498150,355801
2018-01-21,165.65800000000002,166.93,164.28,2.6500000000000057,0.5699999999999932,166.972,169.28,165.36,3.9199999999999875,-1.4699999999999989,164.01,165.59,162.6,2.990000000000009,-1.049999999999983,165.288,166.33,163.71,2.6200000000000045,-2.3899999999999864,1893880,2863969,1476861,1387108,-176928
2018-01-28,161.802,163.61,159.19,4.420000000000016,-4.240000000000009,163.152,164.83,160.0,4.8300000000000125,-3.789999999999992,159.33,161.83,155.7,6.130000000000024,-6.130000000000024,161.014,163.37,156.52,6.849999999999994,-6.399999999999977,2580401,3259452,1678637,1580815,1487524
2018-02-04,154.582,155.79,152.89,2.9000000000000057,-2.7900000000000205,157.822,159.18,156.09,3.0900000000000034,-0.710000000000008,152.932,154.76,151.27,3.4899999999999807,-3.0900000000000034,155.068,157.2,152.18,5.019999999999982,2.079999999999984,2871172,3469694,2055725,1413969,533064
2018-02-11,155.426,157.33,154.56,2.7700000000000102,-1.3200000000000216,156.636,157.84,155.03,2.8100000000000023,-0.30000000000001137,153.304,155.49,151.31,4.180000000000007,3.1299999999999955,155.72400000000002,156.8,154.09,2.710000000000008,-0.710000000000008,1903046,2338537,1481858,856679,-428668
2018-02-18,154.3625,155.97,152.04,3.930000000000007,-1.5300000000000011,156.4275,157.4,155.69,1.710000000000008,-0.7400000000000091,153.1825,155.53,151.28,4.25,-1.6500000000000057,154.395,156.66,151.3,5.359999999999985,1.0699999999999932,1461919,1657113,1071009,586104,-445633
2018-02-25,156.002,160.11,153.3,6.810000000000002,-2.3799999999999955,157.734,161.08,155.74,5.340000000000003,-3.4099999999999966,153.964,156.5,152.89,3.6100000000000136,-3.3799999999999955,155.394,159.07,153.51,5.560000000000002,-3.549999999999983,1738686,2076066,1451846,624220,114229
2018-03-04,156.024,156.75,154.37,2.3799999999999955,1.7699999999999818,157.836,158.67,156.79,1.8799999999999955,-1.8799999999999955,154.996,156.03,154.15,1.8799999999999955,-0.21999999999999886,156.772,157.63,155.92,1.710000000000008,-0.8900000000000148,1424427,1610266,1201691,408575,-234000
2018-03-11,157.426,158.52,156.5,2.0200000000000102,-0.21999999999999886,158.72,159.32,157.8,1.5199999999999818,0.25,156.20000000000002,157.02,155.79,1.2300000000000182,-0.060000000000002274,157.286,158.49,156.6,1.8900000000000148,0.38999999999998636,2010459,2498165,1409061,1089104,-167117
2018-03-18,154.92000000000002,157.31,152.8,4.509999999999991,-4.509999999999991,155.92000000000002,157.31,154.63,2.680000000000007,-2.680000000000007,153.09,154.19,151.38,2.8100000000000023,-2.7700000000000102,153.722,155.43,151.73,3.700000000000017,-3.700000000000017,1514169,1797340,1269287,528053,515700
2018-03-25,152.9725,156.35,151.24,5.109999999999985,3.5600000000000023,154.69,157.29,151.81,5.47999999999999,3.75,150.8875,153.3,147.28,6.02000000000001,1.5300000000000011,153.51,155.91,150.46,5.449999999999989,1.0300000000000011,2310853,3576073,1485028,2091045,276510
2018-04-01,154.484,155.98,153.0,2.9799999999999898,0.9699999999999989,156.28,157.25,155.34,1.9099999999999966,1.75,152.974,154.22,151.97,2.25,1.6100000000000136,154.648,156.28,153.08,3.1999999999999886,1.0199999999999818,1570791,2066895,1198839,868056,-481849
2018-04-08,153.314,154.49,150.08,4.409999999999997,-4.089999999999975,154.412,155.71,151.85,3.8600000000000136,-3.1200000000000045,151.856,153.54,149.64,3.9000000000000057,-3.3000000000000114,152.722,154.93,149.92,5.010000000000019,-1.6899999999999977,1457976,1892636,1269828,622808,-26149
2018-04-15,152.432,153.57,150.79,2.780000000000001,-2.0400000000000205,153.148,154.95,151.44,3.509999999999991,-1.6299999999999955,150.14000000000001,152.31,146.9,5.409999999999997,-4.47999999999999,151.12,153.24,147.25,5.990000000000009,-5.030000000000001,1537111,2333327,995473,1337854,975385
2018-04-22,147.626,148.91,147.03,1.8799999999999955,1.5200000000000102,150.792,157.5,148.14,9.360000000000014,9.080000000000013,146.686,148.91,145.78,3.1299999999999955,2.9499999999999886,149.548,156.14,146.74,9.399999999999977,9.23999999999998,1897904,2371057,1494971,876086,876086
2018-04-29,158.19,158.9,156.52,2.3799999999999955,2.3799999999999955,159.498,160.74,156.95,3.7900000000000205,3.180000000000007,156.89000000000001,158.66,154.0,4.659999999999997,4.659999999999997,158.73,159.74,156.34,3.4000000000000057,3.0,2295184,3064748,1635882,1428866,-870356
2018-05-06,160.226,161.52,158.65,2.8700000000000045,1.4800000000000182,161.01600000000002,162.11,160.21,1.9000000000000057,1.9000000000000057,158.924,160.15,158.09,2.0600000000000023,1.1500000000000057,159.914,161.22,158.75,2.469999999999999,0.11999999999997613,1519879,2265285,1151188,1114097,-499625
2018-05-13,155.62,159.68,153.04,6.640000000000015,-6.640000000000015,156.75400000000002,160.49,154.86,5.6299999999999955,-5.6299999999999955,154.066,156.8,152.5,4.300000000000011,-4.300000000000011,154.96800000000002,158.02,153.68,4.340000000000003,-3.8400000000000034,1524033,2298261,1064797,1233464,-524634
2018-05-20,157.778,159.33,154.94,4.390000000000015,4.390000000000015,159.292,159.98,157.72,2.259999999999991,2.1500000000000057,156.79,158.72,152.89,5.8300000000000125,5.8300000000000125,158.558,159.49,157.04,2.450000000000017,2.450000000000017,1296616,1624944,981690,643254,-373167
2018-05-27,159.8625,160.56,159.07,1.490000000000009,1.490000000000009,161.5875,162.44,160.87,1.5699999999999932,0.539999999999992,158.76749999999998,159.19,158.21,0.9799999999999898,0.789999999999992,160.59,161.59,159.75,1.8400000000000034,1.0500000000000114,1958057,3009129,1540877,1468252,-64933
2018-06-03,163.418,165.22,161.17,4.050000000000011,3.780000000000001,164.952,165.8,162.95,2.8500000000000227,2.6100000000000136,162.588,163.97,159.9,4.069999999999993,4.030000000000001,164.198,165.38,162.62,2.759999999999991,2.759999999999991,1479150,1784054,1282930,501124,-114051
