Date,IAFStock_Open_average,IAFStock_Open_max,IAFStock_Open_min,IAFStock_Open_volatility,IAFStock_Open_change,IAFStock_High_average,IAFStock_High_max,IAFStock_High_min,IAFStock_High_volatility,IAFStock_High_change,IAFStock_Low_average,IAFStock_Low_max,IAFStock_Low_min,IAFStock_Low_volatility,IAFStock_Low_change,IAFStock_Close_average,IAFStock_Close_max,IAFStock_Close_min,IAFStock_Close_volatility,IAFStock_Close_change,IAFStock_Volume_average,IAFStock_Volume_max,IAFStock_Volume_min,IAFStock_Volume_volatility,IAFStock_Volume_change
2018-01-14,6.4925,6.63,6.42,0.20999999999999996,-0.20999999999999996,6.495,6.63,6.42,0.20999999999999996,-0.20999999999999996,6.3925,6.42,6.35,0.07000000000000028,-0.07000000000000028,6.41,6.44,6.38,0.0600000000000005,-0.040000000000000036,8626,14666,5346,9320,1576
2018-01-21,6.494,6.73,6.32,0.41000000000000014,0.41000000000000014,6.5520000000000005,6.73,6.42,0.3100000000000005,0.3100000000000005,6.472,6.65,6.32,0.33000000000000007,0.33000000000000007,6.54,6.7,6.42,0.28000000000000025,0.28000000000000025,17604,21715,13118,8597,8597
2018-01-28,6.734,6.77,6.65,0.11999999999999922,-0.11999999999999922,6.734,6.77,6.65,0.11999999999999922,-0.11999999999999922,6.624,6.72,6.41,0.3099999999999996,-0.3099999999999996,6.64,6.73,6.42,0.3100000000000005,-0.3100000000000005,13004,19803,10198,9605,9605
2018-02-04,6.338,6.49,6.08,0.41000000000000014,-0.22000000000000064,6.402,6.49,6.28,0.20999999999999996,-0.20999999999999996,6.172,6.37,6.05,0.3200000000000003,0.0,6.276,6.44,6.14,0.3000000000000007,0.11000000000000032,19155,35548,8807,26741,-19098
2018-02-11,6.308,6.37,6.25,0.1200000000000001,0.08000000000000007,6.366,6.42,6.31,0.11000000000000032,0.11000000000000032,6.292,6.35,6.25,0.09999999999999964,0.0699999999999994,6.342,6.4,6.28,0.1200000000000001,0.0699999999999994,12541,19892,4245,15647,-6852
2018-02-18,6.3774999999999995,6.39,6.37,0.019999999999999574,0.009999999999999787,6.42,6.46,6.39,0.07000000000000028,0.03000000000000025,6.3675,6.39,6.34,0.04999999999999982,0.019999999999999574,6.407500000000001,6.44,6.39,0.05000000000000071,0.040000000000000036,10294,19357,2773,16584,-10921
2018-02-25,6.408,6.53,6.24,0.29000000000000004,-0.2699999999999996,6.426,6.6,6.24,0.35999999999999943,-0.35999999999999943,6.326,6.48,6.17,0.3100000000000005,-0.3100000000000005,6.362,6.6,6.21,0.3899999999999997,-0.3899999999999997,7187,10856,4200,6656,-5844
2018-03-04,6.382,6.55,6.18,0.3700000000000001,0.33999999999999986,6.48,6.63,6.24,0.3899999999999997,0.29000000000000004,6.31,6.48,6.18,0.3000000000000007,0.3000000000000007,6.424,6.63,6.24,0.3899999999999997,0.27999999999999936,10869,16083,4302,11781,4578
2018-03-11,6.462,6.58,6.26,0.3200000000000003,-0.2400000000000002,6.494,6.6,6.26,0.33999999999999986,-0.33999999999999986,6.418,6.5,6.22,0.28000000000000025,-0.28000000000000025,6.432,6.54,6.23,0.3099999999999996,-0.3099999999999996,9497,12972,6566,6406,-1312
2018-03-18,6.1739999999999995,6.26,6.1,0.16000000000000014,-0.1200000000000001,6.2,6.26,6.17,0.08999999999999986,-0.0699999999999994,6.104,6.14,6.08,0.05999999999999961,-0.019999999999999574,6.124,6.16,6.08,0.08000000000000007,-0.040000000000000036,8408,13323,3835,9488,1215
