Date,GEFb_stock_Open_average,GEFb_stock_Open_max,GEFb_stock_Open_min,GEFb_stock_Open_volatility,GEFb_stock_Open_change,GEFb_stock_High_average,GEFb_stock_High_max,GEFb_stock_High_min,GEFb_stock_High_volatility,GEFb_stock_High_change,GEFb_stock_Low_average,GEFb_stock_Low_max,GEFb_stock_Low_min,GEFb_stock_Low_volatility,GEFb_stock_Low_change,GEFb_stock_Close_average,GEFb_stock_Close_max,GEFb_stock_Close_min,GEFb_stock_Close_volatility,GEFb_stock_Close_change,GEFb_stock_Volume_average,GEFb_stock_Volume_max,GEFb_stock_Volume_min,GEFb_stock_Volume_volatility,GEFb_stock_Volume_change
2018-01-14,67.0125,68.15,66.0,2.1500000000000057,-2.1500000000000057,67.49000000000001,68.9,66.81,2.0900000000000034,-2.0900000000000034,66.275,66.55,66.0,0.5499999999999972,-0.5499999999999972,66.625,67.05,66.3,0.75,-0.15000000000000568,5702,8198,4556,3642,3642
2018-01-21,66.072,66.85,64.88,1.9699999999999989,-1.9500000000000028,66.356,67.65,65.05,2.6000000000000085,-1.7800000000000011,65.216,66.05,64.8,1.25,0.0799999999999983,65.71,66.5,64.8,1.7000000000000028,-1.4500000000000028,3407,4704,882,3822,-3822
2018-01-28,64.4,65.2,63.65,1.5500000000000043,0.25,64.81,65.25,64.3,0.9500000000000028,-0.6500000000000057,63.85,64.8,63.1,1.6999999999999957,-0.9499999999999957,63.98,64.8,63.1,1.6999999999999957,-1.1499999999999986,4136,5219,3107,2112,1961
2018-02-04,60.152,63.1,58.0,5.100000000000001,-5.100000000000001,60.944,63.85,59.5,4.350000000000001,-4.350000000000001,58.79,60.05,57.35,2.6999999999999957,-2.6999999999999957,59.06,60.05,57.65,2.3999999999999986,-1.3499999999999943,6938,13141,4642,8499,-709
2018-02-11,59.76,61.55,58.75,2.799999999999997,2.3999999999999986,61.05,62.55,60.0,2.549999999999997,2.049999999999997,59.57,61.4,58.6,2.799999999999997,2.799999999999997,60.35,62.55,58.7,3.8499999999999943,3.8499999999999943,4360,5586,2605,2981,-2038
2018-02-18,62.225,63.25,60.85,2.3999999999999986,1.3500000000000014,63.525000000000006,64.15,62.95,1.2000000000000028,0.3499999999999943,61.565,62.8,60.25,2.549999999999997,2.549999999999997,62.125,63.0,60.25,2.75,2.75,3832,5409,3123,2286,-272
2018-02-25,60.87,63.85,53.85,10.0,-8.949999999999996,61.6,64.7,55.1,9.600000000000001,-9.249999999999993,58.442,63.15,52.5,10.649999999999999,-10.299999999999997,59.25,64.05,53.8,10.25,-8.949999999999996,10056,16070,4999,11071,1015
2018-03-04,56.480000000000004,58.2,54.95,3.25,3.049999999999997,57.57,59.05,55.7,3.3499999999999943,3.3499999999999943,55.65,57.55,53.75,3.799999999999997,2.3999999999999986,57.059999999999995,59.0,55.4,3.6000000000000014,3.6000000000000014,6314,7844,5234,2610,-1887
2018-03-11,60.14,61.1,59.0,2.1000000000000014,0.8500000000000014,60.62,61.2,60.0,1.2000000000000028,0.6499999999999986,59.06,59.5,58.5,1.0,-0.04999999999999716,60.2,60.95,59.25,1.7000000000000028,-0.75,8026,17668,3602,14066,14066
2018-03-18,60.14,61.25,59.35,1.8999999999999986,0.29999999999999716,61.19,61.95,59.7,2.25,1.2999999999999972,59.12,60.6,58.45,2.1499999999999986,-0.09999999999999432,60.050000000000004,61.9,58.45,3.4499999999999957,-1.0,19077,39348,6556,32792,4534
2018-03-25,58.3525,58.85,57.48,1.3700000000000045,-0.8500000000000014,58.8625,59.1,58.6,0.5,-0.5,57.325,57.67,56.9,0.7700000000000031,-0.19000000000000483,58.025000000000006,58.95,57.2,1.75,-0.7000000000000028,9194,12417,6876,5541,-2641
