Date,iShares GNMA Bond_Open_average,iShares GNMA Bond_Open_max,iShares GNMA Bond_Open_min,iShares GNMA Bond_Open_volatility,iShares GNMA Bond_Open_change,iShares GNMA Bond_High_average,iShares GNMA Bond_High_max,iShares GNMA Bond_High_min,iShares GNMA Bond_High_volatility,iShares GNMA Bond_High_change,iShares GNMA Bond_Low_average,iShares GNMA Bond_Low_max,iShares GNMA Bond_Low_min,iShares GNMA Bond_Low_volatility,iShares GNMA Bond_Low_change,iShares GNMA Bond_Close_average,iShares GNMA Bond_Close_max,iShares GNMA Bond_Close_min,iShares GNMA Bond_Close_volatility,iShares GNMA Bond_Close_change
2018-01-14,49.24,49.24,49.24,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-01-21,48.96,48.96,48.96,0.0,0.0,49.04,49.04,49.04,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2018-01-28,48.55,48.55,48.55,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.59,48.59,48.59,0.0,0.0
2018-02-04,48.41,48.41,48.41,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.43,48.43,48.43,0.0,0.0
2018-02-11,48.38,48.38,48.38,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.48,48.48,48.48,0.0,0.0
2018-02-18,48.38,48.38,48.38,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.38,48.38,48.38,0.0,0.0
2018-02-25,48.39,48.39,48.39,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.23,48.23,48.23,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2018-03-04,48.25,48.25,48.25,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.43,48.43,48.43,0.0,0.0
2018-03-11,48.31,48.31,48.31,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.33,48.33,48.33,0.0,0.0
2018-03-18,48.42,48.42,48.42,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.32,48.32,48.32,0.0,0.0,48.51,48.51,48.51,0.0,0.0
2018-03-25,48.47,48.47,48.47,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.47,48.47,48.47,0.0,0.0
