Date,EXPR_Open_average,EXPR_Open_max,EXPR_Open_min,EXPR_Open_volatility,EXPR_Open_change,EXPR_High_average,EXPR_High_max,EXPR_High_min,EXPR_High_volatility,EXPR_High_change,EXPR_Low_average,EXPR_Low_max,EXPR_Low_min,EXPR_Low_volatility,EXPR_Low_change,EXPR_Close_average,EXPR_Close_max,EXPR_Close_min,EXPR_Close_volatility,EXPR_Close_change,EXPR_Volume_average,EXPR_Volume_max,EXPR_Volume_min,EXPR_Volume_volatility,EXPR_Volume_change
2018-03-25,7.18,7.25,7.12,0.1299999999999999,-0.1299999999999999,7.335,7.45,7.2,0.25,-0.20000000000000018,6.99,7.15,6.62,0.5300000000000002,-0.5,7.0575,7.23,6.71,0.5200000000000005,-0.41999999999999993,2179858,2591567,1518292,1073275,-484114
2018-04-01,7.146,7.59,6.75,0.8399999999999999,0.8399999999999999,7.418,7.7,7.0,0.7000000000000002,0.6900000000000004,7.102,7.48,6.75,0.7300000000000004,0.7300000000000004,7.314,7.56,6.9,0.6599999999999993,0.6099999999999994,1628415,1931363,1429440,501923,-501923
2018-04-08,7.8500000000000005,8.21,7.58,0.6300000000000008,0.6300000000000008,8.004,8.31,7.75,0.5600000000000005,0.46000000000000085,7.726,7.92,7.53,0.3899999999999997,0.25,7.882,8.19,7.7,0.4899999999999993,0.10999999999999943,2009025,3729633,1082828,2646805,1173433
2018-04-15,7.648000000000001,7.9,7.32,0.5800000000000001,-0.5099999999999998,7.756,8.0,7.39,0.6100000000000003,-0.6100000000000003,7.488,7.8,7.15,0.6499999999999995,-0.6499999999999995,7.564,7.81,7.29,0.5199999999999996,-0.47999999999999954,1585012,1982551,1227384,755167,755167
2018-04-22,7.6,7.91,7.4,0.5099999999999998,0.5099999999999998,7.782,7.97,7.61,0.35999999999999943,0.35999999999999943,7.556,7.83,7.34,0.4900000000000002,0.4900000000000002,7.678,7.88,7.45,0.4299999999999997,0.3899999999999997,1600005,2169752,1171966,997786,626871
2018-04-29,7.524,7.8,7.31,0.4900000000000002,-0.16000000000000014,7.678,7.82,7.53,0.29000000000000004,-0.0600000000000005,7.382,7.6,7.27,0.33000000000000007,0.22999999999999954,7.516,7.75,7.31,0.4400000000000004,0.28000000000000025,1873222,3202848,1345338,1857510,-1669514
2018-05-06,8.226,8.64,7.7,0.9400000000000004,0.9400000000000004,8.464,8.78,7.96,0.8199999999999994,0.8199999999999994,8.154,8.59,7.68,0.9100000000000001,0.9100000000000001,8.398,8.65,7.95,0.7000000000000002,0.6800000000000006,1773847,2333577,1392162,941415,-74486
2018-05-13,8.956,9.22,8.63,0.5899999999999999,0.5899999999999999,9.154,9.35,8.79,0.5600000000000005,0.4900000000000002,8.889999999999999,9.1,8.59,0.5099999999999998,0.5099999999999998,9.028,9.17,8.7,0.47000000000000064,0.41000000000000014,1622894,2148453,1125605,1022848,1004390
2018-05-20,8.94,9.2,8.78,0.41999999999999993,-0.1999999999999993,9.092500000000001,9.21,9.05,0.16000000000000014,-0.16000000000000014,8.7325,8.91,8.59,0.3200000000000003,0.1999999999999993,8.91,9.04,8.81,0.22999999999999865,0.15000000000000036,1338848,1841333,910234,931099,-569171
2018-05-27,9.114,10.08,8.52,1.5600000000000005,0.33999999999999986,9.46,10.5,8.98,1.5199999999999996,0.4299999999999997,8.628,8.98,8.24,0.7400000000000002,0.16000000000000014,9.0,9.34,8.51,0.8300000000000001,0.5,4404141,7850454,1656832,6193622,1345206
2018-06-03,10.056,10.49,9.36,1.1300000000000008,1.1300000000000008,10.466,10.8,10.21,0.5899999999999999,0.5899999999999999,9.95,10.34,9.28,1.0600000000000005,1.0600000000000005,10.292,10.59,10.09,0.5,0.5,2409950,3925800,1842348,2083452,-1820971
2018-06-10,9.908,10.64,9.29,1.3500000000000014,-1.3500000000000014,10.084,10.69,9.55,1.1399999999999988,-0.8300000000000001,9.638,10.38,9.28,1.1000000000000014,-1.1000000000000014,9.767999999999999,10.45,9.36,1.0899999999999999,-0.6899999999999995,3226062,4322502,2048498,2274004,1719646
2018-06-17,10.204,10.5,9.66,0.8399999999999999,0.8300000000000001,10.406,10.57,9.98,0.5899999999999999,0.5700000000000003,10.038,10.34,9.66,0.6799999999999997,0.4399999999999995,10.282,10.5,9.92,0.5800000000000001,0.25,1565304,1829256,1341171,488085,-456545
2018-06-24,9.824,10.31,9.07,1.2400000000000002,-1.0600000000000005,9.948,10.4,9.16,1.2400000000000002,-1.129999999999999,9.514,10.06,8.93,1.1300000000000008,-1.1300000000000008,9.616,10.26,9.15,1.1099999999999994,-1.1099999999999994,1956271,2711572,1276129,1435443,-604637
2018-07-01,9.435,9.75,9.22,0.5299999999999994,0.5299999999999994,9.629999999999999,9.8,9.44,0.3600000000000012,0.3600000000000012,9.315,9.51,9.11,0.40000000000000036,0.40000000000000036,9.525,9.67,9.29,0.3800000000000008,0.3800000000000008,1045405,1354604,783634,570970,570970
2018-07-08,9.392,9.66,9.28,0.3800000000000008,-0.2699999999999996,9.57,9.79,9.38,0.40999999999999837,0.009999999999999787,9.18,9.31,9.05,0.2599999999999998,-0.0600000000000005,9.396,9.64,9.28,0.3600000000000012,0.3100000000000005,1935238,3225288,1397961,1827327,458502
2018-07-15,9.911999999999999,10.09,9.61,0.4800000000000004,0.2400000000000002,10.126,10.35,9.93,0.41999999999999993,-0.15000000000000036,9.762,9.92,9.61,0.3100000000000005,0.05000000000000071,9.942,10.11,9.68,0.4299999999999997,-0.39000000000000057,1163127,1568299,915029,653270,-334136
2018-07-22,9.778,10.02,9.51,0.5099999999999998,-0.22000000000000064,10.086,10.4,9.9,0.5,-0.09999999999999964,9.568,9.72,9.48,0.2400000000000002,-0.11999999999999922,9.794,10.01,9.52,0.4900000000000002,0.08000000000000007,1474670,1823785,1195881,627904,429172
2018-07-29,9.674,9.82,9.32,0.5,-0.019999999999999574,9.844,9.96,9.73,0.23000000000000043,0.11999999999999922,9.498,9.74,9.24,0.5,0.16000000000000014,9.684000000000001,9.88,9.42,0.46000000000000085,0.25,999880,1317772,784480,533292,-533292
2018-08-05,10.212,10.57,9.95,0.620000000000001,0.620000000000001,10.386000000000001,10.63,10.13,0.5,0.4399999999999995,10.0,10.29,9.78,0.5099999999999998,0.16999999999999993,10.292,10.53,10.11,0.41999999999999993,0.19000000000000128,1042587,1385014,792420,592594,278377
2018-08-12,10.32,10.61,10.15,0.4599999999999991,-0.120000000000001,10.566,10.75,10.3,0.4499999999999993,-0.14000000000000057,10.068,10.28,9.9,0.379999999999999,-0.29999999999999893,10.384,10.71,10.1,0.6100000000000012,-0.15000000000000036,1450368,1801286,1215312,585974,231810
2018-08-19,10.56,10.66,10.42,0.2400000000000002,-0.16000000000000014,10.696,10.9,10.42,0.4800000000000004,-0.25,10.246,10.46,9.76,0.7000000000000011,-0.5800000000000001,10.416,10.73,9.82,0.9100000000000001,-0.7899999999999991,1935641,3722426,1214178,2508248,2508248
2018-08-26,10.235,10.69,9.9,0.7899999999999991,0.7899999999999991,10.7475,11.28,10.33,0.9499999999999993,0.9499999999999993,9.8525,10.66,9.04,1.620000000000001,0.8499999999999996,10.45,11.22,9.93,1.290000000000001,1.2300000000000004,5784836,9708886,3915182,5793704,-378686
2018-09-02,11.148,11.65,10.51,1.1400000000000006,-0.7100000000000009,11.26,11.69,10.61,1.08,-0.9000000000000004,10.784,11.22,10.34,0.8800000000000008,-0.870000000000001,10.976,11.59,10.39,1.1999999999999993,-0.9600000000000009,2769335,3616106,1623441,1992665,-1316496
2018-09-09,10.526,10.72,10.41,0.3100000000000005,-0.05000000000000071,10.646,10.75,10.55,0.1999999999999993,0.08999999999999986,10.32,10.41,10.21,0.1999999999999993,-0.129999999999999,10.496,10.62,10.41,0.20999999999999908,-0.120000000000001,1703684,2418680,1097849,1320831,686230
