Date,PLD_Open_average,PLD_Open_max,PLD_Open_min,PLD_Open_volatility,PLD_Open_change,PLD_High_average,PLD_High_max,PLD_High_min,PLD_High_volatility,PLD_High_change,PLD_Low_average,PLD_Low_max,PLD_Low_min,PLD_Low_volatility,PLD_Low_change,PLD_Close_average,PLD_Close_max,PLD_Close_min,PLD_Close_volatility,PLD_Close_change,PLD_Volume_average,PLD_Volume_max,PLD_Volume_min,PLD_Volume_volatility,PLD_Volume_change
2018-01-14,62.17,62.76,61.52,1.2399999999999949,-0.3400000000000034,62.786,63.24,61.78,1.4600000000000009,-0.0800000000000054,61.666000000000004,62.06,61.09,0.9699999999999989,-0.21999999999999886,62.264,63.11,61.43,1.6799999999999997,0.9699999999999989,3094124,3791008,2394227,1396781,739702
2018-01-21,64.342,64.96,63.39,1.5699999999999932,0.8599999999999994,64.696,64.99,64.25,0.7399999999999949,-0.730000000000004,63.642,64.15,63.13,1.0200000000000031,0.21000000000000085,64.29,64.97,63.39,1.5799999999999983,-1.5799999999999983,2285141,3554279,1462627,2091652,-2091652
2018-01-28,63.604,65.01,63.06,1.9500000000000028,0.3299999999999983,64.438,65.19,63.41,1.7800000000000011,0.8100000000000023,62.586,63.58,61.09,2.489999999999995,-1.3299999999999983,63.354,65.11,61.21,3.8999999999999986,-1.6899999999999977,3243390,3976908,2621705,1355203,875024
2018-02-04,60.02,60.63,58.7,1.9299999999999997,0.480000000000004,61.168,61.91,60.79,1.1199999999999974,-0.4200000000000017,58.83,59.97,58.28,1.6899999999999977,-0.7199999999999989,59.916,60.74,58.33,2.4100000000000037,-0.5900000000000034,4081331,4659456,3365002,1294454,-1008942
2018-02-11,60.765,61.46,60.05,1.4100000000000037,1.4100000000000037,61.535,62.48,60.79,1.6899999999999977,1.0499999999999972,60.3725,61.42,59.84,1.5799999999999983,1.5799999999999983,61.272499999999994,61.98,60.54,1.4399999999999977,0.8200000000000003,2760068,3054201,2438864,615337,428895
2018-02-18,60.982,61.72,60.17,1.5499999999999972,-0.18999999999999773,61.528,62.5,60.58,1.9200000000000017,-0.9399999999999977,60.362,61.15,59.74,1.4099999999999966,-0.25,60.73,61.31,59.91,1.4000000000000057,0.0800000000000054,3083913,3633302,2467736,1165566,-1165566
2018-02-25,60.612,61.5,59.77,1.7299999999999969,-1.7299999999999969,61.28,61.51,60.63,0.8799999999999955,-0.04999999999999716,59.926,60.58,59.25,1.3299999999999983,-0.0899999999999963,60.614,61.09,60.22,0.8700000000000045,0.730000000000004,2683632,4643987,1704743,2939244,-766593
2018-03-04,62.17,63.54,61.02,2.519999999999996,2.519999999999996,62.732,63.87,61.7,2.1699999999999946,2.1699999999999946,61.732,63.15,60.68,2.469999999999999,2.469999999999999,62.63,63.69,61.6,2.0899999999999963,1.9600000000000009,2248801,3159444,1433899,1725545,1239212
2018-03-11,63.516,63.86,63.05,0.8100000000000023,-0.030000000000001137,63.775999999999996,64.02,63.4,0.6199999999999974,-0.18999999999999773,62.99,63.08,62.85,0.22999999999999687,-0.10999999999999943,63.44,63.83,63.22,0.6099999999999994,-0.02999999999999403,1948438,2825385,1436906,1388479,-480452
2018-03-18,62.397999999999996,63.49,60.9,2.5900000000000034,-2.5900000000000034,62.82,63.94,61.41,2.530000000000001,-2.530000000000001,61.438,63.13,59.91,3.220000000000006,-2.789999999999999,61.852,63.58,60.11,3.469999999999999,-2.3500000000000014,1889422,2407416,1578048,829368,241805
2018-03-25,62.5625,63.17,61.84,1.3299999999999983,1.3299999999999983,63.14,63.36,62.95,0.4099999999999966,0.10999999999999943,61.792500000000004,62.64,60.82,1.8200000000000003,-0.5799999999999983,62.24,62.99,61.4,1.5900000000000034,-0.6400000000000006,2491984,2950250,2137939,812311,-526042
2018-04-01,61.66,62.28,61.25,1.0300000000000011,0.060000000000002274,62.276,62.53,62.0,0.5300000000000011,0.25,61.102,61.3,60.96,0.3399999999999963,0.3399999999999963,61.64,62.15,61.24,0.9099999999999966,-0.4099999999999966,2187268,2593203,1865655,727548,144680
2018-04-08,61.998,62.79,61.37,1.4200000000000017,0.6199999999999974,62.468,62.87,62.09,0.779999999999994,0.779999999999994,61.506,61.83,61.32,0.509999999999998,0.37999999999999545,61.944,62.6,61.6,1.0,1.0,2022136,2392448,1716018,676430,132376
2018-04-15,65.002,65.66,63.43,2.229999999999997,1.6499999999999986,65.7,66.15,65.36,0.7900000000000063,-0.39000000000000057,64.556,65.27,63.35,1.9199999999999946,1.1600000000000037,65.212,65.66,64.88,0.7800000000000011,-0.4200000000000017,2525105,3776244,1533055,2243189,-2243189
2018-04-22,65.04,65.76,64.11,1.6500000000000057,-1.0600000000000023,66.01,67.0,65.04,1.9599999999999937,-0.0899999999999892,64.692,65.72,63.9,1.8200000000000003,-0.8399999999999963,65.444,66.58,64.64,1.9399999999999977,-0.3100000000000023,3267755,9085685,1349490,7736195,6813002
2018-04-29,64.948,65.52,64.55,0.9699999999999989,0.37999999999999545,65.41,65.65,65.06,0.5900000000000034,0.20000000000000284,64.702,65.21,64.39,0.8199999999999932,0.29999999999999716,65.072,65.49,64.75,0.7399999999999949,0.4200000000000017,3212006,4037691,2319120,1718571,-789458
2018-05-06,65.454,65.7,65.19,0.5100000000000051,0.030000000000001137,65.626,65.75,65.41,0.3400000000000034,-0.18000000000000682,65.05,65.29,64.73,0.5600000000000023,-0.35999999999999943,65.30799999999999,65.59,65.19,0.4000000000000057,0.01999999999999602,2779250,2979165,2249752,729413,-81223
