Date,AlphaMark Actively Managed Small_Open_average,AlphaMark Actively Managed Small_Open_max,AlphaMark Actively Managed Small_Open_min,AlphaMark Actively Managed Small_Open_volatility,AlphaMark Actively Managed Small_Open_change,AlphaMark Actively Managed Small_High_average,AlphaMark Actively Managed Small_High_max,AlphaMark Actively Managed Small_High_min,AlphaMark Actively Managed Small_High_volatility,AlphaMark Actively Managed Small_High_change,AlphaMark Actively Managed Small_Low_average,AlphaMark Actively Managed Small_Low_max,AlphaMark Actively Managed Small_Low_min,AlphaMark Actively Managed Small_Low_volatility,AlphaMark Actively Managed Small_Low_change,AlphaMark Actively Managed Small_Close_average,AlphaMark Actively Managed Small_Close_max,AlphaMark Actively Managed Small_Close_min,AlphaMark Actively Managed Small_Close_volatility,AlphaMark Actively Managed Small_Close_change
2018-01-14,26.57,26.57,26.57,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-01-21,27.04,27.04,27.04,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2018-01-28,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2018-02-04,24.29,24.29,24.29,0.0,0.0,24.29,24.29,24.29,0.0,0.0,24.29,24.29,24.29,0.0,0.0,24.29,24.29,24.29,0.0,0.0
2018-02-11,25.38,25.38,25.38,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2018-02-18,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-02-25,24.91,24.91,24.91,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0
2018-03-04,25.81,25.81,25.81,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2018-03-11,26.0,26.0,26.0,0.0,0.0,26.01,26.01,26.01,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2018-03-18,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-03-25,24.77,24.77,24.77,0.0,0.0,25.07,25.07,25.07,0.0,0.0,24.77,24.77,24.77,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2018-04-01,24.73,24.73,24.73,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2018-04-08,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2018-04-15,25.42,25.42,25.42,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2018-04-22,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2018-04-29,24.95,24.95,24.95,0.0,0.0,25.35,25.35,25.35,0.0,0.0,24.95,24.95,24.95,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2018-05-06,25.67,25.67,25.67,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2018-05-13,26.32,26.32,26.32,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2018-05-20,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2018-05-27,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2018-06-03,26.57,26.57,26.57,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2018-06-10,26.85,26.85,26.85,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.85,26.85,26.85,0.0,0.0
2018-06-17,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-06-24,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2018-07-01,26.77,26.77,26.77,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0
2018-07-08,27.02,27.02,27.02,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.85,26.85,26.85,0.0,0.0
2018-07-15,27.51,27.51,27.51,0.0,0.0,27.51,27.51,27.51,0.0,0.0,26.98,26.98,26.98,0.0,0.0,26.98,26.98,26.98,0.0,0.0
2018-07-22,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2018-07-29,26.42,26.42,26.42,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.43,26.43,26.43,0.0,0.0
2018-08-05,27.0,27.0,27.0,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0
2018-08-12,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0
2018-08-19,27.61,27.61,27.61,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2018-08-26,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2018-09-02,26.95,26.95,26.95,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2018-09-09,27.15,27.15,27.15,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2018-09-16,27.21,27.21,27.21,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0
2018-09-23,26.64,26.64,26.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-09-30,25.57,25.57,25.57,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2018-10-07,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0,23.97,23.97,23.97,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2018-10-14,24.72,24.72,24.72,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.72,24.72,24.72,0.0,0.0,25.01,25.01,25.01,0.0,0.0
2018-10-21,23.56,23.56,23.56,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.07,23.07,23.07,0.0,0.0,23.07,23.07,23.07,0.0,0.0
