Date,SPDR S&P Regional Banking_Open_average,SPDR S&P Regional Banking_Open_max,SPDR S&P Regional Banking_Open_min,SPDR S&P Regional Banking_Open_volatility,SPDR S&P Regional Banking_Open_change,SPDR S&P Regional Banking_High_average,SPDR S&P Regional Banking_High_max,SPDR S&P Regional Banking_High_min,SPDR S&P Regional Banking_High_volatility,SPDR S&P Regional Banking_High_change,SPDR S&P Regional Banking_Low_average,SPDR S&P Regional Banking_Low_max,SPDR S&P Regional Banking_Low_min,SPDR S&P Regional Banking_Low_volatility,SPDR S&P Regional Banking_Low_change,SPDR S&P Regional Banking_Close_average,SPDR S&P Regional Banking_Close_max,SPDR S&P Regional Banking_Close_min,SPDR S&P Regional Banking_Close_volatility,SPDR S&P Regional Banking_Close_change
2018-01-14,62.9,62.9,62.9,0.0,0.0,63.21,63.21,63.21,0.0,0.0,62.55,62.55,62.55,0.0,0.0,63.2,63.2,63.2,0.0,0.0
2018-01-21,63.06,63.06,63.06,0.0,0.0,63.4,63.4,63.4,0.0,0.0,62.8,62.8,62.8,0.0,0.0,62.8,62.8,62.8,0.0,0.0
2018-01-28,61.85,61.85,61.85,0.0,0.0,62.75,62.75,62.75,0.0,0.0,59.81,59.81,59.81,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2018-02-04,60.49,60.49,60.49,0.0,0.0,61.12,61.12,61.12,0.0,0.0,59.76,59.76,59.76,0.0,0.0,60.53,60.53,60.53,0.0,0.0
2018-02-11,62.34,62.34,62.34,0.0,0.0,63.5,63.5,63.5,0.0,0.0,62.34,62.34,62.34,0.0,0.0,63.1,63.1,63.1,0.0,0.0
2018-02-18,63.27,63.27,63.27,0.0,0.0,63.35,63.35,63.35,0.0,0.0,62.44,62.44,62.44,0.0,0.0,63.29,63.29,63.29,0.0,0.0
2018-02-25,62.08,62.08,62.08,0.0,0.0,63.63,63.63,63.63,0.0,0.0,61.51,61.51,61.51,0.0,0.0,63.31,63.31,63.31,0.0,0.0
2018-03-04,64.97,64.97,64.97,0.0,0.0,65.33,65.33,65.33,0.0,0.0,64.59,64.59,64.59,0.0,0.0,64.91,64.91,64.91,0.0,0.0
2018-03-11,63.91,63.91,63.91,0.0,0.0,64.05,64.05,64.05,0.0,0.0,62.7,62.7,62.7,0.0,0.0,63.49,63.49,63.49,0.0,0.0
2018-03-18,59.8,59.8,59.8,0.0,0.0,60.89,60.89,60.89,0.0,0.0,59.46,59.46,59.46,0.0,0.0,60.83,60.83,60.83,0.0,0.0
