Date,iShares Aaa - A Rated Corporate Bond_Open_average,iShares Aaa - A Rated Corporate Bond_Open_max,iShares Aaa - A Rated Corporate Bond_Open_min,iShares Aaa - A Rated Corporate Bond_Open_volatility,iShares Aaa - A Rated Corporate Bond_Open_change,iShares Aaa - A Rated Corporate Bond_High_average,iShares Aaa - A Rated Corporate Bond_High_max,iShares Aaa - A Rated Corporate Bond_High_min,iShares Aaa - A Rated Corporate Bond_High_volatility,iShares Aaa - A Rated Corporate Bond_High_change,iShares Aaa - A Rated Corporate Bond_Low_average,iShares Aaa - A Rated Corporate Bond_Low_max,iShares Aaa - A Rated Corporate Bond_Low_min,iShares Aaa - A Rated Corporate Bond_Low_volatility,iShares Aaa - A Rated Corporate Bond_Low_change,iShares Aaa - A Rated Corporate Bond_Close_average,iShares Aaa - A Rated Corporate Bond_Close_max,iShares Aaa - A Rated Corporate Bond_Close_min,iShares Aaa - A Rated Corporate Bond_Close_volatility,iShares Aaa - A Rated Corporate Bond_Close_change
2018-01-14,52.16,52.16,52.16,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.13,52.13,52.13,0.0,0.0
2018-01-21,52.26,52.26,52.26,0.0,0.0,52.26,52.26,52.26,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2018-01-28,51.61,51.61,51.61,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.8,51.8,51.8,0.0,0.0
2018-02-04,51.35,51.35,51.35,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.41,51.41,51.41,0.0,0.0
2018-02-11,51.35,51.35,51.35,0.0,0.0,51.42,51.42,51.42,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.35,51.35,51.35,0.0,0.0
2018-02-18,51.37,51.37,51.37,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2018-02-25,50.95,50.95,50.95,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2018-03-04,50.81,50.81,50.81,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2018-03-11,50.88,50.88,50.88,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-03-18,50.82,50.82,50.82,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2018-03-25,50.91,50.91,50.91,0.0,0.0,51.03,51.03,51.03,0.0,0.0,50.89,50.89,50.89,0.0,0.0,51.03,51.03,51.03,0.0,0.0
2018-04-01,50.95,50.95,50.95,0.0,0.0,51.04,51.04,51.04,0.0,0.0,50.95,50.95,50.95,0.0,0.0,51.04,51.04,51.04,0.0,0.0
2018-04-08,50.86,50.86,50.86,0.0,0.0,51.01,51.01,51.01,0.0,0.0,50.86,50.86,50.86,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2018-04-15,50.47,50.47,50.47,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2018-04-22,50.56,50.56,50.56,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.49,50.49,50.49,0.0,0.0
2018-04-29,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2018-05-06,50.35,50.35,50.35,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2018-05-13,50.19,50.19,50.19,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2018-05-20,50.6,50.6,50.6,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.6,50.6,50.6,0.0,0.0
2018-05-27,50.49,50.49,50.49,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.4,50.4,50.4,0.0,0.0
2018-06-03,50.37,50.37,50.37,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2018-06-10,50.48,50.48,50.48,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2018-06-17,50.33,50.33,50.33,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-06-24,50.37,50.37,50.37,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-07-01,50.61,50.61,50.61,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2018-07-08,50.72,50.72,50.72,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2018-07-15,50.48,50.48,50.48,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2018-07-22,50.6,50.6,50.6,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.67,50.67,50.67,0.0,0.0
2018-07-29,50.7,50.7,50.7,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2018-08-05,50.65,50.65,50.65,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2018-08-12,50.92,50.92,50.92,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2018-08-19,50.83,50.83,50.83,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2018-08-26,50.84,50.84,50.84,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2018-09-02,50.49,50.49,50.49,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2018-09-09,50.49,50.49,50.49,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2018-09-16,50.38,50.38,50.38,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.29,50.29,50.29,0.0,0.0
2018-09-23,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2018-09-30,49.77,49.77,49.77,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2018-10-07,49.87,49.87,49.87,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-10-14,49.71,49.71,49.71,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2018-10-21,49.8,49.8,49.8,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.93,49.93,49.93,0.0,0.0
