Date,SPDR SSgA Ultra Short Term BondEtf_Open_average,SPDR SSgA Ultra Short Term BondEtf_Open_max,SPDR SSgA Ultra Short Term BondEtf_Open_min,SPDR SSgA Ultra Short Term BondEtf_Open_volatility,SPDR SSgA Ultra Short Term BondEtf_Open_change,SPDR SSgA Ultra Short Term BondEtf_High_average,SPDR SSgA Ultra Short Term BondEtf_High_max,SPDR SSgA Ultra Short Term BondEtf_High_min,SPDR SSgA Ultra Short Term BondEtf_High_volatility,SPDR SSgA Ultra Short Term BondEtf_High_change,SPDR SSgA Ultra Short Term BondEtf_Low_average,SPDR SSgA Ultra Short Term BondEtf_Low_max,SPDR SSgA Ultra Short Term BondEtf_Low_min,SPDR SSgA Ultra Short Term BondEtf_Low_volatility,SPDR SSgA Ultra Short Term BondEtf_Low_change,SPDR SSgA Ultra Short Term BondEtf_Close_average,SPDR SSgA Ultra Short Term BondEtf_Close_max,SPDR SSgA Ultra Short Term BondEtf_Close_min,SPDR SSgA Ultra Short Term BondEtf_Close_volatility,SPDR SSgA Ultra Short Term BondEtf_Close_change
2018-01-14,40.32,40.32,40.32,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2018-01-21,40.29,40.29,40.29,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.29,40.29,40.29,0.0,0.0,40.32,40.32,40.32,0.0,0.0
2018-01-28,40.28,40.28,40.28,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.27,40.27,40.27,0.0,0.0
2018-02-04,40.27,40.27,40.27,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.23,40.23,40.23,0.0,0.0
2018-02-11,40.29,40.29,40.29,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.28,40.28,40.28,0.0,0.0
2018-02-18,40.3,40.3,40.3,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.25,40.25,40.25,0.0,0.0
2018-02-25,40.24,40.24,40.24,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2018-03-04,40.21,40.21,40.21,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.21,40.21,40.21,0.0,0.0,40.24,40.24,40.24,0.0,0.0
2018-03-11,40.25,40.25,40.25,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2018-03-18,40.25,40.25,40.25,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2018-03-25,40.24,40.24,40.24,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.23,40.23,40.23,0.0,0.0
2018-04-01,40.2,40.2,40.2,0.0,0.0,40.21,40.21,40.21,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.2,40.2,40.2,0.0,0.0
2018-04-08,40.21,40.21,40.21,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.23,40.23,40.23,0.0,0.0
2018-04-15,40.24,40.24,40.24,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2018-04-22,40.27,40.27,40.27,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.28,40.28,40.28,0.0,0.0
