Date,iPath US Treasury 2 year Bear_etf_Open_average,iPath US Treasury 2 year Bear_etf_Open_max,iPath US Treasury 2 year Bear_etf_Open_min,iPath US Treasury 2 year Bear_etf_Open_volatility,iPath US Treasury 2 year Bear_etf_Open_change,iPath US Treasury 2 year Bear_etf_High_average,iPath US Treasury 2 year Bear_etf_High_max,iPath US Treasury 2 year Bear_etf_High_min,iPath US Treasury 2 year Bear_etf_High_volatility,iPath US Treasury 2 year Bear_etf_High_change,iPath US Treasury 2 year Bear_etf_Low_average,iPath US Treasury 2 year Bear_etf_Low_max,iPath US Treasury 2 year Bear_etf_Low_min,iPath US Treasury 2 year Bear_etf_Low_volatility,iPath US Treasury 2 year Bear_etf_Low_change,iPath US Treasury 2 year Bear_etf_Close_average,iPath US Treasury 2 year Bear_etf_Close_max,iPath US Treasury 2 year Bear_etf_Close_min,iPath US Treasury 2 year Bear_etf_Close_volatility,iPath US Treasury 2 year Bear_etf_Close_change
2018-01-14,36.68,36.68,36.68,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-01-21,36.94,36.94,36.94,0.0,0.0,37.08,37.08,37.08,0.0,0.0,36.94,36.94,36.94,0.0,0.0,37.04,37.04,37.04,0.0,0.0
2018-01-28,37.59,37.59,37.59,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.4,37.4,37.4,0.0,0.0
2018-02-04,36.95,36.95,36.95,0.0,0.0,37.59,37.59,37.59,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2018-02-11,37.98,37.98,37.98,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.95,37.95,37.95,0.0,0.0
2018-02-18,37.72,37.72,37.72,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2018-02-25,37.38,37.38,37.38,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.39,37.39,37.39,0.0,0.0
2018-03-04,37.82,37.82,37.82,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2018-03-11,37.9,37.9,37.9,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2018-03-18,37.71,37.71,37.71,0.0,0.0,38.47,38.47,38.47,0.0,0.0,37.71,37.71,37.71,0.0,0.0,38.09,38.09,38.09,0.0,0.0
2018-03-25,37.39,37.39,37.39,0.0,0.0,37.39,37.39,37.39,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.38,37.38,37.38,0.0,0.0
2018-04-01,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,0.0,0.0
2018-04-08,37.75,37.75,37.75,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.75,37.75,37.75,0.0,0.0,38.0,38.0,38.0,0.0,0.0
2018-04-15,39.07,39.07,39.07,0.0,0.0,39.07,39.07,39.07,0.0,0.0,38.9,38.9,38.9,0.0,0.0,39.05,39.05,39.05,0.0,0.0
2018-04-22,39.02,39.02,39.02,0.0,0.0,39.14,39.14,39.14,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2018-04-29,38.88,38.88,38.88,0.0,0.0,39.19,39.19,39.19,0.0,0.0,38.88,38.88,38.88,0.0,0.0,39.19,39.19,39.19,0.0,0.0
2018-05-06,39.65,39.65,39.65,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2018-05-13,39.79,39.79,39.79,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.68,39.68,39.68,0.0,0.0,39.68,39.68,39.68,0.0,0.0
2018-05-20,38.79,38.79,38.79,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.66,38.66,38.66,0.0,0.0,38.66,38.66,38.66,0.0,0.0
2018-05-27,38.67,38.67,38.67,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2018-06-03,39.0,39.0,39.0,0.0,0.0,39.04,39.04,39.04,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.71,38.71,38.71,0.0,0.0
2018-06-10,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2018-06-17,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2018-06-24,38.75,38.75,38.75,0.0,0.0,39.33,39.33,39.33,0.0,0.0,38.75,38.75,38.75,0.0,0.0,39.33,39.33,39.33,0.0,0.0
2018-07-01,39.24,39.24,39.24,0.0,0.0,39.24,39.24,39.24,0.0,0.0,38.97,38.97,38.97,0.0,0.0,38.97,38.97,38.97,0.0,0.0
2018-07-08,39.25,39.25,39.25,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.25,39.25,39.25,0.0,0.0
2018-07-15,40.05,40.05,40.05,0.0,0.0,40.05,40.05,40.05,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.82,39.82,39.82,0.0,0.0
2018-07-22,40.15,40.15,40.15,0.0,0.0,40.15,40.15,40.15,0.0,0.0,40.15,40.15,40.15,0.0,0.0,40.15,40.15,40.15,0.0,0.0
2018-07-29,39.6,39.6,39.6,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.56,39.56,39.56,0.0,0.0
