Date,HCI_Open_average,HCI_Open_max,HCI_Open_min,HCI_Open_volatility,HCI_Open_change,HCI_High_average,HCI_High_max,HCI_High_min,HCI_High_volatility,HCI_High_change,HCI_Low_average,HCI_Low_max,HCI_Low_min,HCI_Low_volatility,HCI_Low_change,HCI_Close_average,HCI_Close_max,HCI_Close_min,HCI_Close_volatility,HCI_Close_change,HCI_Volume_average,HCI_Volume_max,HCI_Volume_min,HCI_Volume_volatility,HCI_Volume_change
2018-01-14,35.1,35.79,34.4,1.3900000000000006,0.23999999999999488,35.806,36.89,35.06,1.8299999999999983,0.4199999999999946,34.506,34.86,34.17,0.6899999999999977,0.5200000000000031,35.132,35.85,34.2,1.6499999999999986,1.0399999999999991,209871,585787,84301,501486,-12299
2018-01-21,35.214,35.38,34.95,0.4299999999999997,-0.4299999999999997,35.448,35.62,35.24,0.37999999999999545,0.23999999999999488,34.722,34.95,34.53,0.4200000000000017,0.19000000000000483,35.158,35.55,34.95,0.5999999999999943,0.3999999999999986,75501,102837,56490,46347,17278
2018-01-28,35.300000000000004,35.54,35.0,0.5399999999999991,-0.14000000000000057,35.662,35.8,35.59,0.20999999999999375,0.1699999999999946,34.656,34.94,34.03,0.9099999999999966,-0.8699999999999974,35.096000000000004,35.54,34.07,1.4699999999999989,-1.4699999999999989,108720,144781,63633,81148,43251
2018-02-04,34.910000000000004,35.52,33.58,1.9400000000000048,1.3200000000000003,35.594,36.15,34.9,1.25,-0.9100000000000037,34.332,35.27,33.58,1.6900000000000048,0.20000000000000284,35.028,35.65,34.43,1.2199999999999989,-1.2199999999999989,192498,482809,72693,410116,-96322
2018-02-11,34.6975,35.18,34.1,1.0799999999999983,0.8200000000000003,35.370000000000005,36.13,34.45,1.6799999999999997,1.6799999999999997,34.4375,35.18,33.76,1.4200000000000017,1.4200000000000017,35.1425,35.76,34.11,1.6499999999999986,1.6499999999999986,65650,91164,52644,38520,9069
2018-02-18,35.472,35.77,34.63,1.1400000000000006,-0.12999999999999545,36.038,36.46,35.63,0.8299999999999983,0.490000000000002,35.046,35.57,34.6,0.9699999999999989,0.9699999999999989,35.518,36.07,34.75,1.3200000000000003,1.3200000000000003,65582,125057,40774,84283,-28461
2018-02-25,35.214,36.18,34.49,1.6899999999999977,-0.9799999999999969,36.07,37.4,35.11,2.289999999999999,0.7100000000000009,34.74,35.24,34.2,1.0399999999999991,-0.03999999999999915,35.336,36.66,34.63,2.029999999999994,1.1899999999999977,123050,191043,93008,98035,93742
2018-03-04,40.178,42.0,36.72,5.280000000000001,4.259999999999998,41.064,42.8,37.27,5.529999999999994,3.8699999999999974,39.278,40.9,36.43,4.469999999999999,3.8100000000000023,40.366,41.81,36.7,5.109999999999999,3.8900000000000006,219441,549857,123544,426313,23475
2018-03-11,39.938,40.57,39.35,1.2199999999999989,-0.8699999999999974,40.564,41.22,40.02,1.1999999999999957,-1.1999999999999957,39.47,39.86,39.05,0.8100000000000023,-0.36999999999999744,39.726,40.2,39.27,0.9299999999999997,-0.5200000000000031,112439,224104,74111,149993,8403
2018-03-18,38.8,39.55,38.27,1.279999999999994,-1.0499999999999972,39.208,39.63,38.68,0.9500000000000028,-0.720000000000006,38.364000000000004,38.88,37.98,0.9000000000000057,-0.8200000000000003,38.638,39.18,38.09,1.0899999999999963,-0.490000000000002,93070,105067,77084,27983,-17528
2018-03-25,38.3725,38.79,38.02,0.769999999999996,-0.769999999999996,39.025,39.48,38.46,1.019999999999996,-1.019999999999996,37.71,38.06,37.04,1.0200000000000031,-0.8699999999999974,38.065,38.56,37.51,1.0500000000000043,-0.5200000000000031,99918,162554,71962,90592,-9303
2018-04-01,38.385999999999996,39.41,37.5,1.9099999999999966,1.2100000000000009,38.946,39.41,38.23,1.1799999999999997,0.8900000000000006,37.998,38.73,37.34,1.3899999999999935,0.9699999999999989,38.536,39.02,37.93,1.0900000000000034,0.4299999999999997,52996,61902,42402,19500,-15193
2018-04-08,38.892,39.38,38.5,0.8800000000000026,0.6600000000000037,39.61,40.38,39.21,1.1700000000000017,1.1700000000000017,38.608,39.15,38.05,1.1000000000000014,0.6499999999999986,39.154,39.99,38.46,1.5300000000000011,1.0,60520,102511,38902,63609,-15794
2018-04-15,40.83,41.28,40.41,0.8700000000000045,0.8700000000000045,41.388,41.51,41.31,0.19999999999999574,0.12999999999999545,40.594,40.8,40.4,0.3999999999999986,0.21000000000000085,41.016,41.2,40.83,0.37000000000000455,0.1700000000000017,64700,115191,38214,76977,-55657
2018-04-22,41.705999999999996,42.29,41.22,1.0700000000000003,1.0700000000000003,42.192,42.69,41.69,1.0,1.0,41.362,41.86,40.9,0.9600000000000009,0.9600000000000009,41.844,42.25,41.41,0.8400000000000034,0.480000000000004,70829,101861,35545,66316,30072
2018-04-29,41.474000000000004,43.7,40.45,3.25,-0.9899999999999949,41.854,43.71,40.76,2.950000000000003,-0.01999999999999602,40.33,40.62,39.57,1.0499999999999972,0.00999999999999801,40.730000000000004,40.84,40.51,0.3300000000000054,0.030000000000001137,77833,112806,50618,62188,12520
