Date,AEGN_stock_Open_average,AEGN_stock_Open_max,AEGN_stock_Open_min,AEGN_stock_Open_volatility,AEGN_stock_Open_change,AEGN_stock_High_average,AEGN_stock_High_max,AEGN_stock_High_min,AEGN_stock_High_volatility,AEGN_stock_High_change,AEGN_stock_Low_average,AEGN_stock_Low_max,AEGN_stock_Low_min,AEGN_stock_Low_volatility,AEGN_stock_Low_change,AEGN_stock_Close_average,AEGN_stock_Close_max,AEGN_stock_Close_min,AEGN_stock_Close_volatility,AEGN_stock_Close_change,AEGN_stock_Volume_average,AEGN_stock_Volume_max,AEGN_stock_Volume_min,AEGN_stock_Volume_volatility,AEGN_stock_Volume_change
2018-01-14,25.9075,26.49,25.35,1.139999999999997,-1.139999999999997,26.1725,26.75,25.84,0.9100000000000001,-0.7699999999999996,24.817500000000003,25.66,23.43,2.2300000000000004,-2.2300000000000004,25.71,25.97,25.39,0.5799999999999983,0.29999999999999716,103494,128084,78473,49611,49611
2018-01-21,25.746,26.0,25.5,0.5,-0.259999999999998,25.93,26.25,25.52,0.7300000000000004,-0.10999999999999943,25.304,25.55,25.02,0.5300000000000011,-0.16999999999999815,25.616,25.92,25.4,0.5200000000000031,-0.33000000000000185,83680,98743,70214,28529,-5449
2018-01-28,25.284,25.55,24.89,0.6600000000000001,-0.6600000000000001,25.676,26.18,25.0,1.1799999999999997,-0.7199999999999989,24.888,25.3,24.4,0.9000000000000021,-0.9000000000000021,25.196,25.6,24.85,0.75,-0.75,103820,173947,70074,103873,93167
2018-02-04,23.92,24.62,22.96,1.6600000000000001,-0.46000000000000085,24.306,24.83,24.01,0.8199999999999967,-0.5899999999999999,23.402,23.82,22.52,1.3000000000000007,0.120000000000001,23.82,24.01,23.44,0.5700000000000003,0.4499999999999993,208988,287257,153173,134084,-117691
2018-02-11,23.898,24.38,23.42,0.9599999999999973,0.28999999999999915,24.166,24.38,23.95,0.4299999999999997,0.3500000000000014,23.496,23.91,23.26,0.6499999999999986,0.2799999999999976,23.982,24.31,23.57,0.7399999999999984,0.5700000000000003,101192,129069,80078,48991,-4652
2018-02-18,24.3475,24.8,23.91,0.8900000000000006,0.8900000000000006,24.7975,24.92,24.57,0.3500000000000014,0.23000000000000043,23.877499999999998,24.15,23.54,0.6099999999999994,0.0,24.3325,24.6,24.11,0.490000000000002,-0.15000000000000213,116028,153232,73126,80106,-9243
2018-02-25,23.262,24.27,21.67,2.599999999999998,-2.479999999999997,23.79,24.56,22.61,1.9499999999999993,-1.9200000000000017,22.75,24.11,21.16,2.9499999999999993,-2.9499999999999993,23.13,24.31,22.11,2.1999999999999993,-2.009999999999998,231276,454260,81413,372847,186512
2018-03-04,22.918,23.4,22.17,1.2299999999999969,1.0399999999999991,23.342,23.64,22.78,0.8599999999999994,0.759999999999998,22.722,23.09,22.17,0.9199999999999982,0.9199999999999982,23.168,23.59,22.62,0.9699999999999989,0.879999999999999,146457,187272,91143,96129,-81250
2018-03-11,22.983999999999998,23.32,22.4,0.9200000000000017,-0.9200000000000017,23.254,23.73,22.79,0.9400000000000013,-0.7100000000000009,22.66,23.06,22.3,0.759999999999998,-0.6600000000000001,22.822,23.1,22.4,0.7000000000000028,-0.11000000000000298,178061,416201,99451,316750,260827
2018-03-18,22.788,22.96,22.34,0.620000000000001,-0.5599999999999987,23.206,23.46,22.66,0.8000000000000007,-0.8000000000000007,22.426,22.77,21.84,0.9299999999999997,-0.6799999999999997,22.622,23.1,21.95,1.1500000000000021,-0.990000000000002,97521,163391,60852,102539,67469
