Date,First Trust NASDAQ Global Auto_Open_average,First Trust NASDAQ Global Auto_Open_max,First Trust NASDAQ Global Auto_Open_min,First Trust NASDAQ Global Auto_Open_volatility,First Trust NASDAQ Global Auto_Open_change,First Trust NASDAQ Global Auto_High_average,First Trust NASDAQ Global Auto_High_max,First Trust NASDAQ Global Auto_High_min,First Trust NASDAQ Global Auto_High_volatility,First Trust NASDAQ Global Auto_High_change,First Trust NASDAQ Global Auto_Low_average,First Trust NASDAQ Global Auto_Low_max,First Trust NASDAQ Global Auto_Low_min,First Trust NASDAQ Global Auto_Low_volatility,First Trust NASDAQ Global Auto_Low_change,First Trust NASDAQ Global Auto_Close_average,First Trust NASDAQ Global Auto_Close_max,First Trust NASDAQ Global Auto_Close_min,First Trust NASDAQ Global Auto_Close_volatility,First Trust NASDAQ Global Auto_Close_change
2018-01-14,44.59,44.59,44.59,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.76,44.76,44.76,0.0,0.0
2018-01-21,44.25,44.25,44.25,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.31,44.31,44.31,0.0,0.0
2018-01-28,42.66,42.66,42.66,0.0,0.0,42.9,42.9,42.9,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.56,41.56,41.56,0.0,0.0
2018-02-04,41.94,41.94,41.94,0.0,0.0,42.39,42.39,42.39,0.0,0.0,41.89,41.89,41.89,0.0,0.0,42.39,42.39,42.39,0.0,0.0
2018-02-11,42.99,42.99,42.99,0.0,0.0,43.25,43.25,43.25,0.0,0.0,42.88,42.88,42.88,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2018-02-18,43.25,43.25,43.25,0.0,0.0,43.25,43.25,43.25,0.0,0.0,43.25,43.25,43.25,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2018-02-25,40.94,40.94,40.94,0.0,0.0,41.5,41.5,41.5,0.0,0.0,40.93,40.93,40.93,0.0,0.0,41.5,41.5,41.5,0.0,0.0
2018-03-04,42.02,42.02,42.02,0.0,0.0,42.14,42.14,42.14,0.0,0.0,42.02,42.02,42.02,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2018-03-11,41.59,41.59,41.59,0.0,0.0,41.59,41.59,41.59,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.33,41.33,41.33,0.0,0.0
2018-03-18,40.54,40.54,40.54,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2018-03-25,40.73,40.73,40.73,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.25,40.25,40.25,0.0,0.0
2018-04-01,41.36,41.36,41.36,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.58,41.58,41.58,0.0,0.0
2018-04-08,41.8,41.8,41.8,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.8,41.8,41.8,0.0,0.0
2018-04-15,41.02,41.02,41.02,0.0,0.0,41.1,41.1,41.1,0.0,0.0,41.02,41.02,41.02,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2018-04-22,41.23,41.23,41.23,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.29,41.29,41.29,0.0,0.0
2018-04-29,41.06,41.06,41.06,0.0,0.0,41.06,41.06,41.06,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2018-05-06,41.35,41.35,41.35,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.13,41.13,41.13,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2018-05-13,41.33,41.33,41.33,0.0,0.0,41.33,41.33,41.33,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.26,41.26,41.26,0.0,0.0
2018-05-20,40.06,40.06,40.06,0.0,0.0,40.06,40.06,40.06,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2018-05-27,40.74,40.74,40.74,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.72,40.72,40.72,0.0,0.0,40.77,40.77,40.77,0.0,0.0
2018-06-03,41.18,41.18,41.18,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.17,41.17,41.17,0.0,0.0,41.22,41.22,41.22,0.0,0.0
2018-06-10,40.51,40.51,40.51,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.51,40.51,40.51,0.0,0.0
2018-06-17,37.99,37.99,37.99,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.68,37.68,37.68,0.0,0.0
2018-06-24,36.78,36.78,36.78,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2018-07-01,37.43,37.43,37.43,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.43,37.43,37.43,0.0,0.0,37.48,37.48,37.48,0.0,0.0
2018-07-08,36.88,36.88,36.88,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2018-07-15,36.94,36.94,36.94,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2018-07-22,37.48,37.48,37.48,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.49,37.49,37.49,0.0,0.0
2018-07-29,37.24,37.24,37.24,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.21,37.21,37.21,0.0,0.0,37.21,37.21,37.21,0.0,0.0
2018-08-05,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.51,36.51,36.51,0.0,0.0
2018-08-12,35.97,35.97,35.97,0.0,0.0,36.26,36.26,36.26,0.0,0.0,35.97,35.97,35.97,0.0,0.0,36.17,36.17,36.17,0.0,0.0
