Date,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Open_average,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Open_max,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Open_min,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Open_volatility,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Open_change,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_High_average,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_High_max,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_High_min,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_High_volatility,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_High_change,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Low_average,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Low_max,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Low_min,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Low_volatility,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Low_change,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Close_average,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Close_max,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Close_min,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Close_volatility,Direxion Daily Junior Gold Miners Bull 3X Shares_etf_Close_change
2018-01-14,904.0,904.0,904.0,0.0,0.0,918.75,918.75,918.75,0.0,0.0,894.0,894.0,894.0,0.0,0.0,896.5,896.5,896.5,0.0,0.0
2018-01-21,915.0,915.0,915.0,0.0,0.0,939.5,939.5,939.5,0.0,0.0,901.5,901.5,901.5,0.0,0.0,915.5,915.5,915.5,0.0,0.0
2018-01-28,779.0,779.0,779.0,0.0,0.0,779.0,779.0,779.0,0.0,0.0,715.0,715.0,715.0,0.0,0.0,723.5,723.5,723.5,0.0,0.0
2018-02-04,659.5,659.5,659.5,0.0,0.0,661.0,661.0,661.0,0.0,0.0,567.0,567.0,567.0,0.0,0.0,613.0,613.0,613.0,0.0,0.0
2018-02-11,773.0,773.0,773.0,0.0,0.0,784.0,784.0,784.0,0.0,0.0,695.0,695.0,695.0,0.0,0.0,723.0,723.0,723.0,0.0,0.0
2018-02-18,663.0,663.0,663.0,0.0,0.0,689.0,689.0,689.0,0.0,0.0,653.5,653.5,653.5,0.0,0.0,681.0,681.0,681.0,0.0,0.0
2018-02-25,696.0,696.0,696.0,0.0,0.0,705.0,705.0,705.0,0.0,0.0,663.0,663.0,663.0,0.0,0.0,668.0,668.0,668.0,0.0,0.0
2018-03-04,652.0,652.0,652.0,0.0,0.0,687.5,687.5,687.5,0.0,0.0,651.5,651.5,651.5,0.0,0.0,662.5,662.5,662.5,0.0,0.0
2018-03-11,651.0,651.0,651.0,0.0,0.0,652.0,652.0,652.0,0.0,0.0,628.5,628.5,628.5,0.0,0.0,642.0,642.0,642.0,0.0,0.0
2018-03-18,725.0,725.0,725.0,0.0,0.0,746.0,746.0,746.0,0.0,0.0,712.5,712.5,712.5,0.0,0.0,722.5,722.5,722.5,0.0,0.0
