Date,First Trust STOXX European Select Dividend_Open_average,First Trust STOXX European Select Dividend_Open_max,First Trust STOXX European Select Dividend_Open_min,First Trust STOXX European Select Dividend_Open_volatility,First Trust STOXX European Select Dividend_Open_change,First Trust STOXX European Select Dividend_High_average,First Trust STOXX European Select Dividend_High_max,First Trust STOXX European Select Dividend_High_min,First Trust STOXX European Select Dividend_High_volatility,First Trust STOXX European Select Dividend_High_change,First Trust STOXX European Select Dividend_Low_average,First Trust STOXX European Select Dividend_Low_max,First Trust STOXX European Select Dividend_Low_min,First Trust STOXX European Select Dividend_Low_volatility,First Trust STOXX European Select Dividend_Low_change,First Trust STOXX European Select Dividend_Close_average,First Trust STOXX European Select Dividend_Close_max,First Trust STOXX European Select Dividend_Close_min,First Trust STOXX European Select Dividend_Close_volatility,First Trust STOXX European Select Dividend_Close_change
2018-01-14,14.45,14.45,14.45,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.39,14.39,14.39,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2018-01-21,14.78,14.78,14.78,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.77,14.77,14.77,0.0,0.0
2018-01-28,14.49,14.49,14.49,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.32,14.32,14.32,0.0,0.0
2018-02-04,13.74,13.74,13.74,0.0,0.0,13.79,13.79,13.79,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.73,13.73,13.73,0.0,0.0
2018-02-11,14.12,14.12,14.12,0.0,0.0,14.23,14.23,14.23,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.16,14.16,14.16,0.0,0.0
2018-02-18,14.15,14.15,14.15,0.0,0.0,14.21,14.21,14.21,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.2,14.2,14.2,0.0,0.0
2018-02-25,13.75,13.75,13.75,0.0,0.0,13.83,13.83,13.83,0.0,0.0,13.68,13.68,13.68,0.0,0.0,13.83,13.83,13.83,0.0,0.0
2018-03-04,13.96,13.96,13.96,0.0,0.0,14.0,14.0,14.0,0.0,0.0,13.92,13.92,13.92,0.0,0.0,13.98,13.98,13.98,0.0,0.0
2018-03-11,13.86,13.86,13.86,0.0,0.0,13.95,13.95,13.95,0.0,0.0,13.86,13.86,13.86,0.0,0.0,13.89,13.89,13.89,0.0,0.0
2018-03-18,13.56,13.56,13.56,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.41,13.41,13.41,0.0,0.0
2018-03-25,13.88,13.88,13.88,0.0,0.0,13.92,13.92,13.92,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.84,13.84,13.84,0.0,0.0
2018-04-01,14.02,14.02,14.02,0.0,0.0,14.08,14.08,14.08,0.0,0.0,13.93,13.93,13.93,0.0,0.0,13.95,13.95,13.95,0.0,0.0
2018-04-08,14.23,14.23,14.23,0.0,0.0,14.25,14.25,14.25,0.0,0.0,14.19,14.19,14.19,0.0,0.0,14.22,14.22,14.22,0.0,0.0
