Date,Hartford Global Small Cap_Open_average,Hartford Global Small Cap_Open_max,Hartford Global Small Cap_Open_min,Hartford Global Small Cap_Open_volatility,Hartford Global Small Cap_Open_change,Hartford Global Small Cap_High_average,Hartford Global Small Cap_High_max,Hartford Global Small Cap_High_min,Hartford Global Small Cap_High_volatility,Hartford Global Small Cap_High_change,Hartford Global Small Cap_Low_average,Hartford Global Small Cap_Low_max,Hartford Global Small Cap_Low_min,Hartford Global Small Cap_Low_volatility,Hartford Global Small Cap_Low_change,Hartford Global Small Cap_Close_average,Hartford Global Small Cap_Close_max,Hartford Global Small Cap_Close_min,Hartford Global Small Cap_Close_volatility,Hartford Global Small Cap_Close_change
2018-01-14,32.94,32.94,32.94,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2018-01-21,33.19,33.19,33.19,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-01-28,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-02-04,30.68,30.68,30.68,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-02-11,31.71,31.71,31.71,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2018-02-18,31.82,31.82,31.82,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2018-02-25,31.53,31.53,31.53,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2018-03-04,32.36,32.36,32.36,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2018-03-11,32.14,32.14,32.14,0.0,0.0,32.14,32.14,32.14,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2018-03-18,31.24,31.24,31.24,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-03-25,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-04-01,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-04-08,32.11,32.11,32.11,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2018-04-15,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.91,31.91,31.91,0.0,0.0
