Date,IQ 50 Percent Hedged FTSE Europe_Open_average,IQ 50 Percent Hedged FTSE Europe_Open_max,IQ 50 Percent Hedged FTSE Europe_Open_min,IQ 50 Percent Hedged FTSE Europe_Open_volatility,IQ 50 Percent Hedged FTSE Europe_Open_change,IQ 50 Percent Hedged FTSE Europe_High_average,IQ 50 Percent Hedged FTSE Europe_High_max,IQ 50 Percent Hedged FTSE Europe_High_min,IQ 50 Percent Hedged FTSE Europe_High_volatility,IQ 50 Percent Hedged FTSE Europe_High_change,IQ 50 Percent Hedged FTSE Europe_Low_average,IQ 50 Percent Hedged FTSE Europe_Low_max,IQ 50 Percent Hedged FTSE Europe_Low_min,IQ 50 Percent Hedged FTSE Europe_Low_volatility,IQ 50 Percent Hedged FTSE Europe_Low_change,IQ 50 Percent Hedged FTSE Europe_Close_average,IQ 50 Percent Hedged FTSE Europe_Close_max,IQ 50 Percent Hedged FTSE Europe_Close_min,IQ 50 Percent Hedged FTSE Europe_Close_volatility,IQ 50 Percent Hedged FTSE Europe_Close_change
2018-01-14,21.14,21.14,21.14,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.27,21.27,21.27,0.0,0.0
2018-01-21,21.29,21.29,21.29,0.0,0.0,21.29,21.29,21.29,0.0,0.0,21.29,21.29,21.29,0.0,0.0,21.29,21.29,21.29,0.0,0.0
2018-01-28,20.16,20.16,20.16,0.0,0.0,20.36,20.36,20.36,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.78,19.78,19.78,0.0,0.0
2018-02-04,19.72,19.72,19.72,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.76,19.76,19.76,0.0,0.0
2018-02-11,20.07,20.07,20.07,0.0,0.0,20.18,20.18,20.18,0.0,0.0,20.07,20.07,20.07,0.0,0.0,20.18,20.18,20.18,0.0,0.0
2018-02-18,20.25,20.25,20.25,0.0,0.0,20.26,20.26,20.26,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.26,20.26,20.26,0.0,0.0
2018-02-25,19.39,19.39,19.39,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.36,19.36,19.36,0.0,0.0,19.53,19.53,19.53,0.0,0.0
2018-03-04,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0
2018-03-11,19.74,19.74,19.74,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.75,19.75,19.75,0.0,0.0
2018-03-18,19.34,19.34,19.34,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.16,19.16,19.16,0.0,0.0,19.38,19.38,19.38,0.0,0.0
