Date,Vanguard Information TechnologyEtf_Open_average,Vanguard Information TechnologyEtf_Open_max,Vanguard Information TechnologyEtf_Open_min,Vanguard Information TechnologyEtf_Open_volatility,Vanguard Information TechnologyEtf_Open_change,Vanguard Information TechnologyEtf_High_average,Vanguard Information TechnologyEtf_High_max,Vanguard Information TechnologyEtf_High_min,Vanguard Information TechnologyEtf_High_volatility,Vanguard Information TechnologyEtf_High_change,Vanguard Information TechnologyEtf_Low_average,Vanguard Information TechnologyEtf_Low_max,Vanguard Information TechnologyEtf_Low_min,Vanguard Information TechnologyEtf_Low_volatility,Vanguard Information TechnologyEtf_Low_change,Vanguard Information TechnologyEtf_Close_average,Vanguard Information TechnologyEtf_Close_max,Vanguard Information TechnologyEtf_Close_min,Vanguard Information TechnologyEtf_Close_volatility,Vanguard Information TechnologyEtf_Close_change
2018-01-14,175.91,175.91,175.91,0.0,0.0,176.27,176.27,176.27,0.0,0.0,175.19,175.19,175.19,0.0,0.0,176.01,176.01,176.01,0.0,0.0
2018-01-21,177.54,177.54,177.54,0.0,0.0,179.19,179.19,179.19,0.0,0.0,177.26,177.26,177.26,0.0,0.0,179.19,179.19,179.19,0.0,0.0
2018-01-28,175.14,175.14,175.14,0.0,0.0,175.23,175.23,175.23,0.0,0.0,171.98,171.98,171.98,0.0,0.0,172.06,172.06,172.06,0.0,0.0
2018-02-04,163.1,163.1,163.1,0.0,0.0,165.59,165.59,165.59,0.0,0.0,157.96,157.96,157.96,0.0,0.0,164.59,164.59,164.59,0.0,0.0
2018-02-11,174.29,174.29,174.29,0.0,0.0,176.12,176.12,176.12,0.0,0.0,173.6,173.6,173.6,0.0,0.0,174.35,174.35,174.35,0.0,0.0
2018-02-18,175.33,175.33,175.33,0.0,0.0,177.51,177.51,177.51,0.0,0.0,174.98,174.98,174.98,0.0,0.0,177.51,177.51,177.51,0.0,0.0
2018-02-25,172.56,172.56,172.56,0.0,0.0,176.78,176.78,176.78,0.0,0.0,171.95,171.95,171.95,0.0,0.0,176.5,176.5,176.5,0.0,0.0
2018-03-04,182.09,182.09,182.09,0.0,0.0,184.31,184.31,184.31,0.0,0.0,181.92,181.92,181.92,0.0,0.0,184.31,184.31,184.31,0.0,0.0
2018-03-11,182.73,182.73,182.73,0.0,0.0,183.29,183.29,183.29,0.0,0.0,181.95,181.95,181.95,0.0,0.0,182.21,182.21,182.21,0.0,0.0
2018-03-18,172.97,172.97,172.97,0.0,0.0,173.85,173.85,173.85,0.0,0.0,168.6,168.6,168.6,0.0,0.0,168.63,168.63,168.63,0.0,0.0
