Date,WisdomTree Intenational LargeCap DividendEtf_Open_average,WisdomTree Intenational LargeCap DividendEtf_Open_max,WisdomTree Intenational LargeCap DividendEtf_Open_min,WisdomTree Intenational LargeCap DividendEtf_Open_volatility,WisdomTree Intenational LargeCap DividendEtf_Open_change,WisdomTree Intenational LargeCap DividendEtf_High_average,WisdomTree Intenational LargeCap DividendEtf_High_max,WisdomTree Intenational LargeCap DividendEtf_High_min,WisdomTree Intenational LargeCap DividendEtf_High_volatility,WisdomTree Intenational LargeCap DividendEtf_High_change,WisdomTree Intenational LargeCap DividendEtf_Low_average,WisdomTree Intenational LargeCap DividendEtf_Low_max,WisdomTree Intenational LargeCap DividendEtf_Low_min,WisdomTree Intenational LargeCap DividendEtf_Low_volatility,WisdomTree Intenational LargeCap DividendEtf_Low_change,WisdomTree Intenational LargeCap DividendEtf_Close_average,WisdomTree Intenational LargeCap DividendEtf_Close_max,WisdomTree Intenational LargeCap DividendEtf_Close_min,WisdomTree Intenational LargeCap DividendEtf_Close_volatility,WisdomTree Intenational LargeCap DividendEtf_Close_change
2018-01-14,53.22,53.22,53.22,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.08,53.08,53.08,0.0,0.0,53.22,53.22,53.22,0.0,0.0
2018-01-21,53.92,53.92,53.92,0.0,0.0,54.12,54.12,54.12,0.0,0.0,53.89,53.89,53.89,0.0,0.0,54.08,54.08,54.08,0.0,0.0
2018-01-28,52.68,52.68,52.68,0.0,0.0,52.69,52.69,52.69,0.0,0.0,52.08,52.08,52.08,0.0,0.0,52.08,52.08,52.08,0.0,0.0
2018-02-04,49.34,49.34,49.34,0.0,0.0,49.66,49.66,49.66,0.0,0.0,48.25,48.25,48.25,0.0,0.0,49.46,49.46,49.46,0.0,0.0
2018-02-11,51.02,51.02,51.02,0.0,0.0,51.3,51.3,51.3,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.13,51.13,51.13,0.0,0.0
2018-02-18,50.74,50.74,50.74,0.0,0.0,51.06,51.06,51.06,0.0,0.0,50.7,50.7,50.7,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2018-02-25,49.44,49.44,49.44,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2018-03-04,50.36,50.36,50.36,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.59,50.59,50.59,0.0,0.0
2018-03-11,50.41,50.41,50.41,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.45,50.45,50.45,0.0,0.0
2018-03-18,49.23,49.23,49.23,0.0,0.0,49.25,49.25,49.25,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2018-03-25,49.66,49.66,49.66,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-04-01,50.19,50.19,50.19,0.0,0.0,50.19,50.19,50.19,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2018-04-08,50.95,50.95,50.95,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.79,50.79,50.79,0.0,0.0
2018-04-15,50.92,50.92,50.92,0.0,0.0,51.02,51.02,51.02,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2018-04-22,50.91,50.91,50.91,0.0,0.0,51.05,51.05,51.05,0.0,0.0,50.77,50.77,50.77,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2018-04-29,50.35,50.35,50.35,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2018-05-06,51.36,51.36,51.36,0.0,0.0,51.5,51.5,51.5,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.37,51.37,51.37,0.0,0.0
2018-05-13,51.12,51.12,51.12,0.0,0.0,51.16,51.16,51.16,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.96,50.96,50.96,0.0,0.0
2018-05-20,49.79,49.79,49.79,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.79,49.79,49.79,0.0,0.0
