Date,BioShares Biotechnology Products_Open_average,BioShares Biotechnology Products_Open_max,BioShares Biotechnology Products_Open_min,BioShares Biotechnology Products_Open_volatility,BioShares Biotechnology Products_Open_change,BioShares Biotechnology Products_High_average,BioShares Biotechnology Products_High_max,BioShares Biotechnology Products_High_min,BioShares Biotechnology Products_High_volatility,BioShares Biotechnology Products_High_change,BioShares Biotechnology Products_Low_average,BioShares Biotechnology Products_Low_max,BioShares Biotechnology Products_Low_min,BioShares Biotechnology Products_Low_volatility,BioShares Biotechnology Products_Low_change,BioShares Biotechnology Products_Close_average,BioShares Biotechnology Products_Close_max,BioShares Biotechnology Products_Close_min,BioShares Biotechnology Products_Close_volatility,BioShares Biotechnology Products_Close_change
2018-01-14,42.53,42.53,42.53,0.0,0.0,43.49,43.49,43.49,0.0,0.0,42.53,42.53,42.53,0.0,0.0,43.43,43.43,43.43,0.0,0.0
2018-01-21,44.65,44.65,44.65,0.0,0.0,45.18,45.18,45.18,0.0,0.0,44.65,44.65,44.65,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2018-01-28,42.56,42.56,42.56,0.0,0.0,42.77,42.77,42.77,0.0,0.0,41.1,41.1,41.1,0.0,0.0,41.54,41.54,41.54,0.0,0.0
2018-02-04,39.96,39.96,39.96,0.0,0.0,41.16,41.16,41.16,0.0,0.0,39.96,39.96,39.96,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2018-02-11,42.36,42.36,42.36,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.23,42.23,42.23,0.0,0.0
2018-02-18,42.6,42.6,42.6,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.69,42.69,42.69,0.0,0.0
2018-02-25,41.46,41.46,41.46,0.0,0.0,42.45,42.45,42.45,0.0,0.0,41.46,41.46,41.46,0.0,0.0,42.45,42.45,42.45,0.0,0.0
2018-03-04,43.84,43.84,43.84,0.0,0.0,44.09,44.09,44.09,0.0,0.0,43.84,43.84,43.84,0.0,0.0,44.09,44.09,44.09,0.0,0.0
2018-03-11,42.65,42.65,42.65,0.0,0.0,42.78,42.78,42.78,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2018-03-18,40.77,40.77,40.77,0.0,0.0,41.35,41.35,41.35,0.0,0.0,40.63,40.63,40.63,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2018-03-25,41.0,41.0,41.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2018-04-01,40.43,40.43,40.43,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.6,40.6,40.6,0.0,0.0
2018-04-08,41.31,41.31,41.31,0.0,0.0,41.48,41.48,41.48,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.2,41.2,41.2,0.0,0.0
2018-04-15,40.92,40.92,40.92,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.82,40.82,40.82,0.0,0.0
2018-04-22,41.1,41.1,41.1,0.0,0.0,41.1,41.1,41.1,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.0,41.0,41.0,0.0,0.0
