Date,iShares MSCI Global Energy Producers_Open_average,iShares MSCI Global Energy Producers_Open_max,iShares MSCI Global Energy Producers_Open_min,iShares MSCI Global Energy Producers_Open_volatility,iShares MSCI Global Energy Producers_Open_change,iShares MSCI Global Energy Producers_High_average,iShares MSCI Global Energy Producers_High_max,iShares MSCI Global Energy Producers_High_min,iShares MSCI Global Energy Producers_High_volatility,iShares MSCI Global Energy Producers_High_change,iShares MSCI Global Energy Producers_Low_average,iShares MSCI Global Energy Producers_Low_max,iShares MSCI Global Energy Producers_Low_min,iShares MSCI Global Energy Producers_Low_volatility,iShares MSCI Global Energy Producers_Low_change,iShares MSCI Global Energy Producers_Close_average,iShares MSCI Global Energy Producers_Close_max,iShares MSCI Global Energy Producers_Close_min,iShares MSCI Global Energy Producers_Close_volatility,iShares MSCI Global Energy Producers_Close_change
2018-01-14,22.38,22.38,22.38,0.0,0.0,22.48,22.48,22.48,0.0,0.0,22.34,22.34,22.34,0.0,0.0,22.48,22.48,22.48,0.0,0.0
2018-01-21,22.71,22.71,22.71,0.0,0.0,22.71,22.71,22.71,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0
2018-01-28,21.18,21.18,21.18,0.0,0.0,21.18,21.18,21.18,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.61,20.61,20.61,0.0,0.0
2018-02-04,19.96,19.96,19.96,0.0,0.0,20.1,20.1,20.1,0.0,0.0,19.96,19.96,19.96,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2018-02-11,20.53,20.53,20.53,0.0,0.0,20.59,20.59,20.59,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.56,20.56,20.56,0.0,0.0
2018-02-18,20.69,20.69,20.69,0.0,0.0,20.82,20.82,20.82,0.0,0.0,20.69,20.69,20.69,0.0,0.0,20.82,20.82,20.82,0.0,0.0
2018-02-25,19.96,19.96,19.96,0.0,0.0,20.35,20.35,20.35,0.0,0.0,19.96,19.96,19.96,0.0,0.0,20.24,20.24,20.24,0.0,0.0
2018-03-04,20.61,20.61,20.61,0.0,0.0,20.61,20.61,20.61,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.41,20.41,20.41,0.0,0.0
2018-03-11,20.36,20.36,20.36,0.0,0.0,20.36,20.36,20.36,0.0,0.0,19.91,19.91,19.91,0.0,0.0,20.03,20.03,20.03,0.0,0.0
2018-03-18,20.65,20.65,20.65,0.0,0.0,20.77,20.77,20.77,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.73,20.73,20.73,0.0,0.0
2018-03-25,20.54,20.54,20.54,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.06,20.06,20.06,0.0,0.0,20.19,20.19,20.19,0.0,0.0
2018-04-01,21.04,21.04,21.04,0.0,0.0,21.04,21.04,21.04,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.98,20.98,20.98,0.0,0.0
2018-04-08,21.91,21.91,21.91,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.69,21.69,21.69,0.0,0.0,21.81,21.81,21.81,0.0,0.0
2018-04-15,22.49,22.49,22.49,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.47,22.47,22.47,0.0,0.0
2018-04-22,22.44,22.44,22.44,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.44,22.44,22.44,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2018-04-29,22.44,22.44,22.44,0.0,0.0,22.82,22.82,22.82,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.35,22.35,22.35,0.0,0.0
2018-05-06,23.5,23.5,23.5,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2018-05-13,23.88,23.88,23.88,0.0,0.0,24.04,24.04,24.04,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2018-05-20,22.49,22.49,22.49,0.0,0.0,22.59,22.59,22.59,0.0,0.0,22.12,22.12,22.12,0.0,0.0,22.23,22.23,22.23,0.0,0.0
2018-05-27,23.06,23.06,23.06,0.0,0.0,23.06,23.06,23.06,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.62,22.62,22.62,0.0,0.0
