Date,ProShares Ultra TechnologyEtf_Open_average,ProShares Ultra TechnologyEtf_Open_max,ProShares Ultra TechnologyEtf_Open_min,ProShares Ultra TechnologyEtf_Open_volatility,ProShares Ultra TechnologyEtf_Open_change,ProShares Ultra TechnologyEtf_High_average,ProShares Ultra TechnologyEtf_High_max,ProShares Ultra TechnologyEtf_High_min,ProShares Ultra TechnologyEtf_High_volatility,ProShares Ultra TechnologyEtf_High_change,ProShares Ultra TechnologyEtf_Low_average,ProShares Ultra TechnologyEtf_Low_max,ProShares Ultra TechnologyEtf_Low_min,ProShares Ultra TechnologyEtf_Low_volatility,ProShares Ultra TechnologyEtf_Low_change,ProShares Ultra TechnologyEtf_Close_average,ProShares Ultra TechnologyEtf_Close_max,ProShares Ultra TechnologyEtf_Close_min,ProShares Ultra TechnologyEtf_Close_volatility,ProShares Ultra TechnologyEtf_Close_change
2018-01-14,99.95,99.95,99.95,0.0,0.0,99.95,99.95,99.95,0.0,0.0,98.75,98.75,98.75,0.0,0.0,99.48,99.48,99.48,0.0,0.0
2018-01-21,101.13,101.13,101.13,0.0,0.0,103.39,103.39,103.39,0.0,0.0,101.05,101.05,101.05,0.0,0.0,103.37,103.37,103.37,0.0,0.0
2018-01-28,99.16,99.16,99.16,0.0,0.0,99.16,99.16,99.16,0.0,0.0,94.74,94.74,94.74,0.0,0.0,94.76,94.76,94.76,0.0,0.0
2018-02-04,84.6,84.6,84.6,0.0,0.0,87.1,87.1,87.1,0.0,0.0,79.37,79.37,79.37,0.0,0.0,86.21,86.21,86.21,0.0,0.0
2018-02-11,97.0,97.0,97.0,0.0,0.0,99.07,99.07,99.07,0.0,0.0,96.67,96.67,96.67,0.0,0.0,96.89,96.89,96.89,0.0,0.0
2018-02-18,98.08,98.08,98.08,0.0,0.0,100.52,100.52,100.52,0.0,0.0,97.84,97.84,97.84,0.0,0.0,100.48,100.48,100.48,0.0,0.0
2018-02-25,95.07,95.07,95.07,0.0,0.0,99.75,99.75,99.75,0.0,0.0,94.34,94.34,94.34,0.0,0.0,99.41,99.41,99.41,0.0,0.0
2018-03-04,105.6,105.6,105.6,0.0,0.0,108.51,108.51,108.51,0.0,0.0,105.6,105.6,105.6,0.0,0.0,108.51,108.51,108.51,0.0,0.0
2018-03-11,107.05,107.05,107.05,0.0,0.0,107.62,107.62,107.62,0.0,0.0,105.9,105.9,105.9,0.0,0.0,106.22,106.22,106.22,0.0,0.0
2018-03-18,95.0,95.0,95.0,0.0,0.0,95.66,95.66,95.66,0.0,0.0,89.89,89.89,89.89,0.0,0.0,89.89,89.89,89.89,0.0,0.0
2018-03-25,89.86,89.86,89.86,0.0,0.0,94.15,94.15,94.15,0.0,0.0,88.5,88.5,88.5,0.0,0.0,92.36,92.36,92.36,0.0,0.0
2018-04-01,90.97,90.97,90.97,0.0,0.0,92.45,92.45,92.45,0.0,0.0,87.45,87.45,87.45,0.0,0.0,88.26,88.26,88.26,0.0,0.0
2018-04-08,96.63,96.63,96.63,0.0,0.0,97.0,97.0,97.0,0.0,0.0,94.07,94.07,94.07,0.0,0.0,94.88,94.88,94.88,0.0,0.0
2018-04-15,96.44,96.44,96.44,0.0,0.0,96.44,96.44,96.44,0.0,0.0,93.4,93.4,93.4,0.0,0.0,94.12,94.12,94.12,0.0,0.0
2018-04-22,95.21,95.21,95.21,0.0,0.0,95.3,95.3,95.3,0.0,0.0,91.76,91.76,91.76,0.0,0.0,92.9,92.9,92.9,0.0,0.0
2018-04-29,93.55,93.55,93.55,0.0,0.0,98.57,98.57,98.57,0.0,0.0,93.55,93.55,93.55,0.0,0.0,98.1,98.1,98.1,0.0,0.0
2018-05-06,105.93,105.93,105.93,0.0,0.0,106.1,106.1,106.1,0.0,0.0,104.73,104.73,104.73,0.0,0.0,105.01,105.01,105.01,0.0,0.0
2018-05-13,102.72,102.72,102.72,0.0,0.0,103.06,103.06,103.06,0.0,0.0,101.93,101.93,101.93,0.0,0.0,102.04,102.04,102.04,0.0,0.0
2018-05-20,104.85,104.85,104.85,0.0,0.0,105.6,105.6,105.6,0.0,0.0,104.55,104.55,104.55,0.0,0.0,105.02,105.02,105.02,0.0,0.0
2018-05-27,106.74,106.74,106.74,0.0,0.0,109.18,109.18,109.18,0.0,0.0,106.74,106.74,106.74,0.0,0.0,109.18,109.18,109.18,0.0,0.0
2018-06-03,109.21,109.21,109.21,0.0,0.0,110.36,110.36,110.36,0.0,0.0,108.38,108.38,108.38,0.0,0.0,110.15,110.15,110.15,0.0,0.0
2018-06-10,111.91,111.91,111.91,0.0,0.0,111.91,111.91,111.91,0.0,0.0,110.17,110.17,110.17,0.0,0.0,111.44,111.44,111.44,0.0,0.0
2018-06-17,109.56,109.56,109.56,0.0,0.0,109.56,109.56,109.56,0.0,0.0,107.1,107.1,107.1,0.0,0.0,107.78,107.78,107.78,0.0,0.0
2018-06-24,104.09,104.09,104.09,0.0,0.0,104.69,104.69,104.69,0.0,0.0,102.76,102.76,102.76,0.0,0.0,102.76,102.76,102.76,0.0,0.0
2018-07-01,105.05,105.05,105.05,0.0,0.0,108.4,108.4,108.4,0.0,0.0,105.0,105.0,105.0,0.0,0.0,108.07,108.07,108.07,0.0,0.0
2018-07-08,112.88,112.88,112.88,0.0,0.0,113.38,113.38,113.38,0.0,0.0,112.34,112.34,112.34,0.0,0.0,112.85,112.85,112.85,0.0,0.0
2018-07-15,113.42,113.42,113.42,0.0,0.0,114.33,114.33,114.33,0.0,0.0,112.68,112.68,112.68,0.0,0.0,112.9,112.9,112.9,0.0,0.0
2018-07-22,115.39,115.39,115.39,0.0,0.0,115.39,115.39,115.39,0.0,0.0,108.64,108.64,108.64,0.0,0.0,109.76,109.76,109.76,0.0,0.0
2018-07-29,112.94,112.94,112.94,0.0,0.0,113.26,113.26,113.26,0.0,0.0,111.68,111.68,111.68,0.0,0.0,113.26,113.26,113.26,0.0,0.0
2018-08-05,114.82,114.82,114.82,0.0,0.0,115.49,115.49,115.49,0.0,0.0,113.78,113.78,113.78,0.0,0.0,114.36,114.36,114.36,0.0,0.0
2018-08-12,112.79,112.79,112.79,0.0,0.0,114.25,114.25,114.25,0.0,0.0,111.82,111.82,111.82,0.0,0.0,113.75,113.75,113.75,0.0,0.0
2018-08-19,116.0,116.0,116.0,0.0,0.0,117.86,117.86,117.86,0.0,0.0,116.0,116.0,116.0,0.0,0.0,117.84,117.84,117.84,0.0,0.0
2018-08-26,122.43,122.43,122.43,0.0,0.0,123.6,123.6,123.6,0.0,0.0,122.18,122.18,122.18,0.0,0.0,122.88,122.88,122.88,0.0,0.0
2018-09-02,114.94,114.94,114.94,0.0,0.0,117.39,117.39,117.39,0.0,0.0,114.24,114.24,114.24,0.0,0.0,115.3,115.3,115.3,0.0,0.0
2018-09-09,119.48,119.48,119.48,0.0,0.0,120.18,120.18,120.18,0.0,0.0,117.94,117.94,117.94,0.0,0.0,118.88,118.88,118.88,0.0,0.0
2018-09-16,119.8,119.8,119.8,0.0,0.0,119.96,119.96,119.96,0.0,0.0,117.3,117.3,117.3,0.0,0.0,117.57,117.57,117.57,0.0,0.0
2018-09-23,119.83,119.83,119.83,0.0,0.0,120.88,120.88,120.88,0.0,0.0,119.33,119.33,119.33,0.0,0.0,120.74,120.74,120.74,0.0,0.0
2018-09-30,117.14,117.14,117.14,0.0,0.0,117.99,117.99,117.99,0.0,0.0,111.92,111.92,111.92,0.0,0.0,114.26,114.26,114.26,0.0,0.0
2018-10-07,105.07,105.07,105.07,0.0,0.0,106.09,106.09,106.09,0.0,0.0,101.82,101.82,101.82,0.0,0.0,105.68,105.68,105.68,0.0,0.0
2018-10-14,104.74,104.74,104.74,0.0,0.0,106.13,106.13,106.13,0.0,0.0,101.9,101.9,101.9,0.0,0.0,102.43,102.43,102.43,0.0,0.0
2018-10-21,94.04,94.04,94.04,0.0,0.0,99.42,99.42,99.42,0.0,0.0,92.43,92.43,92.43,0.0,0.0,95.53,95.53,95.53,0.0,0.0
2018-10-28,100.7,100.7,100.7,0.0,0.0,101.74,101.74,101.74,0.0,0.0,96.48,96.48,96.48,0.0,0.0,97.84,97.84,97.84,0.0,0.0
2018-11-04,100.92,100.92,100.92,0.0,0.0,101.0,101.0,101.0,0.0,0.0,97.18,97.18,97.18,0.0,0.0,98.96,98.96,98.96,0.0,0.0
2018-11-11,92.56,92.56,92.56,0.0,0.0,95.16,95.16,95.16,0.0,0.0,92.29,92.29,92.29,0.0,0.0,94.37,94.37,94.37,0.0,0.0
2018-11-18,83.85,83.85,83.85,0.0,0.0,85.78,85.78,85.78,0.0,0.0,83.75,83.75,83.75,0.0,0.0,84.06,84.06,84.06,0.0,0.0
2018-11-25,93.32,93.32,93.32,0.0,0.0,94.72,94.72,94.72,0.0,0.0,92.4,92.4,92.4,0.0,0.0,94.69,94.69,94.69,0.0,0.0
2018-12-02,90.6,90.6,90.6,0.0,0.0,91.61,91.61,91.61,0.0,0.0,84.75,84.75,84.75,0.0,0.0,85.18,85.18,85.18,0.0,0.0
2018-12-09,88.06,88.06,88.06,0.0,0.0,88.88,88.88,88.88,0.0,0.0,85.9,85.9,85.9,0.0,0.0,86.07,86.07,86.07,0.0,0.0
2018-12-16,77.32,77.32,77.32,0.0,0.0,78.5,78.5,78.5,0.0,0.0,71.53,71.53,71.53,0.0,0.0,72.1,72.1,72.1,0.0,0.0
2018-12-23,79.09,79.09,79.09,0.0,0.0,80.42,80.42,80.42,0.0,0.0,76.71,76.71,76.71,0.0,0.0,77.83,77.83,77.83,0.0,0.0
2018-12-30,74.28,74.28,74.28,0.0,0.0,78.98,78.98,78.98,0.0,0.0,74.23,74.23,74.23,0.0,0.0,78.58,78.58,78.58,0.0,0.0
2019-01-06,82.97,82.97,82.97,0.0,0.0,83.46,83.46,83.46,0.0,0.0,82.41,82.41,82.41,0.0,0.0,83.26,83.26,83.26,0.0,0.0
2019-01-13,87.36,87.36,87.36,0.0,0.0,89.35,89.35,89.35,0.0,0.0,86.75,86.75,86.75,0.0,0.0,88.59,88.59,88.59,0.0,0.0
2019-01-20,88.17,88.17,88.17,0.0,0.0,90.03,90.03,90.03,0.0,0.0,87.69,87.69,87.69,0.0,0.0,89.63,89.63,89.63,0.0,0.0
2019-01-27,92.68,92.68,92.68,0.0,0.0,94.43,94.43,94.43,0.0,0.0,92.68,92.68,92.68,0.0,0.0,93.26,93.26,93.26,0.0,0.0
2019-02-03,93.2,93.2,93.2,0.0,0.0,95.99,95.99,95.99,0.0,0.0,93.2,93.2,93.2,0.0,0.0,95.99,95.99,95.99,0.0,0.0
2019-02-10,100.41,100.41,100.41,0.0,0.0,100.54,100.54,100.54,0.0,0.0,99.01,99.01,99.01,0.0,0.0,99.78,99.78,99.78,0.0,0.0
2019-02-17,100.7,100.7,100.7,0.0,0.0,102.2,102.2,102.2,0.0,0.0,100.7,100.7,100.7,0.0,0.0,102.2,102.2,102.2,0.0,0.0
2019-02-24,104.05,104.05,104.05,0.0,0.0,104.35,104.35,104.35,0.0,0.0,102.72,102.72,102.72,0.0,0.0,104.1,104.1,104.1,0.0,0.0
2019-03-03,98.06,98.06,98.06,0.0,0.0,100.59,100.59,100.59,0.0,0.0,97.56,97.56,97.56,0.0,0.0,100.59,100.59,100.59,0.0,0.0
2019-03-10,107.85,107.85,107.85,0.0,0.0,110.15,110.15,110.15,0.0,0.0,107.85,107.85,107.85,0.0,0.0,109.15,109.15,109.15,0.0,0.0
2019-03-17,114.58,114.58,114.58,0.0,0.0,115.53,115.53,115.53,0.0,0.0,109.97,109.97,109.97,0.0,0.0,110.08,110.08,110.08,0.0,0.0
2019-03-24,110.11,110.11,110.11,0.0,0.0,110.55,110.55,110.55,0.0,0.0,109.17,109.17,109.17,0.0,0.0,110.44,110.44,110.44,0.0,0.0
2019-03-31,116.94,116.94,116.94,0.0,0.0,117.19,117.19,117.19,0.0,0.0,116.32,116.32,116.32,0.0,0.0,116.76,116.76,116.76,0.0,0.0
