Date,iShares Latin America 40_Open_average,iShares Latin America 40_Open_max,iShares Latin America 40_Open_min,iShares Latin America 40_Open_volatility,iShares Latin America 40_Open_change,iShares Latin America 40_High_average,iShares Latin America 40_High_max,iShares Latin America 40_High_min,iShares Latin America 40_High_volatility,iShares Latin America 40_High_change,iShares Latin America 40_Low_average,iShares Latin America 40_Low_max,iShares Latin America 40_Low_min,iShares Latin America 40_Low_volatility,iShares Latin America 40_Low_change,iShares Latin America 40_Close_average,iShares Latin America 40_Close_max,iShares Latin America 40_Close_min,iShares Latin America 40_Close_volatility,iShares Latin America 40_Close_change
2018-01-14,37.27,37.27,37.27,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2018-01-21,39.11,39.11,39.11,0.0,0.0,39.19,39.19,39.19,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2018-01-28,37.74,37.74,37.74,0.0,0.0,38.17,38.17,38.17,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2018-02-04,36.64,36.64,36.64,0.0,0.0,37.02,37.02,37.02,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2018-02-11,37.94,37.94,37.94,0.0,0.0,38.48,38.48,38.48,0.0,0.0,37.85,37.85,37.85,0.0,0.0,38.08,38.08,38.08,0.0,0.0
2018-02-18,39.19,39.19,39.19,0.0,0.0,39.22,39.22,39.22,0.0,0.0,38.78,38.78,38.78,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2018-02-25,37.46,37.46,37.46,0.0,0.0,38.07,38.07,38.07,0.0,0.0,37.34,37.34,37.34,0.0,0.0,38.06,38.06,38.06,0.0,0.0
2018-03-04,38.38,38.38,38.38,0.0,0.0,38.56,38.56,38.56,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2018-03-11,36.94,36.94,36.94,0.0,0.0,37.11,37.11,37.11,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.82,36.82,36.82,0.0,0.0
2018-03-18,37.32,37.32,37.32,0.0,0.0,37.37,37.37,37.37,0.0,0.0,36.7,36.7,36.7,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2018-03-25,37.42,37.42,37.42,0.0,0.0,37.6,37.6,37.6,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2018-04-01,37.21,37.21,37.21,0.0,0.0,37.27,37.27,37.27,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.43,36.43,36.43,0.0,0.0
2018-04-08,37.3,37.3,37.3,0.0,0.0,37.32,37.32,37.32,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2018-04-15,37.03,37.03,37.03,0.0,0.0,37.12,37.12,37.12,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2018-04-22,37.09,37.09,37.09,0.0,0.0,37.19,37.19,37.19,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2018-04-29,35.04,35.04,35.04,0.0,0.0,35.12,35.12,35.12,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-05-06,35.58,35.58,35.58,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2018-05-13,34.02,34.02,34.02,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-05-20,33.05,33.05,33.05,0.0,0.0,33.05,33.05,33.05,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.59,32.59,32.59,0.0,0.0
2018-05-27,31.85,31.85,31.85,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2018-06-03,30.76,30.76,30.76,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-06-10,29.41,29.41,29.41,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.64,29.64,29.64,0.0,0.0
