Date,WisdomTree Barclays Negative Duration US Aggregate_Open_average,WisdomTree Barclays Negative Duration US Aggregate_Open_max,WisdomTree Barclays Negative Duration US Aggregate_Open_min,WisdomTree Barclays Negative Duration US Aggregate_Open_volatility,WisdomTree Barclays Negative Duration US Aggregate_Open_change,WisdomTree Barclays Negative Duration US Aggregate_High_average,WisdomTree Barclays Negative Duration US Aggregate_High_max,WisdomTree Barclays Negative Duration US Aggregate_High_min,WisdomTree Barclays Negative Duration US Aggregate_High_volatility,WisdomTree Barclays Negative Duration US Aggregate_High_change,WisdomTree Barclays Negative Duration US Aggregate_Low_average,WisdomTree Barclays Negative Duration US Aggregate_Low_max,WisdomTree Barclays Negative Duration US Aggregate_Low_min,WisdomTree Barclays Negative Duration US Aggregate_Low_volatility,WisdomTree Barclays Negative Duration US Aggregate_Low_change,WisdomTree Barclays Negative Duration US Aggregate_Close_average,WisdomTree Barclays Negative Duration US Aggregate_Close_max,WisdomTree Barclays Negative Duration US Aggregate_Close_min,WisdomTree Barclays Negative Duration US Aggregate_Close_volatility,WisdomTree Barclays Negative Duration US Aggregate_Close_change
2018-01-14,43.88,43.88,43.88,0.0,0.0,43.96,43.96,43.96,0.0,0.0,43.74,43.74,43.74,0.0,0.0,43.74,43.74,43.74,0.0,0.0
2018-01-21,43.94,43.94,43.94,0.0,0.0,43.94,43.94,43.94,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2018-01-28,44.4,44.4,44.4,0.0,0.0,44.53,44.53,44.53,0.0,0.0,43.8,43.8,43.8,0.0,0.0,44.53,44.53,44.53,0.0,0.0
2018-02-04,45.0,45.0,45.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0,43.99,43.99,43.99,0.0,0.0,43.99,43.99,43.99,0.0,0.0
2018-02-11,44.25,44.25,44.25,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2018-02-18,44.26,44.26,44.26,0.0,0.0,44.29,44.29,44.29,0.0,0.0,43.96,43.96,43.96,0.0,0.0,44.08,44.08,44.08,0.0,0.0
2018-02-25,44.13,44.13,44.13,0.0,0.0,44.14,44.14,44.14,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.07,44.07,44.07,0.0,0.0
2018-03-04,44.01,44.01,44.01,0.0,0.0,44.27,44.27,44.27,0.0,0.0,43.99,43.99,43.99,0.0,0.0,44.09,44.09,44.09,0.0,0.0
2018-03-11,43.98,43.98,43.98,0.0,0.0,43.98,43.98,43.98,0.0,0.0,43.82,43.82,43.82,0.0,0.0,43.82,43.82,43.82,0.0,0.0
2018-03-18,43.76,43.76,43.76,0.0,0.0,43.93,43.93,43.93,0.0,0.0,43.76,43.76,43.76,0.0,0.0,43.8,43.8,43.8,0.0,0.0
