Date,Guggenheim Invest Frontier Markets_Open_average,Guggenheim Invest Frontier Markets_Open_max,Guggenheim Invest Frontier Markets_Open_min,Guggenheim Invest Frontier Markets_Open_volatility,Guggenheim Invest Frontier Markets_Open_change,Guggenheim Invest Frontier Markets_High_average,Guggenheim Invest Frontier Markets_High_max,Guggenheim Invest Frontier Markets_High_min,Guggenheim Invest Frontier Markets_High_volatility,Guggenheim Invest Frontier Markets_High_change,Guggenheim Invest Frontier Markets_Low_average,Guggenheim Invest Frontier Markets_Low_max,Guggenheim Invest Frontier Markets_Low_min,Guggenheim Invest Frontier Markets_Low_volatility,Guggenheim Invest Frontier Markets_Low_change,Guggenheim Invest Frontier Markets_Close_average,Guggenheim Invest Frontier Markets_Close_max,Guggenheim Invest Frontier Markets_Close_min,Guggenheim Invest Frontier Markets_Close_volatility,Guggenheim Invest Frontier Markets_Close_change
2018-01-14,16.17,16.17,16.17,0.0,0.0,16.31,16.31,16.31,0.0,0.0,16.17,16.17,16.17,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2018-01-21,16.16,16.16,16.16,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.11,16.11,16.11,0.0,0.0,16.12,16.12,16.12,0.0,0.0
2018-01-28,15.5,15.5,15.5,0.0,0.0,15.57,15.57,15.57,0.0,0.0,14.92,14.92,14.92,0.0,0.0,15.18,15.18,15.18,0.0,0.0
2018-02-04,15.07,15.07,15.07,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.34,15.34,15.34,0.0,0.0
2018-02-11,15.83,15.83,15.83,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2018-02-18,16.08,16.08,16.08,0.0,0.0,16.17,16.17,16.17,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.15,16.15,16.15,0.0,0.0
2018-02-25,16.01,16.01,16.01,0.0,0.0,16.14,16.14,16.14,0.0,0.0,15.97,15.97,15.97,0.0,0.0,16.14,16.14,16.14,0.0,0.0
2018-03-04,16.28,16.28,16.28,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.18,16.18,16.18,0.0,0.0,16.28,16.28,16.28,0.0,0.0
2018-03-11,16.34,16.34,16.34,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.21,16.21,16.21,0.0,0.0
2018-03-18,16.32,16.32,16.32,0.0,0.0,16.37,16.37,16.37,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.37,16.37,16.37,0.0,0.0
2018-03-25,16.45,16.45,16.45,0.0,0.0,16.62,16.62,16.62,0.0,0.0,15.91,15.91,15.91,0.0,0.0,16.16,16.16,16.16,0.0,0.0
2018-04-01,16.4,16.4,16.4,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.18,16.18,16.18,0.0,0.0,16.18,16.18,16.18,0.0,0.0
2018-04-08,16.12,16.12,16.12,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.05,16.05,16.05,0.0,0.0,16.09,16.09,16.09,0.0,0.0
2018-04-15,15.88,15.88,15.88,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.86,15.86,15.86,0.0,0.0
2018-04-22,15.76,15.76,15.76,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.71,15.71,15.71,0.0,0.0
2018-04-29,15.52,15.52,15.52,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.49,15.49,15.49,0.0,0.0
2018-05-06,15.34,15.34,15.34,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.21,15.21,15.21,0.0,0.0
2018-05-13,14.88,14.88,14.88,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2018-05-20,14.42,14.42,14.42,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.38,14.38,14.38,0.0,0.0
2018-05-27,14.51,14.51,14.51,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.53,14.53,14.53,0.0,0.0
2018-06-03,14.64,14.64,14.64,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.63,14.63,14.63,0.0,0.0
2018-06-10,14.15,14.15,14.15,0.0,0.0,14.15,14.15,14.15,0.0,0.0,13.96,13.96,13.96,0.0,0.0,14.05,14.05,14.05,0.0,0.0
2018-06-17,13.97,13.97,13.97,0.0,0.0,14.02,14.02,14.02,0.0,0.0,13.79,13.79,13.79,0.0,0.0,13.86,13.86,13.86,0.0,0.0
2018-06-24,13.68,13.68,13.68,0.0,0.0,13.77,13.77,13.77,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.76,13.76,13.76,0.0,0.0
2018-07-01,14.12,14.12,14.12,0.0,0.0,14.18,14.18,14.18,0.0,0.0,14.11,14.11,14.11,0.0,0.0,14.15,14.15,14.15,0.0,0.0
2018-07-08,14.07,14.07,14.07,0.0,0.0,14.1,14.1,14.1,0.0,0.0,14.06,14.06,14.06,0.0,0.0,14.1,14.1,14.1,0.0,0.0
2018-07-15,14.13,14.13,14.13,0.0,0.0,14.17,14.17,14.17,0.0,0.0,14.11,14.11,14.11,0.0,0.0,14.12,14.12,14.12,0.0,0.0
2018-07-22,14.27,14.27,14.27,0.0,0.0,14.31,14.31,14.31,0.0,0.0,14.23,14.23,14.23,0.0,0.0,14.28,14.28,14.28,0.0,0.0
2018-07-29,13.96,13.96,13.96,0.0,0.0,14.06,14.06,14.06,0.0,0.0,13.96,13.96,13.96,0.0,0.0,14.06,14.06,14.06,0.0,0.0
2018-08-05,13.72,13.72,13.72,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.63,13.63,13.63,0.0,0.0,13.63,13.63,13.63,0.0,0.0
2018-08-12,13.38,13.38,13.38,0.0,0.0,13.42,13.42,13.42,0.0,0.0,13.34,13.34,13.34,0.0,0.0,13.35,13.35,13.35,0.0,0.0
2018-08-19,13.48,13.48,13.48,0.0,0.0,13.54,13.54,13.54,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.49,13.49,13.49,0.0,0.0
2018-08-26,13.13,13.13,13.13,0.0,0.0,13.24,13.24,13.24,0.0,0.0,13.11,13.11,13.11,0.0,0.0,13.19,13.19,13.19,0.0,0.0
