Date,ARK Industrial Innovation_Open_average,ARK Industrial Innovation_Open_max,ARK Industrial Innovation_Open_min,ARK Industrial Innovation_Open_volatility,ARK Industrial Innovation_Open_change,ARK Industrial Innovation_High_average,ARK Industrial Innovation_High_max,ARK Industrial Innovation_High_min,ARK Industrial Innovation_High_volatility,ARK Industrial Innovation_High_change,ARK Industrial Innovation_Low_average,ARK Industrial Innovation_Low_max,ARK Industrial Innovation_Low_min,ARK Industrial Innovation_Low_volatility,ARK Industrial Innovation_Low_change,ARK Industrial Innovation_Close_average,ARK Industrial Innovation_Close_max,ARK Industrial Innovation_Close_min,ARK Industrial Innovation_Close_volatility,ARK Industrial Innovation_Close_change
2018-01-14,36.27,36.27,36.27,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.03,36.03,36.03,0.0,0.0,36.47,36.47,36.47,0.0,0.0
2018-01-21,36.72,36.72,36.72,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2018-01-28,34.49,34.49,34.49,0.0,0.0,34.94,34.94,34.94,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-02-04,33.19,33.19,33.19,0.0,0.0,33.67,33.67,33.67,0.0,0.0,32.98,32.98,32.98,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2018-02-11,35.15,35.15,35.15,0.0,0.0,35.27,35.27,35.27,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2018-02-18,35.6,35.6,35.6,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2018-02-25,34.54,34.54,34.54,0.0,0.0,35.31,35.31,35.31,0.0,0.0,34.33,34.33,34.33,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2018-03-04,36.51,36.51,36.51,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2018-03-11,35.8,35.8,35.8,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2018-03-18,34.04,34.04,34.04,0.0,0.0,34.34,34.34,34.34,0.0,0.0,33.5,33.5,33.5,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2018-03-25,32.66,32.66,32.66,0.0,0.0,32.66,32.66,32.66,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2018-04-01,32.53,32.53,32.53,0.0,0.0,33.03,33.03,33.03,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.61,32.61,32.61,0.0,0.0
