Date,OPHC_stock_Open_average,OPHC_stock_Open_max,OPHC_stock_Open_min,OPHC_stock_Open_volatility,OPHC_stock_Open_change,OPHC_stock_High_average,OPHC_stock_High_max,OPHC_stock_High_min,OPHC_stock_High_volatility,OPHC_stock_High_change,OPHC_stock_Low_average,OPHC_stock_Low_max,OPHC_stock_Low_min,OPHC_stock_Low_volatility,OPHC_stock_Low_change,OPHC_stock_Close_average,OPHC_stock_Close_max,OPHC_stock_Close_min,OPHC_stock_Close_volatility,OPHC_stock_Close_change,OPHC_stock_Volume_average,OPHC_stock_Volume_max,OPHC_stock_Volume_min,OPHC_stock_Volume_volatility,OPHC_stock_Volume_change
2018-01-14,5.12,5.38,4.93,0.4500000000000002,0.16999999999999993,5.59025,6.15,5.2,0.9500000000000002,0.34999999999999964,4.94275,5.101,4.76,0.3410000000000002,0.3410000000000002,5.195,5.39,4.93,0.45999999999999996,0.45999999999999996,49344,79423,21769,57654,-7032
2018-01-21,5.8466,6.172999999999999,5.43,0.7429999999999994,0.1900000000000004,6.3516,6.75,6.0,0.75,0.25,5.662,5.79,5.43,0.3600000000000003,0.08000000000000007,5.93,6.12,5.77,0.35000000000000053,-0.1900000000000004,74474,138403,28292,110111,-71874
2018-01-28,5.204,5.99,4.87,1.12,-1.12,5.2894,5.99,5.0,0.9900000000000002,-0.9000000000000004,4.838,5.31,4.51,0.7999999999999998,-0.71,5.044,5.54,4.78,0.7599999999999998,-0.4800000000000004,14853,21494,8916,12578,-7125
2018-02-04,4.33,5.1,4.01,1.0899999999999999,-1.0499999999999998,4.368,5.11,4.05,1.0600000000000005,-1.0600000000000005,4.0144,4.342,3.66,0.6819999999999995,-0.6819999999999995,4.082,4.36,3.83,0.5300000000000002,-0.5300000000000002,14228,34221,1292,32929,-24562
2018-02-11,3.9882,4.181,3.85,0.33099999999999996,-0.10000000000000009,4.2246,4.36,4.01,0.35000000000000053,-0.1900000000000004,3.9266,4.01,3.8,0.20999999999999996,-0.20000000000000018,3.9899999999999998,4.13,3.8,0.33000000000000007,-0.2999999999999998,22735,90663,4874,85789,85789
2018-02-18,3.6550000000000002,3.8,3.52,0.2799999999999998,-0.1599999999999997,3.78025,4.0,3.55,0.4500000000000002,-0.09100000000000019,3.58,3.65,3.51,0.14000000000000012,0.13000000000000034,3.6125,3.74,3.51,0.23000000000000043,0.23000000000000043,4910,11193,1475,9718,-9718
2018-02-25,3.883,4.28,3.7,0.5800000000000001,0.5800000000000001,4.2322,5.25,3.761,1.4889999999999999,0.5190000000000001,3.7352,3.94,3.62,0.31999999999999984,0.29000000000000004,3.948,4.27,3.693,0.5769999999999995,0.5769999999999995,51858,174870,3730,171140,21946
2018-03-04,4.0424,4.138,3.948,0.18999999999999995,0.09799999999999986,4.306,4.5,4.09,0.41000000000000014,-0.08999999999999986,3.9697999999999998,4.1,3.85,0.24999999999999956,0.24999999999999956,4.14,4.41,3.99,0.41999999999999993,0.17999999999999972,13897,25780,710,25070,-22495
2018-03-11,4.79,5.6,4.16,1.4399999999999995,1.4399999999999995,5.3498,5.968999999999999,4.56,1.4089999999999998,1.04,4.5756,5.15,4.16,0.9900000000000002,0.6099999999999994,4.9559999999999995,5.47,4.39,1.08,0.8600000000000003,62705,186783,10668,176115,19995
2018-03-18,4.7668,5.15,4.378,0.7720000000000002,-0.7720000000000002,4.8814,5.15,4.57,0.5800000000000001,-0.5800000000000001,4.5728,4.72,4.378,0.34199999999999964,-0.34199999999999964,4.62,4.82,4.39,0.4300000000000006,-0.4300000000000006,9524,17568,1291,16277,-16277
2018-03-25,4.16525,4.23,4.111000000000001,0.11899999999999977,0.08899999999999952,4.28,4.57,4.12,0.4500000000000002,0.03000000000000025,3.98,4.12,3.9,0.2200000000000002,0.2200000000000002,4.1675,4.23,4.09,0.14000000000000057,0.11000000000000032,12488,36102,1450,34652,-8666
2018-04-01,4.2524999999999995,4.37,4.15,0.21999999999999975,0.11999999999999922,4.54825,5.16,4.207,0.9530000000000003,0.9530000000000003,4.2425,4.37,4.15,0.21999999999999975,0.11999999999999922,4.3785,4.73,4.18,0.5500000000000007,0.5500000000000007,18226,59886,351,59535,59109
2018-04-08,4.783,4.905,4.73,0.17499999999999982,0.02999999999999936,5.018,5.38,4.77,0.6100000000000003,0.28000000000000025,4.5842,4.76,4.38,0.3799999999999999,0.13999999999999968,4.788,5.125,4.63,0.4950000000000001,0.10499999999999954,25343,49048,6277,42771,7874
