Date,XLNX_stock_Open_average,XLNX_stock_Open_max,XLNX_stock_Open_min,XLNX_stock_Open_volatility,XLNX_stock_Open_change,XLNX_stock_High_average,XLNX_stock_High_max,XLNX_stock_High_min,XLNX_stock_High_volatility,XLNX_stock_High_change,XLNX_stock_Low_average,XLNX_stock_Low_max,XLNX_stock_Low_min,XLNX_stock_Low_volatility,XLNX_stock_Low_change,XLNX_stock_Close_average,XLNX_stock_Close_max,XLNX_stock_Close_min,XLNX_stock_Close_volatility,XLNX_stock_Close_change,XLNX_stock_Volume_average,XLNX_stock_Volume_max,XLNX_stock_Volume_min,XLNX_stock_Volume_volatility,XLNX_stock_Volume_change
2018-01-14,75.62,77.0,74.45,2.549999999999997,2.019999999999996,76.3575,77.26,75.47,1.7900000000000063,1.7900000000000063,74.77000000000001,75.87,73.51,2.3599999999999994,2.030000000000001,75.41,76.3,73.77,2.530000000000001,1.9399999999999977,2116500,2782406,1510282,1272124,-72666
2018-01-21,74.358,75.72,70.9,4.819999999999993,-4.819999999999993,74.758,76.0,71.95,4.049999999999997,-4.019999999999996,72.742,75.44,69.66,5.780000000000001,-4.890000000000001,73.228,75.54,69.74,5.800000000000011,-3.5,3950621,5865162,2102818,3762344,2728429
2018-01-28,72.05799999999999,72.77,71.5,1.269999999999996,0.3199999999999932,72.908,73.81,72.44,1.3700000000000045,0.10000000000000853,71.38,72.3,70.61,1.6899999999999977,-0.29000000000000625,72.092,73.02,70.64,2.3799999999999955,-1.5400000000000063,3178085,3935212,2562147,1373065,-711956
2018-02-04,66.964,70.04,63.74,6.300000000000004,-6.300000000000004,68.33,70.25,66.08,4.170000000000002,-4.170000000000002,64.65,66.96,62.27,4.689999999999991,-4.43,66.226,68.99,62.82,6.169999999999995,-1.5900000000000034,4157928,5438944,1984773,3454171,1428462
2018-02-11,65.896,67.56,64.46,3.1000000000000085,1.5799999999999983,67.03399999999999,67.72,65.45,2.269999999999996,0.9000000000000057,65.366,66.85,63.91,2.9399999999999977,1.9899999999999949,66.316,67.22,65.12,2.0999999999999943,1.9699999999999989,2401662,3258199,1670541,1587658,-1224794
2018-02-18,68.57,69.49,66.92,2.569999999999993,2.569999999999993,69.7125,70.1,69.39,0.7099999999999937,0.7099999999999937,68.16,68.77,66.92,1.8499999999999943,1.8499999999999943,69.1575,70.05,68.46,1.5900000000000034,0.8599999999999994,2412444,2752959,1909991,842968,-842968
2018-02-25,71.126,72.23,70.06,2.1700000000000017,-0.45999999999999375,72.342,73.16,71.68,1.4799999999999898,0.6799999999999926,70.494,71.3,69.8,1.5,-0.7199999999999989,71.442,72.23,70.8,1.4300000000000068,0.7400000000000091,2284368,2485083,1858190,626893,579812
2018-03-04,73.63,75.8,71.48,4.319999999999993,4.319999999999993,74.966,76.9,73.43,3.469999999999999,3.469999999999999,73.392,75.8,71.2,4.599999999999994,4.599999999999994,74.522,76.2,72.8,3.4000000000000057,3.4000000000000057,2421327,3511081,1867115,1643966,845343
2018-03-11,76.606,77.51,75.78,1.730000000000004,-1.1299999999999955,77.198,78.02,76.61,1.4099999999999966,-1.3399999999999892,75.65,76.84,75.24,1.6000000000000085,-1.3200000000000074,76.216,77.07,75.83,1.2399999999999949,-1.039999999999992,2809258,4179376,1478528,2700848,1197384
2018-03-18,75.092,76.09,73.96,2.1300000000000097,-1.8100000000000023,75.718,76.75,74.31,2.4399999999999977,-1.6799999999999926,74.116,75.53,71.85,3.680000000000007,-2.3500000000000085,74.534,76.19,71.87,4.319999999999993,-3.1299999999999955,2023016,2540822,1639346,901476,-220885
2018-03-25,72.9725,74.87,71.82,3.0500000000000114,-1.4200000000000017,73.78,74.97,72.48,2.489999999999995,-1.3900000000000006,71.7,72.85,70.94,1.9099999999999966,-1.5899999999999892,72.4675,74.2,71.35,2.8500000000000085,-1.960000000000008,2634595,3025722,2209225,816497,-703264
2018-04-01,69.872,71.86,68.03,3.8299999999999983,-3.8299999999999983,70.97,72.45,68.84,3.6099999999999994,-3.6099999999999994,68.434,69.97,66.18,3.789999999999992,-2.6999999999999886,69.376,71.14,66.3,4.840000000000003,-2.740000000000009,2692587,3263851,1685847,1578004,-33496
2018-04-08,68.204,69.97,66.85,3.1200000000000045,3.1200000000000045,69.354,70.16,68.67,1.4899999999999949,1.0799999999999983,67.588,68.53,66.38,2.1500000000000057,1.9399999999999977,68.164,69.53,66.73,2.799999999999997,1.759999999999991,1869063,2585634,1302213,1283421,-1283421
2018-04-15,67.602,69.09,65.02,4.070000000000007,-3.0799999999999983,68.218,70.3,65.29,5.009999999999991,-3.4299999999999926,66.432,68.33,63.55,4.780000000000001,-3.9200000000000017,67.02600000000001,69.89,64.15,5.739999999999995,-4.030000000000001,4661811,7698991,2524934,5174057,3348690
2018-04-22,64.76,65.35,64.2,1.1499999999999915,0.5300000000000011,65.574,66.75,64.42,2.3299999999999983,-0.5600000000000023,63.614,64.33,62.54,1.7899999999999991,0.6599999999999966,64.172,64.76,63.64,1.1200000000000045,1.0500000000000043,4331252,5021561,3294663,1726898,-1020650
2018-04-29,64.69800000000001,65.44,64.03,1.4099999999999966,0.6299999999999955,65.75,67.02,64.63,2.3900000000000006,1.5300000000000011,64.292,65.27,63.74,1.529999999999994,1.269999999999996,65.332,66.95,64.24,2.710000000000008,2.710000000000008,2301715,3043142,1819785,1223357,-1223357
2018-05-06,68.134,69.46,67.05,2.4099999999999966,2.4099999999999966,68.73,69.98,67.64,2.3400000000000034,2.3400000000000034,67.716,69.02,66.61,2.4099999999999966,2.0600000000000023,68.446,69.72,67.23,2.489999999999995,1.9699999999999989,2147031,2822448,1675768,1146680,-901378
2018-05-13,70.594,71.13,69.69,1.4399999999999977,1.4399999999999977,71.512,71.89,71.02,0.8700000000000045,-0.29000000000000625,70.30199999999999,70.78,69.69,1.0900000000000034,1.019999999999996,71.11,71.47,70.42,1.0499999999999972,-0.20999999999999375,2330654,3371837,1651833,1720004,-1000954
2018-05-20,70.294,72.49,68.67,3.819999999999993,-3.1000000000000085,70.772,72.79,68.98,3.8100000000000023,-2.930000000000007,69.622,71.63,67.93,3.6999999999999886,-2.6799999999999926,70.208,72.27,68.74,3.530000000000001,-2.6700000000000017,2701196,4778362,1779064,2999298,-381862
2018-05-27,68.58250000000001,69.09,67.84,1.25,-0.18999999999999773,69.4075,70.74,68.76,1.9799999999999898,1.3799999999999955,67.985,68.7,67.6,1.1000000000000085,0.769999999999996,68.6825,70.37,68.02,2.3500000000000085,2.1400000000000006,2994829,4430140,2139429,2290711,1075469
2018-06-03,70.532,70.63,70.41,0.21999999999999886,-0.18999999999999773,71.03999999999999,72.05,70.69,1.3599999999999994,-0.12000000000000455,69.754,70.3,68.89,1.4099999999999966,-0.5400000000000063,70.328,70.69,69.54,1.1499999999999915,-0.789999999999992,1749539,2147477,1392743,754734,-402703
2018-06-10,69.946,70.35,69.52,0.8299999999999983,0.8299999999999983,70.43599999999999,70.77,70.19,0.5799999999999983,0.009999999999990905,69.548,69.94,69.39,0.5499999999999972,0.01999999999999602,70.03,70.43,69.72,0.710000000000008,0.5,1839914,3208559,952179,2256380,1788743
2018-06-17,68.67399999999999,69.49,67.97,1.519999999999996,-1.519999999999996,69.028,69.98,67.98,2.0,-2.0,67.79,68.78,66.67,2.1099999999999994,-2.1099999999999994,68.26,69.75,66.73,3.019999999999996,-3.019999999999996,2115395,2737369,1415922,1321447,-130352
2018-06-24,65.466,66.11,64.45,1.6599999999999966,-0.7099999999999937,66.08999999999999,66.63,65.22,1.4099999999999966,-0.10999999999999943,64.74,65.5,64.15,1.3499999999999943,0.5699999999999932,65.268,65.98,64.49,1.490000000000009,-0.21999999999999886,2106212,2599839,1578997,1020842,-646364
