Date,Victory CEMP US 500 Volatility WeightedEtf_Open_average,Victory CEMP US 500 Volatility WeightedEtf_Open_max,Victory CEMP US 500 Volatility WeightedEtf_Open_min,Victory CEMP US 500 Volatility WeightedEtf_Open_volatility,Victory CEMP US 500 Volatility WeightedEtf_Open_change,Victory CEMP US 500 Volatility WeightedEtf_High_average,Victory CEMP US 500 Volatility WeightedEtf_High_max,Victory CEMP US 500 Volatility WeightedEtf_High_min,Victory CEMP US 500 Volatility WeightedEtf_High_volatility,Victory CEMP US 500 Volatility WeightedEtf_High_change,Victory CEMP US 500 Volatility WeightedEtf_Low_average,Victory CEMP US 500 Volatility WeightedEtf_Low_max,Victory CEMP US 500 Volatility WeightedEtf_Low_min,Victory CEMP US 500 Volatility WeightedEtf_Low_volatility,Victory CEMP US 500 Volatility WeightedEtf_Low_change,Victory CEMP US 500 Volatility WeightedEtf_Close_average,Victory CEMP US 500 Volatility WeightedEtf_Close_max,Victory CEMP US 500 Volatility WeightedEtf_Close_min,Victory CEMP US 500 Volatility WeightedEtf_Close_volatility,Victory CEMP US 500 Volatility WeightedEtf_Close_change
2018-01-14,50.84,50.84,50.84,0.0,0.0,51.08,51.08,51.08,0.0,0.0,50.79,50.79,50.79,0.0,0.0,51.08,51.08,51.08,0.0,0.0
2018-01-21,51.83,51.83,51.83,0.0,0.0,51.98,51.98,51.98,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.96,51.96,51.96,0.0,0.0
2018-01-28,50.95,50.95,50.95,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2018-02-04,47.77,47.77,47.77,0.0,0.0,47.97,47.97,47.97,0.0,0.0,46.38,46.38,46.38,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2018-02-11,49.68,49.68,49.68,0.0,0.0,50.11,50.11,50.11,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-02-18,49.62,49.62,49.62,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2018-02-25,48.24,48.24,48.24,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.24,48.24,48.24,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-03-04,50.07,50.07,50.07,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2018-03-11,50.04,50.04,50.04,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2018-03-18,49.05,49.05,49.05,0.0,0.0,49.05,49.05,49.05,0.0,0.0,47.83,47.83,47.83,0.0,0.0,47.85,47.85,47.85,0.0,0.0
