Date,Schwab US Aggregate Bond_Open_average,Schwab US Aggregate Bond_Open_max,Schwab US Aggregate Bond_Open_min,Schwab US Aggregate Bond_Open_volatility,Schwab US Aggregate Bond_Open_change,Schwab US Aggregate Bond_High_average,Schwab US Aggregate Bond_High_max,Schwab US Aggregate Bond_High_min,Schwab US Aggregate Bond_High_volatility,Schwab US Aggregate Bond_High_change,Schwab US Aggregate Bond_Low_average,Schwab US Aggregate Bond_Low_max,Schwab US Aggregate Bond_Low_min,Schwab US Aggregate Bond_Low_volatility,Schwab US Aggregate Bond_Low_change,Schwab US Aggregate Bond_Close_average,Schwab US Aggregate Bond_Close_max,Schwab US Aggregate Bond_Close_min,Schwab US Aggregate Bond_Close_volatility,Schwab US Aggregate Bond_Close_change
2018-01-14,51.6,51.6,51.6,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.57,51.57,51.57,0.0,0.0
2018-01-21,51.51,51.51,51.51,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2018-01-28,51.0,51.0,51.0,0.0,0.0,51.28,51.28,51.28,0.0,0.0,50.97,50.97,50.97,0.0,0.0,51.2,51.2,51.2,0.0,0.0
2018-02-04,50.88,50.88,50.88,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2018-02-11,50.84,50.84,50.84,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2018-02-18,50.88,50.88,50.88,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2018-02-25,50.75,50.75,50.75,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2018-03-04,50.72,50.72,50.72,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.73,50.73,50.73,0.0,0.0
2018-03-11,50.75,50.75,50.75,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-03-18,50.79,50.79,50.79,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-03-25,50.92,50.92,50.92,0.0,0.0,51.03,51.03,51.03,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-04-01,50.92,50.92,50.92,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-04-08,50.78,50.78,50.78,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2018-04-15,50.48,50.48,50.48,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.45,50.45,50.45,0.0,0.0
