Date,ProShares Ultra Bloomberg Crude Oil_Open_average,ProShares Ultra Bloomberg Crude Oil_Open_max,ProShares Ultra Bloomberg Crude Oil_Open_min,ProShares Ultra Bloomberg Crude Oil_Open_volatility,ProShares Ultra Bloomberg Crude Oil_Open_change,ProShares Ultra Bloomberg Crude Oil_High_average,ProShares Ultra Bloomberg Crude Oil_High_max,ProShares Ultra Bloomberg Crude Oil_High_min,ProShares Ultra Bloomberg Crude Oil_High_volatility,ProShares Ultra Bloomberg Crude Oil_High_change,ProShares Ultra Bloomberg Crude Oil_Low_average,ProShares Ultra Bloomberg Crude Oil_Low_max,ProShares Ultra Bloomberg Crude Oil_Low_min,ProShares Ultra Bloomberg Crude Oil_Low_volatility,ProShares Ultra Bloomberg Crude Oil_Low_change,ProShares Ultra Bloomberg Crude Oil_Close_average,ProShares Ultra Bloomberg Crude Oil_Close_max,ProShares Ultra Bloomberg Crude Oil_Close_min,ProShares Ultra Bloomberg Crude Oil_Close_volatility,ProShares Ultra Bloomberg Crude Oil_Close_change
2018-01-14,647.5,647.5,647.5,0.0,0.0,665.12,665.12,665.12,0.0,0.0,643.5,643.5,643.5,0.0,0.0,657.75,657.75,657.75,0.0,0.0
2018-01-21,693.25,693.25,693.25,0.0,0.0,697.0,697.0,697.0,0.0,0.0,682.0,682.0,682.0,0.0,0.0,691.5,691.5,691.5,0.0,0.0
2018-01-28,683.25,683.25,683.25,0.0,0.0,687.88,687.88,687.88,0.0,0.0,652.0,652.0,652.0,0.0,0.0,656.0,656.0,656.0,0.0,0.0
2018-02-04,576.75,576.75,576.75,0.0,0.0,587.0,587.0,587.0,0.0,0.0,565.0,565.0,565.0,0.0,0.0,567.0,567.0,567.0,0.0,0.0
2018-02-11,602.5,602.5,602.5,0.0,0.0,620.0,620.0,620.0,0.0,0.0,598.5,598.5,598.5,0.0,0.0,614.0,614.0,614.0,0.0,0.0
2018-02-18,653.5,653.5,653.5,0.0,0.0,672.5,672.5,672.5,0.0,0.0,648.5,648.5,648.5,0.0,0.0,667.5,667.5,667.5,0.0,0.0
2018-02-25,611.5,611.5,611.5,0.0,0.0,641.25,641.25,641.25,0.0,0.0,609.75,609.75,609.75,0.0,0.0,637.25,637.25,637.25,0.0,0.0
2018-03-04,619.75,619.75,619.75,0.0,0.0,622.46,622.46,622.46,0.0,0.0,600.5,600.5,600.5,0.0,0.0,614.25,614.25,614.25,0.0,0.0
2018-03-11,634.75,634.75,634.75,0.0,0.0,635.25,635.25,635.25,0.0,0.0,616.5,616.5,616.5,0.0,0.0,631.75,631.75,631.75,0.0,0.0
2018-03-18,701.5,701.5,701.5,0.0,0.0,706.5,706.5,706.5,0.0,0.0,689.75,689.75,689.75,0.0,0.0,699.5,699.5,699.5,0.0,0.0
