Date,GSAT_Open_average,GSAT_Open_max,GSAT_Open_volatility,GSAT_Open_change,GSAT_High_average,GSAT_High_max,GSAT_High_volatility,GSAT_High_change,GSAT_Low_average,GSAT_Low_max,GSAT_Low_volatility,GSAT_Low_change,GSAT_Close_average,GSAT_Close_max,GSAT_Close_volatility,GSAT_Close_change,GSAT_Volume_average,GSAT_Volume_max,GSAT_Volume_volatility,GSAT_Volume_change
2016-01-03,1.3233333333333333,1.44,0.24,-0.21999999999999997,1.345,1.45,0.21999999999999997,-0.19999999999999996,1.2466666666666666,1.35,0.2100000000000002,-0.19000000000000017,1.2716666666666667,1.36,0.20000000000000018,-0.20000000000000018,658783,801036,367029,-3965
2016-01-10,1.1775,1.23,0.1399999999999999,-0.07999999999999985,1.205,1.27,0.16999999999999993,-0.11999999999999988,1.12,1.2,0.18999999999999995,-0.1399999999999999,1.1475,1.21,0.15999999999999992,-0.15999999999999992,721072,937358,303644,-35879
2016-01-17,1.116,1.21,0.1499999999999999,0.1399999999999999,1.164,1.25,0.15999999999999992,0.15999999999999992,1.07914,1.16,0.1842999999999999,0.11999999999999988,1.144,1.21,0.1399999999999999,0.1299999999999999,402594,642809,360094,-12258
2016-01-24,1.234,1.29,0.09000000000000008,0.07000000000000006,1.256,1.29,0.07000000000000006,0.07000000000000006,1.19,1.21,0.040000000000000036,0.040000000000000036,1.22,1.28,0.09000000000000008,0.010000000000000009,293848,583161,446123,-56065
2016-01-31,1.182,1.21,0.08000000000000007,-0.06000000000000005,1.194,1.23,0.09000000000000008,-0.06000000000000005,1.136,1.19,0.1299999999999999,-0.08999999999999986,1.17,1.21,0.07000000000000006,-0.030000000000000027,369759,657211,418086,-89000
2016-02-07,1.0925,1.11,0.06000000000000005,-0.010000000000000009,1.10525,1.13,0.04999999999999982,-0.029999999999999805,1.0525,1.07,0.030000000000000027,-0.020000000000000018,1.0775000000000001,1.11,0.050000000000000044,-0.050000000000000044,333280,418098,164660,-164660
2016-02-14,1.056,1.09,0.06000000000000005,-0.06000000000000005,1.086,1.11,0.050000000000000044,-0.020000000000000018,1.02592,1.05,0.0504,-0.020000000000000018,1.042,1.07,0.07000000000000006,0.010000000000000009,607126,1015067,769756,447094
2016-02-21,1.186,1.29,0.20999999999999996,0.20999999999999996,1.372,1.59,0.3400000000000001,0.3400000000000001,1.18,1.29,0.20999999999999996,0.20999999999999996,1.332,1.56,0.3900000000000001,0.3900000000000001,854498,1976501,1606770,1361754
2016-02-28,1.496,1.6,0.20000000000000018,-0.1100000000000001,1.53,1.6,0.17000000000000015,-0.1100000000000001,1.412,1.47,0.11999999999999988,-0.11999999999999988,1.46,1.6,0.2200000000000002,-0.1200000000000001,785843,1154595,667332,-427276
2016-03-06,1.358,1.38,0.06999999999999984,-0.009999999999999787,1.394,1.41,0.030000000000000027,-0.010000000000000009,1.304,1.36,0.1100000000000001,-0.010000000000000009,1.354,1.4,0.08999999999999986,0.039999999999999813,539447,771853,383569,-271573
