Date,Saba Interest Rate Hedged CEFEtf_Open_average,Saba Interest Rate Hedged CEFEtf_Open_max,Saba Interest Rate Hedged CEFEtf_Open_min,Saba Interest Rate Hedged CEFEtf_Open_volatility,Saba Interest Rate Hedged CEFEtf_Open_change,Saba Interest Rate Hedged CEFEtf_High_average,Saba Interest Rate Hedged CEFEtf_High_max,Saba Interest Rate Hedged CEFEtf_High_min,Saba Interest Rate Hedged CEFEtf_High_volatility,Saba Interest Rate Hedged CEFEtf_High_change,Saba Interest Rate Hedged CEFEtf_Low_average,Saba Interest Rate Hedged CEFEtf_Low_max,Saba Interest Rate Hedged CEFEtf_Low_min,Saba Interest Rate Hedged CEFEtf_Low_volatility,Saba Interest Rate Hedged CEFEtf_Low_change,Saba Interest Rate Hedged CEFEtf_Close_average,Saba Interest Rate Hedged CEFEtf_Close_max,Saba Interest Rate Hedged CEFEtf_Close_min,Saba Interest Rate Hedged CEFEtf_Close_volatility,Saba Interest Rate Hedged CEFEtf_Close_change
2018-01-14,21.68,21.68,21.68,0.0,0.0,21.71,21.71,21.71,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.7,21.7,21.7,0.0,0.0
2018-01-21,21.77,21.77,21.77,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.77,21.77,21.77,0.0,0.0,21.79,21.79,21.79,0.0,0.0
2018-01-28,21.54,21.54,21.54,0.0,0.0,21.57,21.57,21.57,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.55,21.55,21.55,0.0,0.0
2018-02-04,20.79,20.79,20.79,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.48,20.48,20.48,0.0,0.0,20.79,20.79,20.79,0.0,0.0
2018-02-11,21.05,21.05,21.05,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.18,21.18,21.18,0.0,0.0
2018-02-18,21.08,21.08,21.08,0.0,0.0,21.12,21.12,21.12,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.12,21.12,21.12,0.0,0.0
2018-02-25,20.67,20.67,20.67,0.0,0.0,20.79,20.79,20.79,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.79,20.79,20.79,0.0,0.0
2018-03-04,21.05,21.05,21.05,0.0,0.0,21.17,21.17,21.17,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.14,21.14,21.14,0.0,0.0
2018-03-11,20.99,20.99,20.99,0.0,0.0,20.99,20.99,20.99,0.0,0.0,20.95,20.95,20.95,0.0,0.0,20.95,20.95,20.95,0.0,0.0
2018-03-18,20.54,20.54,20.54,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.4,20.4,20.4,0.0,0.0,20.4,20.4,20.4,0.0,0.0
