Date,Vanguard Long-Term Government Bond_Open_average,Vanguard Long-Term Government Bond_Open_max,Vanguard Long-Term Government Bond_Open_min,Vanguard Long-Term Government Bond_Open_volatility,Vanguard Long-Term Government Bond_Open_change,Vanguard Long-Term Government Bond_High_average,Vanguard Long-Term Government Bond_High_max,Vanguard Long-Term Government Bond_High_min,Vanguard Long-Term Government Bond_High_volatility,Vanguard Long-Term Government Bond_High_change,Vanguard Long-Term Government Bond_Low_average,Vanguard Long-Term Government Bond_Low_max,Vanguard Long-Term Government Bond_Low_min,Vanguard Long-Term Government Bond_Low_volatility,Vanguard Long-Term Government Bond_Low_change,Vanguard Long-Term Government Bond_Close_average,Vanguard Long-Term Government Bond_Close_max,Vanguard Long-Term Government Bond_Close_min,Vanguard Long-Term Government Bond_Close_volatility,Vanguard Long-Term Government Bond_Close_change
2018-01-14,75.94,75.94,75.94,0.0,0.0,76.09,76.09,76.09,0.0,0.0,75.62,75.62,75.62,0.0,0.0,75.72,75.72,75.72,0.0,0.0
2018-01-21,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.29,75.29,75.29,0.0,0.0,75.6,75.6,75.6,0.0,0.0
2018-01-28,73.4,73.4,73.4,0.0,0.0,74.79,74.79,74.79,0.0,0.0,72.57,72.57,72.57,0.0,0.0,74.33,74.33,74.33,0.0,0.0
2018-02-04,72.99,72.99,72.99,0.0,0.0,73.3,73.3,73.3,0.0,0.0,72.75,72.75,72.75,0.0,0.0,72.95,72.95,72.95,0.0,0.0
2018-02-11,73.21,73.21,73.21,0.0,0.0,73.33,73.33,73.33,0.0,0.0,72.85,72.85,72.85,0.0,0.0,73.06,73.06,73.06,0.0,0.0
2018-02-18,73.02,73.02,73.02,0.0,0.0,73.21,73.21,73.21,0.0,0.0,72.73,72.73,72.73,0.0,0.0,72.76,72.76,72.76,0.0,0.0
2018-02-25,73.06,73.06,73.06,0.0,0.0,73.13,73.13,73.13,0.0,0.0,72.41,72.41,72.41,0.0,0.0,72.66,72.66,72.66,0.0,0.0
2018-03-04,72.78,72.78,72.78,0.0,0.0,73.05,73.05,73.05,0.0,0.0,72.78,72.78,72.78,0.0,0.0,73.04,73.04,73.04,0.0,0.0
2018-03-11,73.38,73.38,73.38,0.0,0.0,73.79,73.79,73.79,0.0,0.0,73.36,73.36,73.36,0.0,0.0,73.53,73.53,73.53,0.0,0.0
2018-03-18,73.81,73.81,73.81,0.0,0.0,74.08,74.08,74.08,0.0,0.0,73.66,73.66,73.66,0.0,0.0,73.68,73.68,73.68,0.0,0.0
2018-03-25,74.68,74.68,74.68,0.0,0.0,75.26,75.26,75.26,0.0,0.0,74.48,74.48,74.48,0.0,0.0,74.94,74.94,74.94,0.0,0.0
2018-04-01,74.23,74.23,74.23,0.0,0.0,74.62,74.62,74.62,0.0,0.0,74.07,74.07,74.07,0.0,0.0,74.6,74.6,74.6,0.0,0.0
