Date,John Hancock Multifactor UtilitiesEtf_Open_average,John Hancock Multifactor UtilitiesEtf_Open_max,John Hancock Multifactor UtilitiesEtf_Open_min,John Hancock Multifactor UtilitiesEtf_Open_volatility,John Hancock Multifactor UtilitiesEtf_Open_change,John Hancock Multifactor UtilitiesEtf_High_average,John Hancock Multifactor UtilitiesEtf_High_max,John Hancock Multifactor UtilitiesEtf_High_min,John Hancock Multifactor UtilitiesEtf_High_volatility,John Hancock Multifactor UtilitiesEtf_High_change,John Hancock Multifactor UtilitiesEtf_Low_average,John Hancock Multifactor UtilitiesEtf_Low_max,John Hancock Multifactor UtilitiesEtf_Low_min,John Hancock Multifactor UtilitiesEtf_Low_volatility,John Hancock Multifactor UtilitiesEtf_Low_change,John Hancock Multifactor UtilitiesEtf_Close_average,John Hancock Multifactor UtilitiesEtf_Close_max,John Hancock Multifactor UtilitiesEtf_Close_min,John Hancock Multifactor UtilitiesEtf_Close_volatility,John Hancock Multifactor UtilitiesEtf_Close_change
2018-01-14,26.29,26.29,26.29,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0
2018-01-21,26.8,26.8,26.8,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2018-01-28,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2018-02-04,25.15,25.15,25.15,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-02-11,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2018-02-18,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2018-02-25,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2018-03-04,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2018-03-11,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2018-03-18,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0
