Date,Cambria Sovereign Bond_Open_average,Cambria Sovereign Bond_Open_max,Cambria Sovereign Bond_Open_min,Cambria Sovereign Bond_Open_volatility,Cambria Sovereign Bond_Open_change,Cambria Sovereign Bond_High_average,Cambria Sovereign Bond_High_max,Cambria Sovereign Bond_High_min,Cambria Sovereign Bond_High_volatility,Cambria Sovereign Bond_High_change,Cambria Sovereign Bond_Low_average,Cambria Sovereign Bond_Low_max,Cambria Sovereign Bond_Low_min,Cambria Sovereign Bond_Low_volatility,Cambria Sovereign Bond_Low_change,Cambria Sovereign Bond_Close_average,Cambria Sovereign Bond_Close_max,Cambria Sovereign Bond_Close_min,Cambria Sovereign Bond_Close_volatility,Cambria Sovereign Bond_Close_change
2018-01-14,28.69,28.69,28.69,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-01-21,28.88,28.88,28.88,0.0,0.0,29.12,29.12,29.12,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2018-01-28,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.65,28.65,28.65,0.0,0.0
2018-02-04,28.01,28.01,28.01,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.25,28.25,28.25,0.0,0.0
2018-02-11,28.89,28.89,28.89,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-02-18,29.06,29.06,29.06,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.79,28.79,28.79,0.0,0.0
2018-02-25,28.51,28.51,28.51,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2018-03-04,28.49,28.49,28.49,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2018-03-11,28.44,28.44,28.44,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-03-18,28.58,28.58,28.58,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2018-03-25,28.58,28.58,28.58,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-04-01,28.6,28.6,28.6,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-04-08,28.3,28.3,28.3,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-04-15,28.0,28.0,28.0,0.0,0.0,28.08,28.08,28.08,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2018-04-22,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2018-04-29,27.11,27.11,27.11,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2018-05-06,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.98,26.98,26.98,0.0,0.0
2018-05-13,26.63,26.63,26.63,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2018-05-20,26.51,26.51,26.51,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.51,26.51,26.51,0.0,0.0
2018-05-27,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2018-06-03,25.9,25.9,25.9,0.0,0.0,26.28,26.28,26.28,0.0,0.0,25.9,25.9,25.9,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2018-06-10,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2018-06-17,25.79,25.79,25.79,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2018-06-24,25.3,25.3,25.3,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2018-07-01,25.39,25.39,25.39,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2018-07-08,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2018-07-15,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2018-07-22,25.88,25.88,25.88,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2018-07-29,25.51,25.51,25.51,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2018-08-05,24.72,24.72,24.72,0.0,0.0,25.18,25.18,25.18,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.53,24.53,24.53,0.0,0.0
