Date,iShares Edge MSCI USA Value Factor_Open_average,iShares Edge MSCI USA Value Factor_Open_max,iShares Edge MSCI USA Value Factor_Open_min,iShares Edge MSCI USA Value Factor_Open_volatility,iShares Edge MSCI USA Value Factor_Open_change,iShares Edge MSCI USA Value Factor_High_average,iShares Edge MSCI USA Value Factor_High_max,iShares Edge MSCI USA Value Factor_High_min,iShares Edge MSCI USA Value Factor_High_volatility,iShares Edge MSCI USA Value Factor_High_change,iShares Edge MSCI USA Value Factor_Low_average,iShares Edge MSCI USA Value Factor_Low_max,iShares Edge MSCI USA Value Factor_Low_min,iShares Edge MSCI USA Value Factor_Low_volatility,iShares Edge MSCI USA Value Factor_Low_change,iShares Edge MSCI USA Value Factor_Close_average,iShares Edge MSCI USA Value Factor_Close_max,iShares Edge MSCI USA Value Factor_Close_min,iShares Edge MSCI USA Value Factor_Close_volatility,iShares Edge MSCI USA Value Factor_Close_change
2018-01-14,88.23,88.23,88.23,0.0,0.0,88.83,88.83,88.83,0.0,0.0,88.08,88.08,88.08,0.0,0.0,88.83,88.83,88.83,0.0,0.0
2018-01-21,89.21,89.21,89.21,0.0,0.0,89.4,89.4,89.4,0.0,0.0,88.87,88.87,88.87,0.0,0.0,88.93,88.93,88.93,0.0,0.0
2018-01-28,84.15,84.15,84.15,0.0,0.0,85.19,85.19,85.19,0.0,0.0,81.38,81.38,81.38,0.0,0.0,81.57,81.57,81.57,0.0,0.0
2018-02-04,81.92,81.92,81.92,0.0,0.0,82.98,82.98,82.98,0.0,0.0,81.42,81.42,81.42,0.0,0.0,82.46,82.46,82.46,0.0,0.0
2018-02-11,84.69,84.69,84.69,0.0,0.0,85.62,85.62,85.62,0.0,0.0,84.67,84.67,84.67,0.0,0.0,84.84,84.84,84.84,0.0,0.0
2018-02-18,85.6,85.6,85.6,0.0,0.0,86.3,86.3,86.3,0.0,0.0,85.31,85.31,85.31,0.0,0.0,86.24,86.24,86.24,0.0,0.0
2018-02-25,83.12,83.12,83.12,0.0,0.0,84.76,84.76,84.76,0.0,0.0,83.12,83.12,83.12,0.0,0.0,84.54,84.54,84.54,0.0,0.0
2018-03-04,86.41,86.41,86.41,0.0,0.0,86.5,86.5,86.5,0.0,0.0,86.01,86.01,86.01,0.0,0.0,86.22,86.22,86.22,0.0,0.0
2018-03-11,85.28,85.28,85.28,0.0,0.0,85.39,85.39,85.39,0.0,0.0,83.85,83.85,83.85,0.0,0.0,84.46,84.46,84.46,0.0,0.0
2018-03-18,81.35,81.35,81.35,0.0,0.0,82.4,82.4,82.4,0.0,0.0,80.52,80.52,80.52,0.0,0.0,82.34,82.34,82.34,0.0,0.0
2018-03-25,81.65,81.65,81.65,0.0,0.0,81.93,81.93,81.93,0.0,0.0,79.17,79.17,79.17,0.0,0.0,80.17,80.17,80.17,0.0,0.0
2018-04-01,81.67,81.67,81.67,0.0,0.0,82.61,82.61,82.61,0.0,0.0,81.26,81.26,81.26,0.0,0.0,81.33,81.33,81.33,0.0,0.0
2018-04-08,83.59,83.59,83.59,0.0,0.0,84.07,84.07,84.07,0.0,0.0,83.23,83.23,83.23,0.0,0.0,83.73,83.73,83.73,0.0,0.0
2018-04-15,82.96,82.96,82.96,0.0,0.0,83.28,83.28,83.28,0.0,0.0,82.57,82.57,82.57,0.0,0.0,82.94,82.94,82.94,0.0,0.0
2018-04-22,83.23,83.23,83.23,0.0,0.0,83.65,83.65,83.65,0.0,0.0,82.34,82.34,82.34,0.0,0.0,82.34,82.34,82.34,0.0,0.0
2018-04-29,82.77,82.77,82.77,0.0,0.0,82.87,82.87,82.87,0.0,0.0,82.34,82.34,82.34,0.0,0.0,82.52,82.52,82.52,0.0,0.0
2018-05-06,84.69,84.69,84.69,0.0,0.0,84.91,84.91,84.91,0.0,0.0,84.47,84.47,84.47,0.0,0.0,84.58,84.58,84.58,0.0,0.0
2018-05-13,85.13,85.13,85.13,0.0,0.0,85.43,85.43,85.43,0.0,0.0,84.93,84.93,84.93,0.0,0.0,85.17,85.17,85.17,0.0,0.0
2018-05-20,84.61,84.61,84.61,0.0,0.0,84.82,84.82,84.82,0.0,0.0,84.37,84.37,84.37,0.0,0.0,84.59,84.59,84.59,0.0,0.0
2018-05-27,85.19,85.19,85.19,0.0,0.0,85.56,85.56,85.56,0.0,0.0,85.19,85.19,85.19,0.0,0.0,85.35,85.35,85.35,0.0,0.0
2018-06-03,86.6,86.6,86.6,0.0,0.0,86.98,86.98,86.98,0.0,0.0,86.57,86.57,86.57,0.0,0.0,86.75,86.75,86.75,0.0,0.0
2018-06-10,85.72,85.72,85.72,0.0,0.0,85.99,85.99,85.99,0.0,0.0,85.42,85.42,85.42,0.0,0.0,85.92,85.92,85.92,0.0,0.0
2018-06-17,84.47,84.47,84.47,0.0,0.0,84.53,84.53,84.53,0.0,0.0,83.17,83.17,83.17,0.0,0.0,83.74,83.74,83.74,0.0,0.0
2018-06-24,82.17,82.17,82.17,0.0,0.0,82.79,82.79,82.79,0.0,0.0,81.97,81.97,81.97,0.0,0.0,82.79,82.79,82.79,0.0,0.0
2018-07-01,83.99,83.99,83.99,0.0,0.0,84.79,84.79,84.79,0.0,0.0,83.99,83.99,83.99,0.0,0.0,84.79,84.79,84.79,0.0,0.0
2018-07-08,84.46,84.46,84.46,0.0,0.0,84.57,84.57,84.57,0.0,0.0,84.21,84.21,84.21,0.0,0.0,84.42,84.42,84.42,0.0,0.0
2018-07-15,84.33,84.33,84.33,0.0,0.0,84.69,84.69,84.69,0.0,0.0,84.11,84.11,84.11,0.0,0.0,84.6,84.6,84.6,0.0,0.0
2018-07-22,84.95,84.95,84.95,0.0,0.0,85.28,85.28,85.28,0.0,0.0,84.95,84.95,84.95,0.0,0.0,85.09,85.09,85.09,0.0,0.0
2018-07-29,86.4,86.4,86.4,0.0,0.0,86.83,86.83,86.83,0.0,0.0,86.34,86.34,86.34,0.0,0.0,86.74,86.74,86.74,0.0,0.0
2018-08-05,86.11,86.11,86.11,0.0,0.0,86.31,86.31,86.31,0.0,0.0,85.62,85.62,85.62,0.0,0.0,85.69,85.69,85.69,0.0,0.0
2018-08-12,87.43,87.43,87.43,0.0,0.0,87.71,87.71,87.71,0.0,0.0,87.43,87.43,87.43,0.0,0.0,87.63,87.63,87.63,0.0,0.0
2018-08-19,88.04,88.04,88.04,0.0,0.0,88.67,88.67,88.67,0.0,0.0,88.04,88.04,88.04,0.0,0.0,88.55,88.55,88.55,0.0,0.0
2018-08-26,88.55,88.55,88.55,0.0,0.0,88.65,88.65,88.65,0.0,0.0,88.22,88.22,88.22,0.0,0.0,88.51,88.51,88.51,0.0,0.0
2018-09-02,87.54,87.54,87.54,0.0,0.0,87.68,87.68,87.68,0.0,0.0,87.25,87.25,87.25,0.0,0.0,87.29,87.29,87.29,0.0,0.0
2018-09-09,88.22,88.22,88.22,0.0,0.0,88.26,88.26,88.26,0.0,0.0,87.75,87.75,87.75,0.0,0.0,87.83,87.83,87.83,0.0,0.0
2018-09-16,89.04,89.04,89.04,0.0,0.0,89.21,89.21,89.21,0.0,0.0,88.66,88.66,88.66,0.0,0.0,88.79,88.79,88.79,0.0,0.0
2018-09-23,88.4,88.4,88.4,0.0,0.0,88.66,88.66,88.66,0.0,0.0,87.94,87.94,87.94,0.0,0.0,88.14,88.14,88.14,0.0,0.0
2018-09-30,87.35,87.35,87.35,0.0,0.0,87.86,87.86,87.86,0.0,0.0,87.0,87.0,87.0,0.0,0.0,87.71,87.71,87.71,0.0,0.0
2018-10-07,83.84,83.84,83.84,0.0,0.0,84.16,84.16,84.16,0.0,0.0,83.44,83.44,83.44,0.0,0.0,83.44,83.44,83.44,0.0,0.0
2018-10-14,83.8,83.8,83.8,0.0,0.0,83.98,83.98,83.98,0.0,0.0,83.11,83.11,83.11,0.0,0.0,83.24,83.24,83.24,0.0,0.0
2018-10-21,81.55,81.55,81.55,0.0,0.0,82.26,82.26,82.26,0.0,0.0,79.43,79.43,79.43,0.0,0.0,80.61,80.61,80.61,0.0,0.0
2018-10-28,82.97,82.97,82.97,0.0,0.0,83.69,83.69,83.69,0.0,0.0,82.73,82.73,82.73,0.0,0.0,83.5,83.5,83.5,0.0,0.0
2018-11-04,83.77,83.77,83.77,0.0,0.0,83.77,83.77,83.77,0.0,0.0,82.32,82.32,82.32,0.0,0.0,82.47,82.47,82.47,0.0,0.0
2018-11-11,81.83,81.83,81.83,0.0,0.0,81.95,81.95,81.95,0.0,0.0,80.8,80.8,80.8,0.0,0.0,81.1,81.1,81.1,0.0,0.0
