Date,Cambria Shareholder Yield_Open_average,Cambria Shareholder Yield_Open_max,Cambria Shareholder Yield_Open_min,Cambria Shareholder Yield_Open_volatility,Cambria Shareholder Yield_Open_change,Cambria Shareholder Yield_High_average,Cambria Shareholder Yield_High_max,Cambria Shareholder Yield_High_min,Cambria Shareholder Yield_High_volatility,Cambria Shareholder Yield_High_change,Cambria Shareholder Yield_Low_average,Cambria Shareholder Yield_Low_max,Cambria Shareholder Yield_Low_min,Cambria Shareholder Yield_Low_volatility,Cambria Shareholder Yield_Low_change,Cambria Shareholder Yield_Close_average,Cambria Shareholder Yield_Close_max,Cambria Shareholder Yield_Close_min,Cambria Shareholder Yield_Close_volatility,Cambria Shareholder Yield_Close_change
2018-01-14,40.47,40.47,40.47,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.52,40.52,40.52,0.0,0.0
2018-01-21,40.89,40.89,40.89,0.0,0.0,41.0,41.0,41.0,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2018-01-28,38.86,38.86,38.86,0.0,0.0,39.06,39.06,39.06,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.65,37.65,37.65,0.0,0.0
2018-02-04,37.19,37.19,37.19,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2018-02-11,38.76,38.76,38.76,0.0,0.0,39.08,39.08,39.08,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.87,38.87,38.87,0.0,0.0
2018-02-18,39.13,39.13,39.13,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.88,38.88,38.88,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2018-02-25,37.89,37.89,37.89,0.0,0.0,38.5,38.5,38.5,0.0,0.0,37.89,37.89,37.89,0.0,0.0,38.47,38.47,38.47,0.0,0.0
2018-03-04,39.2,39.2,39.2,0.0,0.0,39.25,39.25,39.25,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2018-03-11,38.58,38.58,38.58,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2018-03-18,37.38,37.38,37.38,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-03-25,37.7,37.7,37.7,0.0,0.0,37.7,37.7,37.7,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.81,36.81,36.81,0.0,0.0
2018-04-01,37.56,37.56,37.56,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.51,37.51,37.51,0.0,0.0
2018-04-08,38.09,38.09,38.09,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.02,38.02,38.02,0.0,0.0,38.17,38.17,38.17,0.0,0.0
2018-04-15,38.14,38.14,38.14,0.0,0.0,38.15,38.15,38.15,0.0,0.0,37.97,37.97,37.97,0.0,0.0,38.1,38.1,38.1,0.0,0.0
2018-04-22,38.45,38.45,38.45,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.08,38.08,38.08,0.0,0.0
2018-04-29,37.74,37.74,37.74,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.8,37.8,37.8,0.0,0.0
