Date,CSIOY_Open_average,CSIOY_Open_max,CSIOY_Open_min,CSIOY_Open_volatility,CSIOY_Open_change,CSIOY_High_average,CSIOY_High_max,CSIOY_High_min,CSIOY_High_volatility,CSIOY_High_change,CSIOY_Low_average,CSIOY_Low_max,CSIOY_Low_min,CSIOY_Low_volatility,CSIOY_Low_change,CSIOY_Close_average,CSIOY_Close_max,CSIOY_Close_min,CSIOY_Close_volatility,CSIOY_Close_change,CSIOY_Volume_average,CSIOY_Volume_max,CSIOY_Volume_min,CSIOY_Volume_volatility,CSIOY_Volume_change
2018-01-14,153.358,155.54,150.75,4.789999999999992,-2.539999999999992,153.358,155.54,150.75,4.789999999999992,-2.539999999999992,152.458,155.54,150.75,4.789999999999992,-4.789999999999992,152.858,155.54,150.75,4.789999999999992,-2.789999999999992,5,21,0,21,21
2018-01-21,155.742,157.5,154.5,3.0,0.7800000000000011,155.892,157.5,154.59,2.9099999999999966,0.7800000000000011,155.374,157.25,153.7,3.5500000000000114,0.7800000000000011,155.684,157.25,154.59,2.6599999999999966,0.7800000000000011,233,706,0,706,0
2018-01-28,148.802,153.48,140.93,12.549999999999983,-12.419999999999987,148.962,154.15,140.93,13.219999999999999,-13.219999999999999,146.31,153.35,135.9,17.44999999999999,-17.44999999999999,147.126,154.15,136.56,17.590000000000003,-17.590000000000003,2334,9643,0,9643,-133
2018-02-04,137.558,139.62,134.0,5.6200000000000045,-0.9099999999999966,138.304,140.59,135.41,5.180000000000007,-3.0900000000000034,134.434,137.47,131.06,6.409999999999997,-2.569999999999993,137.15,139.06,135.05,4.009999999999991,-2.969999999999999,1188,2224,218,2006,-2006
2018-02-11,137.1775,139.7,134.0,5.699999999999989,3.8999999999999773,138.365,141.27,135.8,5.469999999999999,5.469999999999999,136.07,139.7,132.99,6.7099999999999795,6.7099999999999795,137.8025,141.27,134.43,6.840000000000003,6.840000000000003,525,1069,131,938,-938
2018-02-18,144.042,146.25,142.46,3.789999999999992,2.6699999999999875,145.708,149.3,142.5,6.800000000000011,5.719999999999999,143.306,146.25,140.53,5.719999999999999,4.159999999999997,144.554,149.28,140.53,8.75,6.97999999999999,3071,10502,221,10281,133
2018-02-25,147.674,150.59,145.44,5.150000000000006,-1.8100000000000023,148.93,150.59,147.96,2.6299999999999955,-0.8799999999999955,146.2,147.75,145.3,2.4499999999999886,-1.5999999999999943,147.572,148.99,145.47,3.5200000000000102,-0.6700000000000159,586,1168,133,1035,-906
2018-03-04,150.966,155.59,148.72,6.8700000000000045,6.590000000000003,151.366,155.59,149.0,6.590000000000003,6.590000000000003,149.46,154.0,146.04,7.960000000000008,7.960000000000008,150.05,154.0,147.5,6.5,5.25,300,497,87,410,-190
2018-03-11,156.71,158.34,155.25,3.0900000000000034,-0.9900000000000091,156.91,158.34,155.25,3.0900000000000034,-0.9900000000000091,154.978,158.17,152.08,6.089999999999975,-0.3299999999999841,155.954,158.17,152.75,5.4199999999999875,-2.8499999999999943,276,692,34,658,327
2018-03-18,152.196,154.91,148.66,6.25,-3.319999999999993,153.18,155.08,149.9,5.180000000000007,-5.180000000000007,150.814,153.0,148.34,4.659999999999997,-3.039999999999992,152.442,155.08,148.34,6.740000000000009,-6.740000000000009,161,376,43,333,-40
