Date,Direxion Daily Japan Bull 3x Shares_Open_average,Direxion Daily Japan Bull 3x Shares_Open_max,Direxion Daily Japan Bull 3x Shares_Open_min,Direxion Daily Japan Bull 3x Shares_Open_volatility,Direxion Daily Japan Bull 3x Shares_Open_change,Direxion Daily Japan Bull 3x Shares_High_average,Direxion Daily Japan Bull 3x Shares_High_max,Direxion Daily Japan Bull 3x Shares_High_min,Direxion Daily Japan Bull 3x Shares_High_volatility,Direxion Daily Japan Bull 3x Shares_High_change,Direxion Daily Japan Bull 3x Shares_Low_average,Direxion Daily Japan Bull 3x Shares_Low_max,Direxion Daily Japan Bull 3x Shares_Low_min,Direxion Daily Japan Bull 3x Shares_Low_volatility,Direxion Daily Japan Bull 3x Shares_Low_change,Direxion Daily Japan Bull 3x Shares_Close_average,Direxion Daily Japan Bull 3x Shares_Close_max,Direxion Daily Japan Bull 3x Shares_Close_min,Direxion Daily Japan Bull 3x Shares_Close_volatility,Direxion Daily Japan Bull 3x Shares_Close_change
2018-01-14,92.36,92.36,92.36,0.0,0.0,93.98,93.98,93.98,0.0,0.0,92.0,92.0,92.0,0.0,0.0,93.94,93.94,93.94,0.0,0.0
2018-01-21,94.41,94.41,94.41,0.0,0.0,94.66,94.66,94.66,0.0,0.0,93.57,93.57,93.57,0.0,0.0,94.09,94.09,94.09,0.0,0.0
2018-01-28,80.61,80.61,80.61,0.0,0.0,82.7,82.7,82.7,0.0,0.0,73.51,73.51,73.51,0.0,0.0,74.06,74.06,74.06,0.0,0.0
2018-02-04,75.37,75.37,75.37,0.0,0.0,77.0,77.0,77.0,0.0,0.0,74.06,74.06,74.06,0.0,0.0,76.56,76.56,76.56,0.0,0.0
2018-02-11,80.5,80.5,80.5,0.0,0.0,81.98,81.98,81.98,0.0,0.0,80.48,80.48,80.48,0.0,0.0,81.61,81.61,81.61,0.0,0.0
2018-02-18,83.27,83.27,83.27,0.0,0.0,84.89,84.89,84.89,0.0,0.0,82.83,82.83,82.83,0.0,0.0,84.89,84.89,84.89,0.0,0.0
2018-02-25,73.05,73.05,73.05,0.0,0.0,76.0,76.0,76.0,0.0,0.0,73.05,73.05,73.05,0.0,0.0,75.5,75.5,75.5,0.0,0.0
2018-03-04,77.68,77.68,77.68,0.0,0.0,78.25,78.25,78.25,0.0,0.0,77.17,77.17,77.17,0.0,0.0,77.37,77.37,77.37,0.0,0.0
2018-03-11,75.17,75.17,75.17,0.0,0.0,75.35,75.35,75.35,0.0,0.0,72.18,72.18,72.18,0.0,0.0,73.16,73.16,73.16,0.0,0.0
2018-03-18,70.57,70.57,70.57,0.0,0.0,71.18,71.18,71.18,0.0,0.0,68.88,68.88,68.88,0.0,0.0,71.11,71.11,71.11,0.0,0.0
2018-03-25,74.62,74.62,74.62,0.0,0.0,74.64,74.64,74.64,0.0,0.0,71.33,71.33,71.33,0.0,0.0,71.82,71.82,71.82,0.0,0.0
2018-04-01,74.98,74.98,74.98,0.0,0.0,76.0,76.0,76.0,0.0,0.0,74.48,74.48,74.48,0.0,0.0,74.49,74.49,74.49,0.0,0.0
2018-04-08,75.96,75.96,75.96,0.0,0.0,75.96,75.96,75.96,0.0,0.0,75.07,75.07,75.07,0.0,0.0,75.52,75.52,75.52,0.0,0.0
2018-04-15,75.65,75.65,75.65,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.15,75.15,75.15,0.0,0.0,75.69,75.69,75.69,0.0,0.0
2018-04-22,77.68,77.68,77.68,0.0,0.0,77.68,77.68,77.68,0.0,0.0,76.01,76.01,76.01,0.0,0.0,76.01,76.01,76.01,0.0,0.0
2018-04-29,75.96,75.96,75.96,0.0,0.0,76.52,76.52,76.52,0.0,0.0,75.96,75.96,75.96,0.0,0.0,76.18,76.18,76.18,0.0,0.0
2018-05-06,79.18,79.18,79.18,0.0,0.0,79.54,79.54,79.54,0.0,0.0,79.18,79.18,79.18,0.0,0.0,79.4,79.4,79.4,0.0,0.0
2018-05-13,76.96,76.96,76.96,0.0,0.0,77.24,77.24,77.24,0.0,0.0,76.96,76.96,76.96,0.0,0.0,77.11,77.11,77.11,0.0,0.0
2018-05-20,73.87,73.87,73.87,0.0,0.0,74.08,74.08,74.08,0.0,0.0,73.31,73.31,73.31,0.0,0.0,73.77,73.77,73.77,0.0,0.0
2018-05-27,75.55,75.55,75.55,0.0,0.0,75.55,75.55,75.55,0.0,0.0,74.92,74.92,74.92,0.0,0.0,74.98,74.98,74.98,0.0,0.0
2018-06-03,76.59,76.59,76.59,0.0,0.0,77.12,77.12,77.12,0.0,0.0,76.59,76.59,76.59,0.0,0.0,77.07,77.07,77.07,0.0,0.0
2018-06-10,71.83,71.83,71.83,0.0,0.0,72.5,72.5,72.5,0.0,0.0,71.82,71.82,71.82,0.0,0.0,72.5,72.5,72.5,0.0,0.0
2018-06-17,68.27,68.27,68.27,0.0,0.0,68.89,68.89,68.89,0.0,0.0,67.47,67.47,67.47,0.0,0.0,67.64,67.64,67.64,0.0,0.0
2018-06-24,62.37,62.37,62.37,0.0,0.0,63.25,63.25,63.25,0.0,0.0,62.11,62.11,62.11,0.0,0.0,63.16,63.16,63.16,0.0,0.0
2018-07-01,66.26,66.26,66.26,0.0,0.0,66.94,66.94,66.94,0.0,0.0,66.0,66.0,66.0,0.0,0.0,66.8,66.8,66.8,0.0,0.0
2018-07-08,65.74,65.74,65.74,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.49,65.49,65.49,0.0,0.0,65.49,65.49,65.49,0.0,0.0
2018-07-15,68.13,68.13,68.13,0.0,0.0,68.49,68.49,68.49,0.0,0.0,67.98,67.98,67.98,0.0,0.0,68.34,68.34,68.34,0.0,0.0
2018-07-22,70.94,70.94,70.94,0.0,0.0,70.98,70.98,70.98,0.0,0.0,69.82,69.82,69.82,0.0,0.0,70.03,70.03,70.03,0.0,0.0
2018-07-29,66.47,66.47,66.47,0.0,0.0,66.95,66.95,66.95,0.0,0.0,66.23,66.23,66.23,0.0,0.0,66.78,66.78,66.78,0.0,0.0
2018-08-05,63.6,63.6,63.6,0.0,0.0,63.87,63.87,63.87,0.0,0.0,63.05,63.05,63.05,0.0,0.0,63.46,63.46,63.46,0.0,0.0
2018-08-12,64.06,64.06,64.06,0.0,0.0,64.38,64.38,64.38,0.0,0.0,64.06,64.06,64.06,0.0,0.0,64.38,64.38,64.38,0.0,0.0
2018-08-19,66.71,66.71,66.71,0.0,0.0,67.6,67.6,67.6,0.0,0.0,66.35,66.35,66.35,0.0,0.0,67.6,67.6,67.6,0.0,0.0
2018-08-26,66.18,66.18,66.18,0.0,0.0,66.56,66.56,66.56,0.0,0.0,66.18,66.18,66.18,0.0,0.0,66.56,66.56,66.56,0.0,0.0
2018-09-02,62.09,62.09,62.09,0.0,0.0,62.11,62.11,62.11,0.0,0.0,61.49,61.49,61.49,0.0,0.0,61.61,61.61,61.61,0.0,0.0
2018-09-09,67.06,67.06,67.06,0.0,0.0,67.32,67.32,67.32,0.0,0.0,65.95,65.95,65.95,0.0,0.0,65.95,65.95,65.95,0.0,0.0
2018-09-16,72.06,72.06,72.06,0.0,0.0,72.06,72.06,72.06,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.62,71.62,71.62,0.0,0.0
2018-09-23,74.27,74.27,74.27,0.0,0.0,75.14,75.14,75.14,0.0,0.0,74.27,74.27,74.27,0.0,0.0,74.71,74.71,74.71,0.0,0.0
2018-09-30,68.59,68.59,68.59,0.0,0.0,70.34,70.34,70.34,0.0,0.0,68.38,68.38,68.38,0.0,0.0,69.96,69.96,69.96,0.0,0.0
2018-10-07,59.32,59.32,59.32,0.0,0.0,60.85,60.85,60.85,0.0,0.0,58.73,58.73,58.73,0.0,0.0,60.21,60.21,60.21,0.0,0.0
