Date,ProShares SP MidCap 400 Dividend_etf_Open_average,ProShares SP MidCap 400 Dividend_etf_Open_max,ProShares SP MidCap 400 Dividend_etf_Open_min,ProShares SP MidCap 400 Dividend_etf_Open_volatility,ProShares SP MidCap 400 Dividend_etf_Open_change,ProShares SP MidCap 400 Dividend_etf_High_average,ProShares SP MidCap 400 Dividend_etf_High_max,ProShares SP MidCap 400 Dividend_etf_High_min,ProShares SP MidCap 400 Dividend_etf_High_volatility,ProShares SP MidCap 400 Dividend_etf_High_change,ProShares SP MidCap 400 Dividend_etf_Low_average,ProShares SP MidCap 400 Dividend_etf_Low_max,ProShares SP MidCap 400 Dividend_etf_Low_min,ProShares SP MidCap 400 Dividend_etf_Low_volatility,ProShares SP MidCap 400 Dividend_etf_Low_change,ProShares SP MidCap 400 Dividend_etf_Close_average,ProShares SP MidCap 400 Dividend_etf_Close_max,ProShares SP MidCap 400 Dividend_etf_Close_min,ProShares SP MidCap 400 Dividend_etf_Close_volatility,ProShares SP MidCap 400 Dividend_etf_Close_change
2018-01-14,54.73,54.73,54.73,0.0,0.0,55.3,55.3,55.3,0.0,0.0,54.73,54.73,54.73,0.0,0.0,55.3,55.3,55.3,0.0,0.0
2018-01-21,55.84,55.84,55.84,0.0,0.0,56.0,56.0,56.0,0.0,0.0,55.54,55.54,55.54,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2018-01-28,54.14,54.14,54.14,0.0,0.0,54.45,54.45,54.45,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.53,53.53,53.53,0.0,0.0
2018-02-04,51.21,51.21,51.21,0.0,0.0,51.65,51.65,51.65,0.0,0.0,50.27,50.27,50.27,0.0,0.0,51.59,51.59,51.59,0.0,0.0
2018-02-11,52.92,52.92,52.92,0.0,0.0,53.56,53.56,53.56,0.0,0.0,52.92,52.92,52.92,0.0,0.0,53.46,53.46,53.46,0.0,0.0
2018-02-18,52.78,52.78,52.78,0.0,0.0,53.37,53.37,53.37,0.0,0.0,52.78,52.78,52.78,0.0,0.0,53.35,53.35,53.35,0.0,0.0
2018-02-25,51.82,51.82,51.82,0.0,0.0,52.67,52.67,52.67,0.0,0.0,51.82,51.82,51.82,0.0,0.0,52.61,52.61,52.61,0.0,0.0
2018-03-04,53.63,53.63,53.63,0.0,0.0,54.12,54.12,54.12,0.0,0.0,53.51,53.51,53.51,0.0,0.0,54.12,54.12,54.12,0.0,0.0
2018-03-11,53.81,53.81,53.81,0.0,0.0,54.12,54.12,54.12,0.0,0.0,53.75,53.75,53.75,0.0,0.0,53.97,53.97,53.97,0.0,0.0
2018-03-18,52.34,52.34,52.34,0.0,0.0,52.74,52.74,52.74,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.5,51.5,51.5,0.0,0.0
