Date,Vanguard Total Corporate Bond Shares_etf_Open_average,Vanguard Total Corporate Bond Shares_etf_Open_max,Vanguard Total Corporate Bond Shares_etf_Open_min,Vanguard Total Corporate Bond Shares_etf_Open_volatility,Vanguard Total Corporate Bond Shares_etf_Open_change,Vanguard Total Corporate Bond Shares_etf_High_average,Vanguard Total Corporate Bond Shares_etf_High_max,Vanguard Total Corporate Bond Shares_etf_High_min,Vanguard Total Corporate Bond Shares_etf_High_volatility,Vanguard Total Corporate Bond Shares_etf_High_change,Vanguard Total Corporate Bond Shares_etf_Low_average,Vanguard Total Corporate Bond Shares_etf_Low_max,Vanguard Total Corporate Bond Shares_etf_Low_min,Vanguard Total Corporate Bond Shares_etf_Low_volatility,Vanguard Total Corporate Bond Shares_etf_Low_change,Vanguard Total Corporate Bond Shares_etf_Close_average,Vanguard Total Corporate Bond Shares_etf_Close_max,Vanguard Total Corporate Bond Shares_etf_Close_min,Vanguard Total Corporate Bond Shares_etf_Close_volatility,Vanguard Total Corporate Bond Shares_etf_Close_change
2018-01-14,84.28,84.28,84.28,0.0,0.0,84.28,84.28,84.28,0.0,0.0,84.12,84.12,84.12,0.0,0.0,84.13,84.13,84.13,0.0,0.0
2018-01-21,84.64,84.64,84.64,0.0,0.0,84.64,84.64,84.64,0.0,0.0,84.36,84.36,84.36,0.0,0.0,84.47,84.47,84.47,0.0,0.0
2018-01-28,83.63,83.63,83.63,0.0,0.0,83.63,83.63,83.63,0.0,0.0,83.29,83.29,83.29,0.0,0.0,83.32,83.32,83.32,0.0,0.0
2018-02-04,82.57,82.57,82.57,0.0,0.0,82.75,82.75,82.75,0.0,0.0,82.53,82.53,82.53,0.0,0.0,82.58,82.58,82.58,0.0,0.0
2018-02-11,82.79,82.79,82.79,0.0,0.0,82.79,82.79,82.79,0.0,0.0,82.56,82.56,82.56,0.0,0.0,82.64,82.64,82.64,0.0,0.0
2018-02-18,82.5,82.5,82.5,0.0,0.0,82.56,82.56,82.56,0.0,0.0,82.4,82.4,82.4,0.0,0.0,82.53,82.53,82.53,0.0,0.0
2018-02-25,82.18,82.18,82.18,0.0,0.0,82.18,82.18,82.18,0.0,0.0,82.0,82.0,82.0,0.0,0.0,82.0,82.0,82.0,0.0,0.0
2018-03-04,82.0,82.0,82.0,0.0,0.0,82.1,82.1,82.1,0.0,0.0,81.98,81.98,81.98,0.0,0.0,82.1,82.1,82.1,0.0,0.0
2018-03-11,82.22,82.22,82.22,0.0,0.0,82.24,82.24,82.24,0.0,0.0,82.09,82.09,82.09,0.0,0.0,82.22,82.22,82.22,0.0,0.0
2018-03-18,81.82,81.82,81.82,0.0,0.0,81.86,81.86,81.86,0.0,0.0,81.78,81.78,81.78,0.0,0.0,81.82,81.82,81.82,0.0,0.0
2018-03-25,82.32,82.32,82.32,0.0,0.0,82.64,82.64,82.64,0.0,0.0,82.32,82.32,82.32,0.0,0.0,82.59,82.59,82.59,0.0,0.0
2018-04-01,82.43,82.43,82.43,0.0,0.0,82.61,82.61,82.61,0.0,0.0,82.34,82.34,82.34,0.0,0.0,82.61,82.61,82.61,0.0,0.0
2018-04-08,82.35,82.35,82.35,0.0,0.0,82.47,82.47,82.47,0.0,0.0,82.35,82.35,82.35,0.0,0.0,82.35,82.35,82.35,0.0,0.0
2018-04-15,81.76,81.76,81.76,0.0,0.0,81.76,81.76,81.76,0.0,0.0,81.63,81.63,81.63,0.0,0.0,81.63,81.63,81.63,0.0,0.0
2018-04-22,81.48,81.48,81.48,0.0,0.0,81.48,81.48,81.48,0.0,0.0,81.42,81.42,81.42,0.0,0.0,81.42,81.42,81.42,0.0,0.0
2018-04-29,81.22,81.22,81.22,0.0,0.0,81.22,81.22,81.22,0.0,0.0,80.95,80.95,80.95,0.0,0.0,81.04,81.04,81.04,0.0,0.0
2018-05-06,81.39,81.39,81.39,0.0,0.0,81.39,81.39,81.39,0.0,0.0,81.2,81.2,81.2,0.0,0.0,81.33,81.33,81.33,0.0,0.0
2018-05-13,80.74,80.74,80.74,0.0,0.0,80.74,80.74,80.74,0.0,0.0,80.74,80.74,80.74,0.0,0.0,80.74,80.74,80.74,0.0,0.0
2018-05-20,81.46,81.46,81.46,0.0,0.0,81.46,81.46,81.46,0.0,0.0,81.46,81.46,81.46,0.0,0.0,81.46,81.46,81.46,0.0,0.0
2018-05-27,81.28,81.28,81.28,0.0,0.0,81.33,81.33,81.33,0.0,0.0,81.06,81.06,81.06,0.0,0.0,81.24,81.24,81.24,0.0,0.0
2018-06-03,80.98,80.98,80.98,0.0,0.0,81.02,81.02,81.02,0.0,0.0,80.98,80.98,80.98,0.0,0.0,80.98,80.98,80.98,0.0,0.0
2018-06-10,81.32,81.32,81.32,0.0,0.0,81.35,81.35,81.35,0.0,0.0,81.15,81.15,81.15,0.0,0.0,81.15,81.15,81.15,0.0,0.0
2018-06-17,80.67,80.67,80.67,0.0,0.0,80.78,80.78,80.78,0.0,0.0,80.65,80.65,80.65,0.0,0.0,80.65,80.65,80.65,0.0,0.0
2018-06-24,81.06,81.06,81.06,0.0,0.0,81.09,81.09,81.09,0.0,0.0,80.99,80.99,80.99,0.0,0.0,80.99,80.99,80.99,0.0,0.0
2018-07-01,81.25,81.25,81.25,0.0,0.0,81.39,81.39,81.39,0.0,0.0,81.21,81.21,81.21,0.0,0.0,81.39,81.39,81.39,0.0,0.0
2018-07-08,81.63,81.63,81.63,0.0,0.0,81.71,81.71,81.71,0.0,0.0,81.62,81.62,81.62,0.0,0.0,81.65,81.65,81.65,0.0,0.0
