Date,Global X MSCI SuperDividend EAFE_Open_average,Global X MSCI SuperDividend EAFE_Open_max,Global X MSCI SuperDividend EAFE_Open_min,Global X MSCI SuperDividend EAFE_Open_volatility,Global X MSCI SuperDividend EAFE_Open_change,Global X MSCI SuperDividend EAFE_High_average,Global X MSCI SuperDividend EAFE_High_max,Global X MSCI SuperDividend EAFE_High_min,Global X MSCI SuperDividend EAFE_High_volatility,Global X MSCI SuperDividend EAFE_High_change,Global X MSCI SuperDividend EAFE_Low_average,Global X MSCI SuperDividend EAFE_Low_max,Global X MSCI SuperDividend EAFE_Low_min,Global X MSCI SuperDividend EAFE_Low_volatility,Global X MSCI SuperDividend EAFE_Low_change,Global X MSCI SuperDividend EAFE_Close_average,Global X MSCI SuperDividend EAFE_Close_max,Global X MSCI SuperDividend EAFE_Close_min,Global X MSCI SuperDividend EAFE_Close_volatility,Global X MSCI SuperDividend EAFE_Close_change
2018-01-14,18.69,18.69,18.69,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.88,18.88,18.88,0.0,0.0
2018-01-21,18.97,18.97,18.97,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2018-01-28,18.34,18.34,18.34,0.0,0.0,18.34,18.34,18.34,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.9,17.9,17.9,0.0,0.0
2018-02-04,17.57,17.57,17.57,0.0,0.0,17.81,17.81,17.81,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.81,17.81,17.81,0.0,0.0
2018-02-11,18.11,18.11,18.11,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.11,18.11,18.11,0.0,0.0,18.22,18.22,18.22,0.0,0.0
2018-02-18,18.36,18.36,18.36,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.36,18.36,18.36,0.0,0.0
2018-02-25,17.74,17.74,17.74,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.74,17.74,17.74,0.0,0.0
2018-03-04,18.07,18.07,18.07,0.0,0.0,18.07,18.07,18.07,0.0,0.0,18.07,18.07,18.07,0.0,0.0,18.07,18.07,18.07,0.0,0.0
2018-03-11,17.84,17.84,17.84,0.0,0.0,17.84,17.84,17.84,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2018-03-18,17.53,17.53,17.53,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.53,17.53,17.53,0.0,0.0,17.74,17.74,17.74,0.0,0.0
