Date,KraneShares Bosera MSCI China A Share_Open_average,KraneShares Bosera MSCI China A Share_Open_max,KraneShares Bosera MSCI China A Share_Open_min,KraneShares Bosera MSCI China A Share_Open_volatility,KraneShares Bosera MSCI China A Share_Open_change,KraneShares Bosera MSCI China A Share_High_average,KraneShares Bosera MSCI China A Share_High_max,KraneShares Bosera MSCI China A Share_High_min,KraneShares Bosera MSCI China A Share_High_volatility,KraneShares Bosera MSCI China A Share_High_change,KraneShares Bosera MSCI China A Share_Low_average,KraneShares Bosera MSCI China A Share_Low_max,KraneShares Bosera MSCI China A Share_Low_min,KraneShares Bosera MSCI China A Share_Low_volatility,KraneShares Bosera MSCI China A Share_Low_change,KraneShares Bosera MSCI China A Share_Close_average,KraneShares Bosera MSCI China A Share_Close_max,KraneShares Bosera MSCI China A Share_Close_min,KraneShares Bosera MSCI China A Share_Close_volatility,KraneShares Bosera MSCI China A Share_Close_change
2018-01-14,38.03,38.03,38.03,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2018-01-21,38.1,38.1,38.1,0.0,0.0,38.16,38.16,38.16,0.0,0.0,37.97,37.97,37.97,0.0,0.0,38.0,38.0,38.0,0.0,0.0
2018-01-28,38.16,38.16,38.16,0.0,0.0,38.35,38.35,38.35,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2018-02-04,34.15,34.15,34.15,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2018-02-11,36.2,36.2,36.2,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.09,36.09,36.09,0.0,0.0,36.19,36.19,36.19,0.0,0.0
2018-02-18,36.86,36.86,36.86,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.62,36.62,36.62,0.0,0.0,37.04,37.04,37.04,0.0,0.0
2018-02-25,35.18,35.18,35.18,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2018-03-04,36.47,36.47,36.47,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.41,36.41,36.41,0.0,0.0
2018-03-11,35.64,35.64,35.64,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.66,35.66,35.66,0.0,0.0
2018-03-18,34.55,34.55,34.55,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.73,34.73,34.73,0.0,0.0
2018-03-25,34.53,34.53,34.53,0.0,0.0,34.55,34.55,34.55,0.0,0.0,33.94,33.94,33.94,0.0,0.0,34.05,34.05,34.05,0.0,0.0
2018-04-01,34.16,34.16,34.16,0.0,0.0,34.37,34.37,34.37,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2018-04-08,33.84,33.84,33.84,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-04-15,33.36,33.36,33.36,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2018-04-22,33.48,33.48,33.48,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.37,33.37,33.37,0.0,0.0
