Date,iShares MSCI USA ESG SelectEtf_Open_average,iShares MSCI USA ESG SelectEtf_Open_max,iShares MSCI USA ESG SelectEtf_Open_min,iShares MSCI USA ESG SelectEtf_Open_volatility,iShares MSCI USA ESG SelectEtf_Open_change,iShares MSCI USA ESG SelectEtf_High_average,iShares MSCI USA ESG SelectEtf_High_max,iShares MSCI USA ESG SelectEtf_High_min,iShares MSCI USA ESG SelectEtf_High_volatility,iShares MSCI USA ESG SelectEtf_High_change,iShares MSCI USA ESG SelectEtf_Low_average,iShares MSCI USA ESG SelectEtf_Low_max,iShares MSCI USA ESG SelectEtf_Low_min,iShares MSCI USA ESG SelectEtf_Low_volatility,iShares MSCI USA ESG SelectEtf_Low_change,iShares MSCI USA ESG SelectEtf_Close_average,iShares MSCI USA ESG SelectEtf_Close_max,iShares MSCI USA ESG SelectEtf_Close_min,iShares MSCI USA ESG SelectEtf_Close_volatility,iShares MSCI USA ESG SelectEtf_Close_change
2018-01-14,116.15,116.15,116.15,0.0,0.0,116.91,116.91,116.91,0.0,0.0,116.15,116.15,116.15,0.0,0.0,116.88,116.88,116.88,0.0,0.0
2018-01-21,118.48,118.48,118.48,0.0,0.0,119.2,119.2,119.2,0.0,0.0,118.35,118.35,118.35,0.0,0.0,119.17,119.17,119.17,0.0,0.0
2018-01-28,116.15,116.15,116.15,0.0,0.0,116.28,116.28,116.28,0.0,0.0,114.45,114.45,114.45,0.0,0.0,114.53,114.53,114.53,0.0,0.0
2018-02-04,108.57,108.57,108.57,0.0,0.0,109.34,109.34,109.34,0.0,0.0,105.6,105.6,105.6,0.0,0.0,109.04,109.04,109.04,0.0,0.0
2018-02-11,112.46,112.46,112.46,0.0,0.0,114.39,114.39,114.39,0.0,0.0,112.46,112.46,112.46,0.0,0.0,113.75,113.75,113.75,0.0,0.0
2018-02-18,113.26,113.26,113.26,0.0,0.0,114.35,114.35,114.35,0.0,0.0,113.16,113.16,113.16,0.0,0.0,114.35,114.35,114.35,0.0,0.0
2018-02-25,110.97,110.97,110.97,0.0,0.0,112.26,112.26,112.26,0.0,0.0,110.54,110.54,110.54,0.0,0.0,112.25,112.25,112.25,0.0,0.0
2018-03-04,114.91,114.91,114.91,0.0,0.0,116.37,116.37,116.37,0.0,0.0,114.91,114.91,114.91,0.0,0.0,116.31,116.31,116.31,0.0,0.0
2018-03-11,115.1,115.1,115.1,0.0,0.0,115.3,115.3,115.3,0.0,0.0,114.96,114.96,114.96,0.0,0.0,115.12,115.12,115.12,0.0,0.0
2018-03-18,110.29,110.29,110.29,0.0,0.0,110.66,110.66,110.66,0.0,0.0,108.0,108.0,108.0,0.0,0.0,108.0,108.0,108.0,0.0,0.0
2018-03-25,109.56,109.56,109.56,0.0,0.0,111.25,111.25,111.25,0.0,0.0,109.14,109.14,109.14,0.0,0.0,110.86,110.86,110.86,0.0,0.0
2018-04-01,110.8,110.8,110.8,0.0,0.0,111.0,111.0,111.0,0.0,0.0,108.48,108.48,108.48,0.0,0.0,108.89,108.89,108.89,0.0,0.0
2018-04-08,112.31,112.31,112.31,0.0,0.0,112.31,112.31,112.31,0.0,0.0,110.98,110.98,110.98,0.0,0.0,111.34,111.34,111.34,0.0,0.0
2018-04-15,112.6,112.6,112.6,0.0,0.0,112.71,112.71,112.71,0.0,0.0,111.46,111.46,111.46,0.0,0.0,111.74,111.74,111.74,0.0,0.0
2018-04-22,111.82,111.82,111.82,0.0,0.0,112.16,112.16,112.16,0.0,0.0,111.37,111.37,111.37,0.0,0.0,111.84,111.84,111.84,0.0,0.0
2018-04-29,109.66,109.66,109.66,0.0,0.0,111.7,111.7,111.7,0.0,0.0,109.5,109.5,109.5,0.0,0.0,111.37,111.37,111.37,0.0,0.0
2018-05-06,113.82,113.82,113.82,0.0,0.0,113.82,113.82,113.82,0.0,0.0,113.19,113.19,113.19,0.0,0.0,113.45,113.45,113.45,0.0,0.0
2018-05-13,112.67,112.67,112.67,0.0,0.0,112.67,112.67,112.67,0.0,0.0,112.27,112.27,112.27,0.0,0.0,112.49,112.49,112.49,0.0,0.0
2018-05-20,112.65,112.65,112.65,0.0,0.0,113.0,113.0,113.0,0.0,0.0,112.49,112.49,112.49,0.0,0.0,112.88,112.88,112.88,0.0,0.0
2018-05-27,112.58,112.58,112.58,0.0,0.0,113.46,113.46,113.46,0.0,0.0,112.58,112.58,112.58,0.0,0.0,113.46,113.46,113.46,0.0,0.0
2018-06-03,114.72,114.72,114.72,0.0,0.0,115.25,115.25,115.25,0.0,0.0,114.72,114.72,114.72,0.0,0.0,115.25,115.25,115.25,0.0,0.0
2018-06-10,115.01,115.01,115.01,0.0,0.0,115.7,115.7,115.7,0.0,0.0,114.87,114.87,114.87,0.0,0.0,115.59,115.59,115.59,0.0,0.0
2018-06-17,114.32,114.32,114.32,0.0,0.0,114.37,114.37,114.37,0.0,0.0,113.98,113.98,113.98,0.0,0.0,114.04,114.04,114.04,0.0,0.0
2018-06-24,112.85,112.85,112.85,0.0,0.0,113.62,113.62,113.62,0.0,0.0,112.81,112.81,112.81,0.0,0.0,112.81,112.81,112.81,0.0,0.0
2018-07-01,113.58,113.58,113.58,0.0,0.0,114.26,114.26,114.26,0.0,0.0,113.24,113.24,113.24,0.0,0.0,114.26,114.26,114.26,0.0,0.0
2018-07-08,115.6,115.6,115.6,0.0,0.0,115.93,115.93,115.93,0.0,0.0,115.4,115.4,115.4,0.0,0.0,115.69,115.69,115.69,0.0,0.0
2018-07-15,115.55,115.55,115.55,0.0,0.0,115.79,115.79,115.79,0.0,0.0,115.35,115.35,115.35,0.0,0.0,115.47,115.47,115.47,0.0,0.0
2018-07-22,117.56,117.56,117.56,0.0,0.0,117.56,117.56,117.56,0.0,0.0,115.76,115.76,115.76,0.0,0.0,116.11,116.11,116.11,0.0,0.0
2018-07-29,116.96,116.96,116.96,0.0,0.0,117.69,117.69,117.69,0.0,0.0,116.96,116.96,116.96,0.0,0.0,117.59,117.59,117.59,0.0,0.0
2018-08-05,117.11,117.11,117.11,0.0,0.0,117.19,117.19,117.19,0.0,0.0,116.38,116.38,116.38,0.0,0.0,116.79,116.79,116.79,0.0,0.0
2018-08-12,117.06,117.06,117.06,0.0,0.0,117.72,117.72,117.72,0.0,0.0,116.65,116.65,116.65,0.0,0.0,117.51,117.51,117.51,0.0,0.0
