Date,PowerShares S&P SmallCap FinancialsEtf_Open_average,PowerShares S&P SmallCap FinancialsEtf_Open_max,PowerShares S&P SmallCap FinancialsEtf_Open_min,PowerShares S&P SmallCap FinancialsEtf_Open_volatility,PowerShares S&P SmallCap FinancialsEtf_Open_change,PowerShares S&P SmallCap FinancialsEtf_High_average,PowerShares S&P SmallCap FinancialsEtf_High_max,PowerShares S&P SmallCap FinancialsEtf_High_min,PowerShares S&P SmallCap FinancialsEtf_High_volatility,PowerShares S&P SmallCap FinancialsEtf_High_change,PowerShares S&P SmallCap FinancialsEtf_Low_average,PowerShares S&P SmallCap FinancialsEtf_Low_max,PowerShares S&P SmallCap FinancialsEtf_Low_min,PowerShares S&P SmallCap FinancialsEtf_Low_volatility,PowerShares S&P SmallCap FinancialsEtf_Low_change,PowerShares S&P SmallCap FinancialsEtf_Close_average,PowerShares S&P SmallCap FinancialsEtf_Close_max,PowerShares S&P SmallCap FinancialsEtf_Close_min,PowerShares S&P SmallCap FinancialsEtf_Close_volatility,PowerShares S&P SmallCap FinancialsEtf_Close_change
2018-01-14,55.1,55.1,55.1,0.0,0.0,55.55,55.55,55.55,0.0,0.0,55.04,55.04,55.04,0.0,0.0,55.47,55.47,55.47,0.0,0.0
2018-01-21,55.68,55.68,55.68,0.0,0.0,55.68,55.68,55.68,0.0,0.0,55.12,55.12,55.12,0.0,0.0,55.42,55.42,55.42,0.0,0.0
2018-01-28,54.92,54.92,54.92,0.0,0.0,54.96,54.96,54.96,0.0,0.0,53.99,53.99,53.99,0.0,0.0,54.33,54.33,54.33,0.0,0.0
2018-02-04,51.98,51.98,51.98,0.0,0.0,52.55,52.55,52.55,0.0,0.0,51.08,51.08,51.08,0.0,0.0,52.34,52.34,52.34,0.0,0.0
2018-02-11,53.43,53.43,53.43,0.0,0.0,54.37,54.37,54.37,0.0,0.0,53.43,53.43,53.43,0.0,0.0,54.29,54.29,54.29,0.0,0.0
2018-02-18,53.66,53.66,53.66,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.57,53.57,53.57,0.0,0.0,54.05,54.05,54.05,0.0,0.0
2018-02-25,52.18,52.18,52.18,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.04,52.04,52.04,0.0,0.0,52.86,52.86,52.86,0.0,0.0
2018-03-04,54.55,54.55,54.55,0.0,0.0,55.27,55.27,55.27,0.0,0.0,54.55,54.55,54.55,0.0,0.0,55.27,55.27,55.27,0.0,0.0
2018-03-11,54.85,54.85,54.85,0.0,0.0,55.39,55.39,55.39,0.0,0.0,54.83,54.83,54.83,0.0,0.0,55.27,55.27,55.27,0.0,0.0
2018-03-18,53.69,53.69,53.69,0.0,0.0,53.69,53.69,53.69,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2018-03-25,53.6,53.6,53.6,0.0,0.0,53.95,53.95,53.95,0.0,0.0,53.57,53.57,53.57,0.0,0.0,53.61,53.61,53.61,0.0,0.0
2018-04-01,53.68,53.68,53.68,0.0,0.0,54.07,54.07,54.07,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.99,52.99,52.99,0.0,0.0
2018-04-08,54.11,54.11,54.11,0.0,0.0,54.11,54.11,54.11,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2018-04-15,54.11,54.11,54.11,0.0,0.0,54.21,54.21,54.21,0.0,0.0,53.91,53.91,53.91,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2018-04-22,54.66,54.66,54.66,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2018-04-29,54.12,54.12,54.12,0.0,0.0,55.07,55.07,55.07,0.0,0.0,54.12,54.12,54.12,0.0,0.0,54.81,54.81,54.81,0.0,0.0
2018-05-06,56.09,56.09,56.09,0.0,0.0,56.34,56.34,56.34,0.0,0.0,55.93,55.93,55.93,0.0,0.0,56.01,56.01,56.01,0.0,0.0
2018-05-13,56.08,56.08,56.08,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.23,56.23,56.23,0.0,0.0
2018-05-20,57.5,57.5,57.5,0.0,0.0,57.5,57.5,57.5,0.0,0.0,56.94,56.94,56.94,0.0,0.0,57.13,57.13,57.13,0.0,0.0
2018-05-27,57.69,57.69,57.69,0.0,0.0,57.77,57.77,57.77,0.0,0.0,57.49,57.49,57.49,0.0,0.0,57.67,57.67,57.67,0.0,0.0
2018-06-03,58.66,58.66,58.66,0.0,0.0,59.1,59.1,59.1,0.0,0.0,58.66,58.66,58.66,0.0,0.0,58.98,58.98,58.98,0.0,0.0
2018-06-10,58.03,58.03,58.03,0.0,0.0,58.48,58.48,58.48,0.0,0.0,57.81,57.81,57.81,0.0,0.0,58.48,58.48,58.48,0.0,0.0
2018-06-17,58.93,58.93,58.93,0.0,0.0,58.93,58.93,58.93,0.0,0.0,58.42,58.42,58.42,0.0,0.0,58.7,58.7,58.7,0.0,0.0
2018-06-24,57.6,57.6,57.6,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.14,57.14,57.14,0.0,0.0,57.22,57.22,57.22,0.0,0.0
2018-07-01,58.4,58.4,58.4,0.0,0.0,58.55,58.55,58.55,0.0,0.0,58.32,58.32,58.32,0.0,0.0,58.55,58.55,58.55,0.0,0.0
2018-07-08,57.85,57.85,57.85,0.0,0.0,58.18,58.18,58.18,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.7,57.7,57.7,0.0,0.0
