Date,SPDR S&P Oil & Gas Equipment & Services_Open_average,SPDR S&P Oil & Gas Equipment & Services_Open_max,SPDR S&P Oil & Gas Equipment & Services_Open_min,SPDR S&P Oil & Gas Equipment & Services_Open_volatility,SPDR S&P Oil & Gas Equipment & Services_Open_change,SPDR S&P Oil & Gas Equipment & Services_High_average,SPDR S&P Oil & Gas Equipment & Services_High_max,SPDR S&P Oil & Gas Equipment & Services_High_min,SPDR S&P Oil & Gas Equipment & Services_High_volatility,SPDR S&P Oil & Gas Equipment & Services_High_change,SPDR S&P Oil & Gas Equipment & Services_Low_average,SPDR S&P Oil & Gas Equipment & Services_Low_max,SPDR S&P Oil & Gas Equipment & Services_Low_min,SPDR S&P Oil & Gas Equipment & Services_Low_volatility,SPDR S&P Oil & Gas Equipment & Services_Low_change,SPDR S&P Oil & Gas Equipment & Services_Close_average,SPDR S&P Oil & Gas Equipment & Services_Close_max,SPDR S&P Oil & Gas Equipment & Services_Close_min,SPDR S&P Oil & Gas Equipment & Services_Close_volatility,SPDR S&P Oil & Gas Equipment & Services_Close_change
2018-01-14,18.58,18.58,18.58,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2018-01-21,18.29,18.29,18.29,0.0,0.0,18.3,18.3,18.3,0.0,0.0,17.88,17.88,17.88,0.0,0.0,17.93,17.93,17.93,0.0,0.0
2018-01-28,16.73,16.73,16.73,0.0,0.0,17.13,17.13,17.13,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.29,16.29,16.29,0.0,0.0
2018-02-04,15.09,15.09,15.09,0.0,0.0,15.31,15.31,15.31,0.0,0.0,14.88,14.88,14.88,0.0,0.0,15.17,15.17,15.17,0.0,0.0
2018-02-11,15.17,15.17,15.17,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.36,15.36,15.36,0.0,0.0
2018-02-18,15.78,15.78,15.78,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.67,15.67,15.67,0.0,0.0
2018-02-25,14.83,14.83,14.83,0.0,0.0,15.37,15.37,15.37,0.0,0.0,14.81,14.81,14.81,0.0,0.0,15.27,15.27,15.27,0.0,0.0
2018-03-04,15.53,15.53,15.53,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.49,15.49,15.49,0.0,0.0,15.67,15.67,15.67,0.0,0.0
2018-03-11,152.3,152.3,152.3,0.0,0.0,152.6,152.6,152.6,0.0,0.0,146.5,146.5,146.5,0.0,0.0,148.7,148.7,148.7,0.0,0.0
2018-03-18,151.7,151.7,151.7,0.0,0.0,152.1,152.1,152.1,0.0,0.0,145.75,145.75,145.75,0.0,0.0,150.2,150.2,150.2,0.0,0.0
