Date,iShares Europe Developed Real Estate_Open_average,iShares Europe Developed Real Estate_Open_max,iShares Europe Developed Real Estate_Open_min,iShares Europe Developed Real Estate_Open_volatility,iShares Europe Developed Real Estate_Open_change,iShares Europe Developed Real Estate_High_average,iShares Europe Developed Real Estate_High_max,iShares Europe Developed Real Estate_High_min,iShares Europe Developed Real Estate_High_volatility,iShares Europe Developed Real Estate_High_change,iShares Europe Developed Real Estate_Low_average,iShares Europe Developed Real Estate_Low_max,iShares Europe Developed Real Estate_Low_min,iShares Europe Developed Real Estate_Low_volatility,iShares Europe Developed Real Estate_Low_change,iShares Europe Developed Real Estate_Close_average,iShares Europe Developed Real Estate_Close_max,iShares Europe Developed Real Estate_Close_min,iShares Europe Developed Real Estate_Close_volatility,iShares Europe Developed Real Estate_Close_change
2018-01-14,41.85,41.85,41.85,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.85,41.85,41.85,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2018-01-21,42.12,42.12,42.12,0.0,0.0,42.24,42.24,42.24,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2018-01-28,40.45,40.45,40.45,0.0,0.0,40.57,40.57,40.57,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.33,39.33,39.33,0.0,0.0
2018-02-04,39.2,39.2,39.2,0.0,0.0,39.33,39.33,39.33,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2018-02-11,40.2,40.2,40.2,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2018-02-18,40.41,40.41,40.41,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.41,40.41,40.41,0.0,0.0
2018-02-25,39.66,39.66,39.66,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.7,39.7,39.7,0.0,0.0
2018-03-04,40.21,40.21,40.21,0.0,0.0,40.38,40.38,40.38,0.0,0.0,40.21,40.21,40.21,0.0,0.0,40.33,40.33,40.33,0.0,0.0
2018-03-11,40.61,40.61,40.61,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.61,40.61,40.61,0.0,0.0,40.73,40.73,40.73,0.0,0.0
2018-03-18,40.25,40.25,40.25,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.62,40.62,40.62,0.0,0.0
2018-03-25,40.52,40.52,40.52,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.2,40.2,40.2,0.0,0.0
2018-04-01,41.21,41.21,41.21,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.21,41.21,41.21,0.0,0.0,41.33,41.33,41.33,0.0,0.0
2018-04-08,41.43,41.43,41.43,0.0,0.0,41.56,41.56,41.56,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.56,41.56,41.56,0.0,0.0
2018-04-15,41.25,41.25,41.25,0.0,0.0,41.25,41.25,41.25,0.0,0.0,41.11,41.11,41.11,0.0,0.0,41.2,41.2,41.2,0.0,0.0
