Date,iShares MSCI Belgium Capped_Open_average,iShares MSCI Belgium Capped_Open_max,iShares MSCI Belgium Capped_Open_min,iShares MSCI Belgium Capped_Open_volatility,iShares MSCI Belgium Capped_Open_change,iShares MSCI Belgium Capped_High_average,iShares MSCI Belgium Capped_High_max,iShares MSCI Belgium Capped_High_min,iShares MSCI Belgium Capped_High_volatility,iShares MSCI Belgium Capped_High_change,iShares MSCI Belgium Capped_Low_average,iShares MSCI Belgium Capped_Low_max,iShares MSCI Belgium Capped_Low_min,iShares MSCI Belgium Capped_Low_volatility,iShares MSCI Belgium Capped_Low_change,iShares MSCI Belgium Capped_Close_average,iShares MSCI Belgium Capped_Close_max,iShares MSCI Belgium Capped_Close_min,iShares MSCI Belgium Capped_Close_volatility,iShares MSCI Belgium Capped_Close_change
2018-01-14,22.52,22.52,22.52,0.0,0.0,22.61,22.61,22.61,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.58,22.58,22.58,0.0,0.0
2018-01-21,22.81,22.81,22.81,0.0,0.0,22.89,22.89,22.89,0.0,0.0,22.72,22.72,22.72,0.0,0.0,22.85,22.85,22.85,0.0,0.0
2018-01-28,22.07,22.07,22.07,0.0,0.0,22.14,22.14,22.14,0.0,0.0,21.45,21.45,21.45,0.0,0.0,21.59,21.59,21.59,0.0,0.0
2018-02-04,21.58,21.58,21.58,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.58,21.58,21.58,0.0,0.0,21.65,21.65,21.65,0.0,0.0
2018-02-11,22.14,22.14,22.14,0.0,0.0,22.15,22.15,22.15,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.04,22.04,22.04,0.0,0.0
2018-02-18,22.22,22.22,22.22,0.0,0.0,22.29,22.29,22.29,0.0,0.0,22.12,22.12,22.12,0.0,0.0,22.29,22.29,22.29,0.0,0.0
2018-02-25,21.78,21.78,21.78,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.74,21.74,21.74,0.0,0.0,21.92,21.92,21.92,0.0,0.0
2018-03-04,22.39,22.39,22.39,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2018-03-11,21.9,21.9,21.9,0.0,0.0,21.9,21.9,21.9,0.0,0.0,21.71,21.71,21.71,0.0,0.0,21.79,21.79,21.79,0.0,0.0
2018-03-18,21.33,21.33,21.33,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2018-03-25,21.3,21.3,21.3,0.0,0.0,21.34,21.34,21.34,0.0,0.0,20.97,20.97,20.97,0.0,0.0,21.09,21.09,21.09,0.0,0.0
