Date,Vanguard Russell 2000_Open_average,Vanguard Russell 2000_Open_max,Vanguard Russell 2000_Open_min,Vanguard Russell 2000_Open_volatility,Vanguard Russell 2000_Open_change,Vanguard Russell 2000_High_average,Vanguard Russell 2000_High_max,Vanguard Russell 2000_High_min,Vanguard Russell 2000_High_volatility,Vanguard Russell 2000_High_change,Vanguard Russell 2000_Low_average,Vanguard Russell 2000_Low_max,Vanguard Russell 2000_Low_min,Vanguard Russell 2000_Low_volatility,Vanguard Russell 2000_Low_change,Vanguard Russell 2000_Close_average,Vanguard Russell 2000_Close_max,Vanguard Russell 2000_Close_min,Vanguard Russell 2000_Close_volatility,Vanguard Russell 2000_Close_change
2018-01-14,127.28,127.28,127.28,0.0,0.0,127.86,127.86,127.86,0.0,0.0,127.0,127.0,127.0,0.0,0.0,127.85,127.85,127.85,0.0,0.0
2018-01-21,127.91,127.91,127.91,0.0,0.0,128.14,128.14,128.14,0.0,0.0,127.33,127.33,127.33,0.0,0.0,127.41,127.41,127.41,0.0,0.0
2018-01-28,122.27,122.27,122.27,0.0,0.0,123.4,123.4,123.4,0.0,0.0,118.71,118.71,118.71,0.0,0.0,118.71,118.71,118.71,0.0,0.0
2018-02-04,118.25,118.25,118.25,0.0,0.0,119.37,119.37,119.37,0.0,0.0,116.84,116.84,116.84,0.0,0.0,118.78,118.78,118.78,0.0,0.0
2018-02-11,122.2,122.2,122.2,0.0,0.0,123.73,123.73,123.73,0.0,0.0,122.2,122.2,122.2,0.0,0.0,123.06,123.06,123.06,0.0,0.0
2018-02-18,124.0,124.0,124.0,0.0,0.0,124.54,124.54,124.54,0.0,0.0,123.22,123.22,123.22,0.0,0.0,124.39,124.39,124.39,0.0,0.0
2018-02-25,121.8,121.8,121.8,0.0,0.0,123.74,123.74,123.74,0.0,0.0,121.55,121.55,121.55,0.0,0.0,123.27,123.27,123.27,0.0,0.0
2018-03-04,127.84,127.84,127.84,0.0,0.0,128.08,128.08,128.08,0.0,0.0,127.34,127.34,127.34,0.0,0.0,127.75,127.75,127.75,0.0,0.0
2018-03-11,126.08,126.08,126.08,0.0,0.0,126.17,126.17,126.17,0.0,0.0,124.0,124.0,124.0,0.0,0.0,125.45,125.45,125.45,0.0,0.0
2018-03-18,122.22,122.22,122.22,0.0,0.0,123.09,123.09,123.09,0.0,0.0,120.92,120.92,120.92,0.0,0.0,123.07,123.07,123.07,0.0,0.0
