Date,Horizons DAX Germany_Open_average,Horizons DAX Germany_Open_max,Horizons DAX Germany_Open_min,Horizons DAX Germany_Open_volatility,Horizons DAX Germany_Open_change,Horizons DAX Germany_High_average,Horizons DAX Germany_High_max,Horizons DAX Germany_High_min,Horizons DAX Germany_High_volatility,Horizons DAX Germany_High_change,Horizons DAX Germany_Low_average,Horizons DAX Germany_Low_max,Horizons DAX Germany_Low_min,Horizons DAX Germany_Low_volatility,Horizons DAX Germany_Low_change,Horizons DAX Germany_Close_average,Horizons DAX Germany_Close_max,Horizons DAX Germany_Close_min,Horizons DAX Germany_Close_volatility,Horizons DAX Germany_Close_change
2018-01-14,33.39,33.39,33.39,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2018-01-21,33.65,33.65,33.65,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2018-01-28,32.56,32.56,32.56,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2018-02-04,30.29,30.29,30.29,0.0,0.0,30.43,30.43,30.43,0.0,0.0,29.67,29.67,29.67,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2018-02-11,31.17,31.17,31.17,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2018-02-18,31.28,31.28,31.28,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-02-25,29.51,29.51,29.51,0.0,0.0,30.07,30.07,30.07,0.0,0.0,29.51,29.51,29.51,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2018-03-04,30.8,30.8,30.8,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-03-11,30.81,30.81,30.81,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2018-03-18,30.06,30.06,30.06,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.55,29.55,29.55,0.0,0.0
