Date,ENT_stock_Open_average,ENT_stock_Open_max,ENT_stock_Open_min,ENT_stock_Open_volatility,ENT_stock_Open_change,ENT_stock_High_average,ENT_stock_High_max,ENT_stock_High_min,ENT_stock_High_volatility,ENT_stock_High_change,ENT_stock_Low_average,ENT_stock_Low_max,ENT_stock_Low_min,ENT_stock_Low_volatility,ENT_stock_Low_change,ENT_stock_Close_average,ENT_stock_Close_max,ENT_stock_Close_min,ENT_stock_Close_volatility,ENT_stock_Close_change,ENT_stock_Volume_average,ENT_stock_Volume_max,ENT_stock_Volume_min,ENT_stock_Volume_volatility,ENT_stock_Volume_change
2018-01-14,2.1125,2.26,2.05,0.20999999999999996,-0.20999999999999996,2.1422499999999998,2.27,2.069,0.20100000000000007,-0.20100000000000007,2.0225,2.06,1.99,0.07000000000000006,-0.07000000000000006,2.0525,2.08,1.99,0.09000000000000008,-0.09000000000000008,260389,297974,233058,64916,-26311
2018-01-21,2.1839999999999997,2.28,2.0,0.2799999999999998,0.2799999999999998,2.28,2.33,2.14,0.18999999999999995,0.18999999999999995,2.136,2.24,1.98,0.26000000000000023,0.26000000000000023,2.242,2.32,2.13,0.18999999999999995,0.18999999999999995,252341,360639,131185,229454,-81089
2018-01-28,2.466,2.67,2.27,0.3999999999999999,0.31000000000000005,2.678,3.22,2.3,0.9200000000000004,0.27,2.3362,2.54,2.19,0.3500000000000001,-0.01100000000000012,2.4659999999999997,2.89,2.21,0.6800000000000002,0.06000000000000005,1180227,3772809,203249,3569560,76230
2018-02-04,2.186,2.33,1.99,0.3400000000000001,-0.20000000000000018,2.332,2.59,2.16,0.4299999999999997,-0.19999999999999973,2.063,2.16,1.99,0.17000000000000015,0.025000000000000355,2.156,2.32,2.04,0.2799999999999998,0.10999999999999988,623040,908000,291006,616994,-232876
2018-02-11,1.94,2.16,1.82,0.3400000000000001,-0.3400000000000001,1.97,2.16,1.86,0.30000000000000004,-0.30000000000000004,1.835,2.0,1.66,0.3400000000000001,-0.3400000000000001,1.8639999999999999,2.01,1.72,0.2899999999999998,-0.2899999999999998,892297,1622025,384585,1237440,1237440
2018-02-18,1.665,1.71,1.64,0.07000000000000006,-0.07000000000000006,1.705,1.77,1.66,0.1100000000000001,-0.050000000000000044,1.5475,1.62,1.34,0.28,-0.27,1.5875,1.65,1.43,0.21999999999999997,-0.21999999999999997,1288262,1880809,375096,1505713,446337
2018-02-25,1.414,1.57,1.26,0.31000000000000005,-0.16999999999999993,1.492,1.67,1.36,0.30999999999999983,-0.27,1.2930000000000001,1.35,1.205,0.14500000000000002,-0.06000000000000005,1.416,1.58,1.32,0.26,-0.18000000000000016,768962,1664743,375606,1289137,-1162631
2018-03-04,1.502,1.7,1.3,0.3999999999999999,0.31000000000000005,1.6338,1.85,1.39,0.4600000000000002,0.4600000000000002,1.394,1.52,1.26,0.26,0.20999999999999996,1.522,1.59,1.31,0.28,0.28,1157707,3235014,343791,2891223,2738681
2018-03-11,1.59,1.61,1.57,0.040000000000000036,-0.030000000000000027,1.63,1.65,1.61,0.039999999999999813,0.0050000000000001155,1.549,1.57,1.525,0.04500000000000015,0.040000000000000036,1.592,1.62,1.58,0.040000000000000036,0.030000000000000027,624270,1158626,397595,761031,742404
2018-03-18,16.302,39.0,1.57,37.43,36.15,16.897,40.125,1.61,38.515,37.87,15.729,37.5,1.53,35.97,34.93,15.9,37.5,1.57,35.93,35.66,308568,718068,15576,702492,-702492
2018-03-25,37.3125,38.0,36.75,1.25,0.5,38.8125,39.0,38.5,0.5,-0.25,35.75,36.25,35.25,1.0,0.25,37.125,38.0,36.75,1.25,0.0,14858,16645,12667,3978,-317
2018-04-01,33.05,37.25,26.0,11.25,-5.5,35.9,38.0,33.5,4.5,-4.0,29.45,35.0,25.75,9.25,-6.25,31.65,35.0,27.25,7.75,-6.0,40108,67505,23228,44277,1713
2018-04-08,28.4,29.5,27.0,2.5,0.25,29.65,30.0,28.5,1.5,0.0,26.85,27.5,26.5,1.0,-0.25,28.1,29.25,27.0,2.25,0.5,24510,32020,17725,14295,-7910
