Date,Guggenheim Invest S&P Global Dividend Opptys_etf_Open_average,Guggenheim Invest S&P Global Dividend Opptys_etf_Open_max,Guggenheim Invest S&P Global Dividend Opptys_etf_Open_min,Guggenheim Invest S&P Global Dividend Opptys_etf_Open_volatility,Guggenheim Invest S&P Global Dividend Opptys_etf_Open_change,Guggenheim Invest S&P Global Dividend Opptys_etf_High_average,Guggenheim Invest S&P Global Dividend Opptys_etf_High_max,Guggenheim Invest S&P Global Dividend Opptys_etf_High_min,Guggenheim Invest S&P Global Dividend Opptys_etf_High_volatility,Guggenheim Invest S&P Global Dividend Opptys_etf_High_change,Guggenheim Invest S&P Global Dividend Opptys_etf_Low_average,Guggenheim Invest S&P Global Dividend Opptys_etf_Low_max,Guggenheim Invest S&P Global Dividend Opptys_etf_Low_min,Guggenheim Invest S&P Global Dividend Opptys_etf_Low_volatility,Guggenheim Invest S&P Global Dividend Opptys_etf_Low_change,Guggenheim Invest S&P Global Dividend Opptys_etf_Close_average,Guggenheim Invest S&P Global Dividend Opptys_etf_Close_max,Guggenheim Invest S&P Global Dividend Opptys_etf_Close_min,Guggenheim Invest S&P Global Dividend Opptys_etf_Close_volatility,Guggenheim Invest S&P Global Dividend Opptys_etf_Close_change
2018-01-14,11.5,11.5,11.5,0.0,0.0,11.53,11.53,11.53,0.0,0.0,11.5,11.5,11.5,0.0,0.0,11.53,11.53,11.53,0.0,0.0
2018-01-21,11.73,11.73,11.73,0.0,0.0,11.79,11.79,11.79,0.0,0.0,11.73,11.73,11.73,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2018-01-28,11.61,11.61,11.61,0.0,0.0,11.61,11.61,11.61,0.0,0.0,11.45,11.45,11.45,0.0,0.0,11.45,11.45,11.45,0.0,0.0
2018-02-04,10.96,10.96,10.96,0.0,0.0,10.97,10.97,10.97,0.0,0.0,10.79,10.79,10.79,0.0,0.0,10.93,10.93,10.93,0.0,0.0
2018-02-11,11.28,11.28,11.28,0.0,0.0,11.38,11.38,11.38,0.0,0.0,11.28,11.28,11.28,0.0,0.0,11.35,11.35,11.35,0.0,0.0
2018-02-18,11.2,11.2,11.2,0.0,0.0,11.26,11.26,11.26,0.0,0.0,11.19,11.19,11.19,0.0,0.0,11.26,11.26,11.26,0.0,0.0
2018-02-25,11.05,11.05,11.05,0.0,0.0,11.11,11.11,11.11,0.0,0.0,11.01,11.01,11.01,0.0,0.0,11.11,11.11,11.11,0.0,0.0
2018-03-04,11.29,11.29,11.29,0.0,0.0,11.33,11.33,11.33,0.0,0.0,11.29,11.29,11.29,0.0,0.0,11.32,11.32,11.32,0.0,0.0
2018-03-11,11.17,11.17,11.17,0.0,0.0,11.17,11.17,11.17,0.0,0.0,11.13,11.13,11.13,0.0,0.0,11.15,11.15,11.15,0.0,0.0
2018-03-18,10.91,10.91,10.91,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.84,10.84,10.84,0.0,0.0,10.86,10.86,10.86,0.0,0.0
2018-03-25,10.95,10.95,10.95,0.0,0.0,10.95,10.95,10.95,0.0,0.0,10.89,10.89,10.89,0.0,0.0,10.94,10.94,10.94,0.0,0.0
2018-04-01,10.93,10.93,10.93,0.0,0.0,10.97,10.97,10.97,0.0,0.0,10.84,10.84,10.84,0.0,0.0,10.86,10.86,10.86,0.0,0.0
2018-04-08,10.95,10.95,10.95,0.0,0.0,10.98,10.98,10.98,0.0,0.0,10.94,10.94,10.94,0.0,0.0,10.94,10.94,10.94,0.0,0.0
2018-04-15,10.87,10.87,10.87,0.0,0.0,10.88,10.88,10.88,0.0,0.0,10.87,10.87,10.87,0.0,0.0,10.87,10.87,10.87,0.0,0.0
2018-04-22,10.94,10.94,10.94,0.0,0.0,10.97,10.97,10.97,0.0,0.0,10.93,10.93,10.93,0.0,0.0,10.97,10.97,10.97,0.0,0.0
2018-04-29,10.8,10.8,10.8,0.0,0.0,10.87,10.87,10.87,0.0,0.0,10.8,10.8,10.8,0.0,0.0,10.87,10.87,10.87,0.0,0.0
