Date,ProShares UltraPro 3x Short Crude Oil_Open_average,ProShares UltraPro 3x Short Crude Oil_Open_max,ProShares UltraPro 3x Short Crude Oil_Open_min,ProShares UltraPro 3x Short Crude Oil_Open_volatility,ProShares UltraPro 3x Short Crude Oil_Open_change,ProShares UltraPro 3x Short Crude Oil_High_average,ProShares UltraPro 3x Short Crude Oil_High_max,ProShares UltraPro 3x Short Crude Oil_High_min,ProShares UltraPro 3x Short Crude Oil_High_volatility,ProShares UltraPro 3x Short Crude Oil_High_change,ProShares UltraPro 3x Short Crude Oil_Low_average,ProShares UltraPro 3x Short Crude Oil_Low_max,ProShares UltraPro 3x Short Crude Oil_Low_min,ProShares UltraPro 3x Short Crude Oil_Low_volatility,ProShares UltraPro 3x Short Crude Oil_Low_change,ProShares UltraPro 3x Short Crude Oil_Close_average,ProShares UltraPro 3x Short Crude Oil_Close_max,ProShares UltraPro 3x Short Crude Oil_Close_min,ProShares UltraPro 3x Short Crude Oil_Close_volatility,ProShares UltraPro 3x Short Crude Oil_Close_change
2018-01-14,36.56,36.56,36.56,0.0,0.0,36.92,36.92,36.92,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.8,35.8,35.8,0.0,0.0
2018-01-21,32.88,32.88,32.88,0.0,0.0,33.56,33.56,33.56,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2018-01-28,33.4,33.4,33.4,0.0,0.0,35.68,35.68,35.68,0.0,0.0,33.12,33.12,33.12,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2018-02-04,42.24,42.24,42.24,0.0,0.0,43.64,43.64,43.64,0.0,0.0,41.12,41.12,41.12,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2018-02-11,39.36,39.36,39.36,0.0,0.0,39.8,39.8,39.8,0.0,0.0,37.72,37.72,37.72,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2018-02-18,34.84,34.84,34.84,0.0,0.0,35.16,35.16,35.16,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2018-02-25,38.08,38.08,38.08,0.0,0.0,38.24,38.24,38.24,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.76,35.76,35.76,0.0,0.0
2018-03-04,36.72,36.72,36.72,0.0,0.0,38.36,38.36,38.36,0.0,0.0,36.52,36.52,36.52,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2018-03-11,35.32,35.32,35.32,0.0,0.0,36.82,36.82,36.82,0.0,0.0,35.28,35.28,35.28,0.0,0.0,35.52,35.52,35.52,0.0,0.0
2018-03-18,29.91,29.91,29.91,0.0,0.0,30.62,30.62,30.62,0.0,0.0,29.63,29.63,29.63,0.0,0.0,30.07,30.07,30.07,0.0,0.0
