Date,MOGbStock_Open_average,MOGbStock_Open_max,MOGbStock_Open_min,MOGbStock_Open_volatility,MOGbStock_Open_change,MOGbStock_High_average,MOGbStock_High_max,MOGbStock_High_min,MOGbStock_High_volatility,MOGbStock_High_change,MOGbStock_Low_average,MOGbStock_Low_max,MOGbStock_Low_min,MOGbStock_Low_volatility,MOGbStock_Low_change,MOGbStock_Close_average,MOGbStock_Close_max,MOGbStock_Close_min,MOGbStock_Close_volatility,MOGbStock_Close_change,MOGbStock_Volume_average,MOGbStock_Volume_max,MOGbStock_Volume_min,MOGbStock_Volume_volatility,MOGbStock_Volume_change
2018-01-14,88.75,88.84,88.66,0.18000000000000682,0.18000000000000682,88.905,89.15,88.66,0.4900000000000091,0.4900000000000091,88.75,88.84,88.66,0.18000000000000682,0.18000000000000682,88.905,89.15,88.66,0.4900000000000091,0.4900000000000091,385,586,185,401,401
2018-01-21,90.04333333333334,91.0,88.74,2.260000000000005,0.6099999999999994,90.28,91.71,88.74,2.969999999999999,1.3199999999999932,90.00666666666666,91.0,88.63,2.3700000000000045,0.6099999999999994,90.24333333333333,91.71,88.63,3.0799999999999983,1.3199999999999932,402,534,310,224,-52
2018-01-28,90.72,90.95,90.56,0.39000000000000057,-0.09000000000000341,90.72,90.95,90.56,0.39000000000000057,-0.09000000000000341,90.72,90.95,90.56,0.39000000000000057,-0.09000000000000341,90.72,90.95,90.56,0.39000000000000057,-0.09000000000000341,139,188,106,82,-82
2018-02-04,82.7825,85.18,80.51,4.670000000000002,-2.180000000000007,83.3075,85.78,82.01,3.769999999999996,-2.780000000000001,81.98,85.18,79.95,5.230000000000004,-5.230000000000004,82.99,85.78,81.77,4.010000000000005,-4.010000000000005,687,1364,164,1200,974
2018-02-11,85.35666666666667,88.25,83.74,4.510000000000005,4.170000000000002,85.87666666666667,88.25,83.74,4.510000000000005,2.6099999999999994,85.35666666666667,88.25,83.74,4.510000000000005,4.170000000000002,85.87666666666667,88.25,83.74,4.510000000000005,2.6099999999999994,318,572,115,457,-457
2018-02-18,85.765,87.3,84.23,3.069999999999993,-3.069999999999993,85.765,87.3,84.23,3.069999999999993,-3.069999999999993,85.075,85.92,84.23,1.6899999999999977,-1.6899999999999977,85.095,85.96,84.23,1.7299999999999898,-1.7299999999999898,898,1502,295,1207,-1207
2018-02-25,85.28999999999999,85.63,84.95,0.6799999999999926,-0.6799999999999926,85.28999999999999,85.63,84.95,0.6799999999999926,-0.6799999999999926,84.61,85.48,83.74,1.740000000000009,-1.740000000000009,84.61,85.48,83.74,1.740000000000009,-1.740000000000009,560,579,541,38,38
2018-03-04,83.85666666666667,85.61,81.57,4.040000000000006,4.040000000000006,84.76,88.27,81.62,6.6499999999999915,6.6499999999999915,83.85666666666667,85.61,81.57,4.040000000000006,4.040000000000006,84.64333333333333,87.93,81.61,6.320000000000007,6.320000000000007,1500,3516,140,3376,2670
2018-03-11,85.24,85.24,85.24,0.0,0.0,85.24,85.24,85.24,0.0,0.0,85.24,85.24,85.24,0.0,0.0,85.24,85.24,85.24,0.0,0.0,104,104,104,0,0
2018-03-18,85.22,85.22,85.22,0.0,0.0,85.77,85.77,85.77,0.0,0.0,85.22,85.22,85.22,0.0,0.0,85.77,85.77,85.77,0.0,0.0,307,307,307,0,0
