Date,Guggenheim Invest S&P 500 Equal Weight Health Care_Open_average,Guggenheim Invest S&P 500 Equal Weight Health Care_Open_max,Guggenheim Invest S&P 500 Equal Weight Health Care_Open_min,Guggenheim Invest S&P 500 Equal Weight Health Care_Open_volatility,Guggenheim Invest S&P 500 Equal Weight Health Care_Open_change,Guggenheim Invest S&P 500 Equal Weight Health Care_High_average,Guggenheim Invest S&P 500 Equal Weight Health Care_High_max,Guggenheim Invest S&P 500 Equal Weight Health Care_High_min,Guggenheim Invest S&P 500 Equal Weight Health Care_High_volatility,Guggenheim Invest S&P 500 Equal Weight Health Care_High_change,Guggenheim Invest S&P 500 Equal Weight Health Care_Low_average,Guggenheim Invest S&P 500 Equal Weight Health Care_Low_max,Guggenheim Invest S&P 500 Equal Weight Health Care_Low_min,Guggenheim Invest S&P 500 Equal Weight Health Care_Low_volatility,Guggenheim Invest S&P 500 Equal Weight Health Care_Low_change,Guggenheim Invest S&P 500 Equal Weight Health Care_Close_average,Guggenheim Invest S&P 500 Equal Weight Health Care_Close_max,Guggenheim Invest S&P 500 Equal Weight Health Care_Close_min,Guggenheim Invest S&P 500 Equal Weight Health Care_Close_volatility,Guggenheim Invest S&P 500 Equal Weight Health Care_Close_change
2018-01-14,191.86,191.86,191.86,0.0,0.0,193.21,193.21,193.21,0.0,0.0,191.86,191.86,191.86,0.0,0.0,193.21,193.21,193.21,0.0,0.0
2018-01-21,198.47,198.47,198.47,0.0,0.0,199.28,199.28,199.28,0.0,0.0,198.35,198.35,198.35,0.0,0.0,198.44,198.44,198.44,0.0,0.0
2018-01-28,188.36,188.36,188.36,0.0,0.0,189.0,189.0,189.0,0.0,0.0,181.09,181.09,181.09,0.0,0.0,181.09,181.09,181.09,0.0,0.0
2018-02-04,179.44,179.44,179.44,0.0,0.0,181.66,181.66,181.66,0.0,0.0,179.02,179.02,179.02,0.0,0.0,180.59,180.59,180.59,0.0,0.0
2018-02-11,185.12,185.12,185.12,0.0,0.0,187.28,187.28,187.28,0.0,0.0,185.12,185.12,185.12,0.0,0.0,186.09,186.09,186.09,0.0,0.0
2018-02-18,186.6,186.6,186.6,0.0,0.0,187.86,187.86,187.86,0.0,0.0,186.26,186.26,186.26,0.0,0.0,187.85,187.85,187.85,0.0,0.0
2018-02-25,181.64,181.64,181.64,0.0,0.0,184.65,184.65,184.65,0.0,0.0,181.33,181.33,181.33,0.0,0.0,184.28,184.28,184.28,0.0,0.0
2018-03-04,190.13,190.13,190.13,0.0,0.0,190.13,190.13,190.13,0.0,0.0,189.33,189.33,189.33,0.0,0.0,190.0,190.0,190.0,0.0,0.0
2018-03-11,186.43,186.43,186.43,0.0,0.0,186.57,186.57,186.57,0.0,0.0,182.82,182.82,182.82,0.0,0.0,184.38,184.38,184.38,0.0,0.0
2018-03-18,177.42,177.42,177.42,0.0,0.0,179.09,179.09,179.09,0.0,0.0,175.5,175.5,175.5,0.0,0.0,179.09,179.09,179.09,0.0,0.0
2018-03-25,178.52,178.52,178.52,0.0,0.0,178.81,178.81,178.81,0.0,0.0,173.15,173.15,173.15,0.0,0.0,174.63,174.63,174.63,0.0,0.0
2018-04-01,174.89,174.89,174.89,0.0,0.0,178.07,178.07,178.07,0.0,0.0,174.82,174.82,174.82,0.0,0.0,175.94,175.94,175.94,0.0,0.0
2018-04-08,179.3,179.3,179.3,0.0,0.0,180.65,180.65,180.65,0.0,0.0,179.18,179.18,179.18,0.0,0.0,180.06,180.06,180.06,0.0,0.0
2018-04-15,180.0,180.0,180.0,0.0,0.0,180.87,180.87,180.87,0.0,0.0,179.7,179.7,179.7,0.0,0.0,179.9,179.9,179.9,0.0,0.0
2018-04-22,182.29,182.29,182.29,0.0,0.0,182.29,182.29,182.29,0.0,0.0,178.72,178.72,178.72,0.0,0.0,178.72,178.72,178.72,0.0,0.0
2018-04-29,177.16,177.16,177.16,0.0,0.0,178.04,178.04,178.04,0.0,0.0,176.61,176.61,176.61,0.0,0.0,176.89,176.89,176.89,0.0,0.0
2018-05-06,181.75,181.75,181.75,0.0,0.0,183.21,183.21,183.21,0.0,0.0,181.75,181.75,181.75,0.0,0.0,182.31,182.31,182.31,0.0,0.0
2018-05-13,182.73,182.73,182.73,0.0,0.0,183.11,183.11,183.11,0.0,0.0,181.96,181.96,181.96,0.0,0.0,182.26,182.26,182.26,0.0,0.0
2018-05-20,181.45,181.45,181.45,0.0,0.0,182.18,182.18,182.18,0.0,0.0,181.26,181.26,181.26,0.0,0.0,181.66,181.66,181.66,0.0,0.0
2018-05-27,182.48,182.48,182.48,0.0,0.0,182.66,182.66,182.66,0.0,0.0,181.49,181.49,181.49,0.0,0.0,182.47,182.47,182.47,0.0,0.0
2018-06-03,185.81,185.81,185.81,0.0,0.0,187.48,187.48,187.48,0.0,0.0,185.79,185.79,185.79,0.0,0.0,186.85,186.85,186.85,0.0,0.0
2018-06-10,187.47,187.47,187.47,0.0,0.0,187.47,187.47,187.47,0.0,0.0,186.74,186.74,186.74,0.0,0.0,187.02,187.02,187.02,0.0,0.0
2018-06-17,186.63,186.63,186.63,0.0,0.0,186.79,186.79,186.79,0.0,0.0,184.07,184.07,184.07,0.0,0.0,185.13,185.13,185.13,0.0,0.0
2018-06-24,182.27,182.27,182.27,0.0,0.0,183.18,183.18,183.18,0.0,0.0,181.26,181.26,181.26,0.0,0.0,182.95,182.95,182.95,0.0,0.0
