Date,SPDR MSCI EM Fossil Fuel FreeEtf_Open_average,SPDR MSCI EM Fossil Fuel FreeEtf_Open_max,SPDR MSCI EM Fossil Fuel FreeEtf_Open_min,SPDR MSCI EM Fossil Fuel FreeEtf_Open_volatility,SPDR MSCI EM Fossil Fuel FreeEtf_Open_change,SPDR MSCI EM Fossil Fuel FreeEtf_High_average,SPDR MSCI EM Fossil Fuel FreeEtf_High_max,SPDR MSCI EM Fossil Fuel FreeEtf_High_min,SPDR MSCI EM Fossil Fuel FreeEtf_High_volatility,SPDR MSCI EM Fossil Fuel FreeEtf_High_change,SPDR MSCI EM Fossil Fuel FreeEtf_Low_average,SPDR MSCI EM Fossil Fuel FreeEtf_Low_max,SPDR MSCI EM Fossil Fuel FreeEtf_Low_min,SPDR MSCI EM Fossil Fuel FreeEtf_Low_volatility,SPDR MSCI EM Fossil Fuel FreeEtf_Low_change,SPDR MSCI EM Fossil Fuel FreeEtf_Close_average,SPDR MSCI EM Fossil Fuel FreeEtf_Close_max,SPDR MSCI EM Fossil Fuel FreeEtf_Close_min,SPDR MSCI EM Fossil Fuel FreeEtf_Close_volatility,SPDR MSCI EM Fossil Fuel FreeEtf_Close_change
2018-01-14,73.83,73.83,73.83,0.0,0.0,73.95,73.95,73.95,0.0,0.0,73.74,73.74,73.74,0.0,0.0,73.74,73.74,73.74,0.0,0.0
2018-01-21,76.3,76.3,76.3,0.0,0.0,76.8,76.8,76.8,0.0,0.0,76.25,76.25,76.25,0.0,0.0,76.8,76.8,76.8,0.0,0.0
2018-01-28,74.1,74.1,74.1,0.0,0.0,74.24,74.24,74.24,0.0,0.0,73.2,73.2,73.2,0.0,0.0,73.2,73.2,73.2,0.0,0.0
2018-02-04,69.95,69.95,69.95,0.0,0.0,69.99,69.99,69.99,0.0,0.0,67.84,67.84,67.84,0.0,0.0,69.15,69.15,69.15,0.0,0.0
2018-02-11,72.92,72.92,72.92,0.0,0.0,72.92,72.92,72.92,0.0,0.0,71.74,71.74,71.74,0.0,0.0,72.86,72.86,72.86,0.0,0.0
2018-02-18,72.61,72.61,72.61,0.0,0.0,73.03,73.03,73.03,0.0,0.0,72.61,72.61,72.61,0.0,0.0,73.03,73.03,73.03,0.0,0.0
2018-02-25,70.89,70.89,70.89,0.0,0.0,70.89,70.89,70.89,0.0,0.0,70.75,70.75,70.75,0.0,0.0,70.75,70.75,70.75,0.0,0.0
2018-03-04,72.81,72.81,72.81,0.0,0.0,73.78,73.78,73.78,0.0,0.0,72.81,72.81,72.81,0.0,0.0,73.54,73.54,73.54,0.0,0.0
2018-03-11,72.5,72.5,72.5,0.0,0.0,72.58,72.58,72.58,0.0,0.0,72.47,72.47,72.47,0.0,0.0,72.58,72.58,72.58,0.0,0.0
2018-03-18,71.25,71.25,71.25,0.0,0.0,71.25,71.25,71.25,0.0,0.0,70.1,70.1,70.1,0.0,0.0,70.1,70.1,70.1,0.0,0.0
