Date,SPDR Morgan Stanley Technology_Open_average,SPDR Morgan Stanley Technology_Open_max,SPDR Morgan Stanley Technology_Open_min,SPDR Morgan Stanley Technology_Open_volatility,SPDR Morgan Stanley Technology_Open_change,SPDR Morgan Stanley Technology_High_average,SPDR Morgan Stanley Technology_High_max,SPDR Morgan Stanley Technology_High_min,SPDR Morgan Stanley Technology_High_volatility,SPDR Morgan Stanley Technology_High_change,SPDR Morgan Stanley Technology_Low_average,SPDR Morgan Stanley Technology_Low_max,SPDR Morgan Stanley Technology_Low_min,SPDR Morgan Stanley Technology_Low_volatility,SPDR Morgan Stanley Technology_Low_change,SPDR Morgan Stanley Technology_Close_average,SPDR Morgan Stanley Technology_Close_max,SPDR Morgan Stanley Technology_Close_min,SPDR Morgan Stanley Technology_Close_volatility,SPDR Morgan Stanley Technology_Close_change
2018-01-14,90.41,90.41,90.41,0.0,0.0,91.34,91.34,91.34,0.0,0.0,90.25,90.25,90.25,0.0,0.0,91.34,91.34,91.34,0.0,0.0
2018-01-21,93.44,93.44,93.44,0.0,0.0,93.44,93.44,93.44,0.0,0.0,92.45,92.45,92.45,0.0,0.0,92.49,92.49,92.49,0.0,0.0
2018-01-28,88.35,88.35,88.35,0.0,0.0,90.09,90.09,90.09,0.0,0.0,85.94,85.94,85.94,0.0,0.0,85.97,85.97,85.97,0.0,0.0
2018-02-04,85.86,85.86,85.86,0.0,0.0,87.04,87.04,87.04,0.0,0.0,85.5,85.5,85.5,0.0,0.0,86.75,86.75,86.75,0.0,0.0
2018-02-11,90.87,90.87,90.87,0.0,0.0,91.55,91.55,91.55,0.0,0.0,90.61,90.61,90.61,0.0,0.0,90.73,90.73,90.73,0.0,0.0
2018-02-18,94.45,94.45,94.45,0.0,0.0,94.45,94.45,94.45,0.0,0.0,93.22,93.22,93.22,0.0,0.0,93.96,93.96,93.96,0.0,0.0
2018-02-25,91.44,91.44,91.44,0.0,0.0,93.19,93.19,93.19,0.0,0.0,91.14,91.14,91.14,0.0,0.0,93.0,93.0,93.0,0.0,0.0
2018-03-04,96.63,96.63,96.63,0.0,0.0,97.23,97.23,97.23,0.0,0.0,96.63,96.63,96.63,0.0,0.0,96.93,96.93,96.93,0.0,0.0
2018-03-11,95.15,95.15,95.15,0.0,0.0,95.15,95.15,95.15,0.0,0.0,93.12,93.12,93.12,0.0,0.0,94.11,94.11,94.11,0.0,0.0
2018-03-18,90.62,90.62,90.62,0.0,0.0,92.16,92.16,92.16,0.0,0.0,89.32,89.32,89.32,0.0,0.0,92.16,92.16,92.16,0.0,0.0
2018-03-25,88.26,88.26,88.26,0.0,0.0,88.26,88.26,88.26,0.0,0.0,85.39,85.39,85.39,0.0,0.0,86.26,86.26,86.26,0.0,0.0
2018-04-01,86.97,86.97,86.97,0.0,0.0,88.78,88.78,88.78,0.0,0.0,86.97,86.97,86.97,0.0,0.0,87.16,87.16,87.16,0.0,0.0
2018-04-08,90.0,90.0,90.0,0.0,0.0,90.3,90.3,90.3,0.0,0.0,89.56,89.56,89.56,0.0,0.0,90.01,90.01,90.01,0.0,0.0
2018-04-15,89.42,89.42,89.42,0.0,0.0,89.74,89.74,89.74,0.0,0.0,88.08,88.08,88.08,0.0,0.0,88.4,88.4,88.4,0.0,0.0
2018-04-22,88.8,88.8,88.8,0.0,0.0,89.05,89.05,89.05,0.0,0.0,87.64,87.64,87.64,0.0,0.0,88.09,88.09,88.09,0.0,0.0
2018-04-29,90.49,90.49,90.49,0.0,0.0,91.24,91.24,91.24,0.0,0.0,90.49,90.49,90.49,0.0,0.0,90.71,90.71,90.71,0.0,0.0
2018-05-06,93.86,93.86,93.86,0.0,0.0,94.0,94.0,94.0,0.0,0.0,93.2,93.2,93.2,0.0,0.0,93.2,93.2,93.2,0.0,0.0
