Date,iShares S&P Midcap 400_Open_average,iShares S&P Midcap 400_Open_max,iShares S&P Midcap 400_Open_min,iShares S&P Midcap 400_Open_volatility,iShares S&P Midcap 400_Open_change,iShares S&P Midcap 400_High_average,iShares S&P Midcap 400_High_max,iShares S&P Midcap 400_High_min,iShares S&P Midcap 400_High_volatility,iShares S&P Midcap 400_High_change,iShares S&P Midcap 400_Low_average,iShares S&P Midcap 400_Low_max,iShares S&P Midcap 400_Low_min,iShares S&P Midcap 400_Low_volatility,iShares S&P Midcap 400_Low_change,iShares S&P Midcap 400_Close_average,iShares S&P Midcap 400_Close_max,iShares S&P Midcap 400_Close_min,iShares S&P Midcap 400_Close_volatility,iShares S&P Midcap 400_Close_change
2018-01-14,197.83,197.83,197.83,0.0,0.0,198.66,198.66,198.66,0.0,0.0,197.38,197.38,197.38,0.0,0.0,198.61,198.61,198.61,0.0,0.0
2018-01-21,198.71,198.71,198.71,0.0,0.0,199.04,199.04,199.04,0.0,0.0,197.53,197.53,197.53,0.0,0.0,197.58,197.58,197.58,0.0,0.0
2018-01-28,189.91,189.91,189.91,0.0,0.0,191.36,191.36,191.36,0.0,0.0,184.25,184.25,184.25,0.0,0.0,184.45,184.45,184.45,0.0,0.0
2018-02-04,182.48,182.48,182.48,0.0,0.0,184.71,184.71,184.71,0.0,0.0,181.08,181.08,181.08,0.0,0.0,183.69,183.69,183.69,0.0,0.0
2018-02-11,189.2,189.2,189.2,0.0,0.0,191.0,191.0,191.0,0.0,0.0,189.04,189.04,189.04,0.0,0.0,190.07,190.07,190.07,0.0,0.0
2018-02-18,191.0,191.0,191.0,0.0,0.0,191.6,191.6,191.6,0.0,0.0,189.66,189.66,189.66,0.0,0.0,191.47,191.47,191.47,0.0,0.0
2018-02-25,187.22,187.22,187.22,0.0,0.0,190.33,190.33,190.33,0.0,0.0,186.94,186.94,186.94,0.0,0.0,189.79,189.79,189.79,0.0,0.0
2018-03-04,195.35,195.35,195.35,0.0,0.0,195.88,195.88,195.88,0.0,0.0,194.69,194.69,194.69,0.0,0.0,195.29,195.29,195.29,0.0,0.0
2018-03-11,193.05,193.05,193.05,0.0,0.0,193.12,193.12,193.12,0.0,0.0,190.33,190.33,190.33,0.0,0.0,191.95,191.95,191.95,0.0,0.0
2018-03-18,185.95,185.95,185.95,0.0,0.0,187.59,187.59,187.59,0.0,0.0,184.14,184.14,184.14,0.0,0.0,187.53,187.53,187.53,0.0,0.0
2018-03-25,187.07,187.07,187.07,0.0,0.0,187.49,187.49,187.49,0.0,0.0,181.69,181.69,181.69,0.0,0.0,183.17,183.17,183.17,0.0,0.0
2018-04-01,186.11,186.11,186.11,0.0,0.0,187.64,187.64,187.64,0.0,0.0,184.99,184.99,184.99,0.0,0.0,185.12,185.12,185.12,0.0,0.0
2018-04-08,189.14,189.14,189.14,0.0,0.0,190.45,190.45,190.45,0.0,0.0,188.49,188.49,188.49,0.0,0.0,189.99,189.99,189.99,0.0,0.0
2018-04-15,190.15,190.15,190.15,0.0,0.0,190.96,190.96,190.96,0.0,0.0,188.99,188.99,188.99,0.0,0.0,189.81,189.81,189.81,0.0,0.0
2018-04-22,189.6,189.6,189.6,0.0,0.0,190.03,190.03,190.03,0.0,0.0,186.96,186.96,186.96,0.0,0.0,186.96,186.96,186.96,0.0,0.0
2018-04-29,190.23,190.23,190.23,0.0,0.0,191.56,191.56,191.56,0.0,0.0,189.94,189.94,189.94,0.0,0.0,190.62,190.62,190.62,0.0,0.0
2018-05-06,194.31,194.31,194.31,0.0,0.0,194.69,194.69,194.69,0.0,0.0,193.2,193.2,193.2,0.0,0.0,193.58,193.58,193.58,0.0,0.0
2018-05-13,195.35,195.35,195.35,0.0,0.0,196.41,196.41,196.41,0.0,0.0,195.27,195.27,195.27,0.0,0.0,196.27,196.27,196.27,0.0,0.0
2018-05-20,194.83,194.83,194.83,0.0,0.0,195.29,195.29,195.29,0.0,0.0,194.28,194.28,194.28,0.0,0.0,194.71,194.71,194.71,0.0,0.0
2018-05-27,196.4,196.4,196.4,0.0,0.0,197.01,197.01,197.01,0.0,0.0,195.78,195.78,195.78,0.0,0.0,197.01,197.01,197.01,0.0,0.0
2018-06-03,200.54,200.54,200.54,0.0,0.0,200.94,200.94,200.94,0.0,0.0,200.15,200.15,200.15,0.0,0.0,200.35,200.35,200.35,0.0,0.0
2018-06-10,198.56,198.56,198.56,0.0,0.0,200.12,200.12,200.12,0.0,0.0,198.39,198.39,198.39,0.0,0.0,199.82,199.82,199.82,0.0,0.0
